bucket,total,--,AD,AE,AM,AO,AR,AT,AU,AZ,BA,BD,BE,BG,BO,BR,BY,CA,CH,CI,CL,CM,CN,CO,CR,CZ,DE,DK,DO,DZ,EC,EE,EG,ES,ET,FI,FR,GB,GE,GM,GR,HK,HR,HU,ID,IE,IL,IN,IQ,IR,IT,JO,JP,KR,KZ,LB,LT,LU,LV,MA,MC,MD,MK,MM,MN,MO,MT,MX,MY,MZ,NA,NG,NL,NO,NZ,PA,PE,PH,PK,PL,PR,PT,PY,RO,RS,RU,RW,SA,SC,SE,SG,SI,SK,TH,TM,TR,TT,TW,TZ,UA,US,UY,UZ,VE,VN,ZA,ZW
2023-05-21T00,95,3,0,0,0,0,1,0,1,1,0,0,0,0,0,2,0,9,0,0,0,0,9,1,0,0,8,0,0,0,0,0,0,3,0,0,1,4,0,0,0,2,0,0,0,0,0,0,0,0,3,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,5,0,0,0,0,0,0,0,0,1,0,0,0,2,0,0,0,1,6,0,0,4,0,0,0,2,0,1,19,0,0,0,1,0,0
2023-05-21T01,90,4,0,0,0,0,1,0,0,1,0,0,0,0,0,5,0,7,0,0,0,0,7,1,0,0,8,0,0,0,0,0,0,2,0,0,1,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,8,0,0,3,0,0,0,1,0,2,28,0,0,0,1,0,0
2023-05-21T02,96,3,0,0,0,0,3,0,0,1,0,0,0,0,0,1,0,12,0,0,2,0,9,0,0,0,8,0,0,0,1,0,0,2,0,0,2,3,0,0,0,1,0,0,1,0,0,0,0,0,1,0,2,3,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,1,6,0,0,3,0,0,0,3,0,1,22,0,0,0,0,0,0
2023-05-21T03,72,2,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0,5,0,0,2,1,6,0,0,0,3,0,0,0,1,0,0,2,0,0,2,3,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,3,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,7,0,0,2,0,0,0,2,0,0,22,0,0,0,0,0,0
2023-05-21T04,103,2,0,1,0,0,1,0,2,1,0,0,0,0,0,1,0,5,1,0,2,1,20,1,0,0,4,0,0,0,0,0,0,2,0,0,3,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,2,0,0,0,1,9,0,0,1,0,0,0,3,0,0,29,0,0,0,0,0,0
2023-05-21T05,109,5,0,0,0,0,1,0,1,1,0,1,0,0,1,0,0,8,1,0,0,0,23,1,0,0,5,0,0,0,0,0,0,2,0,0,2,3,0,0,0,3,0,0,0,0,0,2,0,0,0,0,2,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,7,0,0,1,0,0,0,2,0,2,28,0,0,0,2,0,0
2023-05-21T06,96,2,0,0,0,0,0,0,2,1,0,0,0,0,1,0,3,5,0,0,0,0,22,0,0,0,5,0,0,0,0,0,0,2,0,0,5,1,0,0,0,1,0,0,0,0,0,1,0,0,1,0,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,7,0,0,2,0,0,0,5,0,0,23,0,0,0,1,0,0
2023-05-21T07,103,3,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,3,0,0,0,0,24,2,0,0,8,1,0,0,0,0,0,2,0,0,2,3,0,0,0,2,0,0,1,0,0,0,0,0,3,0,3,2,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,8,0,0,3,0,0,0,2,0,0,22,0,0,0,2,0,0
2023-05-21T08,99,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,24,0,0,0,8,0,0,0,0,0,0,2,0,0,2,3,0,0,0,5,0,0,0,0,0,6,0,0,2,0,2,5,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,1,0,1,0,0,0,0,0,2,0,0,0,2,7,0,0,4,0,0,0,3,0,0,14,0,0,0,0,0,0
2023-05-21T09,141,5,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,23,0,0,0,7,0,0,0,0,0,0,6,0,0,9,6,0,0,0,2,0,0,0,0,0,7,0,0,2,0,12,3,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,1,0,0,1,0,1,0,0,0,0,1,1,0,0,0,1,8,0,0,4,0,0,0,1,0,0,34,0,0,0,0,0,0
