bucket,total,--,AE,AL,AR,AT,AU,AZ,BA,BD,BE,BG,BJ,BO,BR,BY,CA,CH,CL,CN,CO,CR,CV,CZ,DE,DK,DO,DZ,EC,EE,EG,ES,ET,FI,FR,GB,GR,GT,HK,HR,HU,ID,IE,IL,IN,IQ,IR,IT,JP,KH,KR,KZ,LA,LB,LK,LT,LU,LV,MA,MD,MK,MO,MR,MX,MY,NG,NL,NO,NZ,PA,PE,PH,PK,PL,PS,PT,PY,RO,RS,RU,RW,SA,SC,SE,SG,SK,SN,TH,TM,TN,TR,TW,UA,UG,US,UY,VE,VN,ZA,ZM,ZW
2023-05-28T00,90,2,0,0,2,0,0,0,0,0,0,0,0,0,1,0,7,0,0,10,1,0,0,0,7,0,0,0,0,0,0,2,0,0,1,6,0,0,0,0,0,0,0,0,0,0,0,1,1,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,1,0,3,0,0,0,0,6,0,0,2,0,0,0,3,0,0,24,1,0,0,0,0,0
2023-05-28T01,83,3,0,0,3,0,0,0,0,0,0,0,0,0,0,0,8,0,3,7,0,0,0,0,3,0,0,0,0,0,0,1,0,0,1,4,0,0,2,0,0,0,1,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,4,0,0,0,0,0,0,0,0,0,0,0,0,2,2,0,0,0,5,0,0,3,0,0,0,1,0,0,26,0,0,0,0,0,0
2023-05-28T02,86,4,0,0,3,1,0,0,0,1,0,0,0,0,0,0,10,0,3,13,0,0,0,0,3,0,0,0,0,0,0,1,0,0,1,3,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2,2,0,0,1,6,0,0,1,0,0,0,1,0,0,25,0,0,0,0,0,0
2023-05-28T03,73,4,0,0,3,0,2,0,0,1,0,0,0,0,0,0,6,0,0,12,0,0,0,0,4,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,6,0,0,0,1,0,0,1,1,0,20,0,0,0,0,0,0
2023-05-28T04,83,4,0,0,1,0,1,0,0,0,0,0,1,0,1,0,5,0,0,11,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,2,0,0,1,0,0,0,0,0,2,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,2,0,0,0,0,0,0,0,3,0,0,0,0,8,0,0,0,1,0,0,2,1,0,21,0,0,0,0,0,0
2023-05-28T05,94,3,0,0,0,0,1,0,0,1,1,0,1,0,0,0,5,0,0,15,1,0,0,0,7,0,0,0,0,0,0,0,0,0,1,1,1,0,2,0,0,0,0,0,3,0,0,3,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,3,0,0,0,0,0,0,0,1,0,0,0,0,7,0,0,0,0,0,0,4,1,0,26,0,0,0,0,0,0
2023-05-28T06,79,2,0,0,2,0,1,0,1,0,0,0,0,0,0,0,6,0,0,5,0,0,0,0,7,1,0,0,0,0,0,0,0,0,1,2,0,0,2,0,0,0,0,0,0,0,0,1,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,5,0,0,0,0,1,0,0,0,1,0,0,0,2,0,0,0,0,8,0,0,3,0,0,1,1,0,0,22,0,0,0,0,0,0
2023-05-28T07,69,5,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,11,0,0,0,0,5,0,0,0,0,0,0,1,0,1,1,2,0,0,2,0,0,0,0,0,0,0,0,3,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,2,0,0,0,1,0,0,0,1,0,0,0,0,6,0,0,0,0,0,1,1,0,0,15,0,0,0,0,0,0
2023-05-28T08,80,2,0,0,0,2,1,0,0,0,0,1,0,0,2,0,0,0,1,8,0,0,0,0,14,0,0,0,0,0,0,0,0,0,1,2,0,0,0,0,0,0,0,0,1,0,1,3,0,0,7,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,3,0,0,0,0,1,0,0,0,0,0,0,0,4,0,0,0,0,7,0,0,5,0,0,1,0,0,0,12,0,0,0,0,0,0
2023-05-28T09,102,3,0,0,2,0,0,0,0,0,0,0,0,0,1,0,3,1,0,12,0,0,0,0,11,0,0,0,0,0,0,3,0,1,7,5,0,1,2,0,0,0,0,0,1,0,0,2,1,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,1,0,0,0,0,0,2,0,1,0,0,0,0,6,0,0,1,0,0,1,2,1,0,19,0,0,0,0,0,0
2023-05-28T10,100,2,0,0,0,1,1,0,0,0,0,0,0,0,0,0,2,2,0,13,0,0,0,0,11,0,0,0,0,0,0,2,0,0,3,4,0,0,1,1,0,0,0,0,1,0,0,2,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,1,0,1,0,1,0,2,0,2,0,0,0,1,6,0,0,2,0,0,1,4,1,0,19,0,0,1,0,0,0
2023-05-28T11,83,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,7,0,0,0,0,8,0,0,0,0,0,0,2,0,0,3,2,0,0,0,1,0,0,0,0,0,0,0,2,0,0,3,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,10,0,0,0,0,1,0,1,0,0,0,2,0,4,0,0,0,3,5,0,0,4,0,0,0,4,1,0,13,0,0,1,0,0,0
2023-05-28T12,111,4,0,0,0,0,1,0,0,0,0,0,0,0,2,0,0,0,0,18,1,0,0,0,12,0,0,0,0,0,0,0,0,0,5,7,0,0,3,0,0,0,0,0,1,0,0,2,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,0,0,0,0,1,0,1,0,1,0,2,0,2,0,0,0,0,6,0,0,6,0,0,0,3,2,0,17,0,0,0,0,0,0
