bucket,total,--,AE,AM,AR,AT,AU,BA,BD,BE,BG,BO,BR,BW,CA,CH,CL,CM,CN,CO,CR,CZ,DE,DK,DO,DZ,EC,EE,EG,ES,ET,FI,FR,GB,GL,GR,GT,HK,HR,HU,ID,IE,IL,IN,IR,IT,JP,KH,KR,KW,KZ,LA,LT,LV,LY,MA,MC,MD,MK,MM,MU,MW,MX,MY,NG,NL,NO,NZ,PE,PH,PK,PL,PT,PY,RO,RS,RU,RW,SC,SE,SG,SI,SK,SV,TG,TH,TR,TW,TZ,UA,US,UY,UZ,VE,VN,ZA
2023-06-18T00,108,2,0,0,1,0,0,0,0,1,0,0,2,0,5,0,1,0,6,0,0,0,9,0,0,0,0,0,0,1,0,0,1,4,0,0,0,0,0,0,0,0,0,0,0,2,2,0,3,0,0,0,1,0,0,0,0,0,1,0,0,0,0,3,0,2,0,0,0,0,0,1,1,0,0,0,1,0,0,0,6,0,0,0,0,7,2,1,0,2,39,0,0,0,1,0
2023-06-18T01,96,2,0,0,1,0,1,0,0,1,0,0,0,0,6,1,0,0,6,0,0,0,5,0,0,0,0,0,0,1,0,0,2,7,0,0,0,1,0,0,0,0,0,0,0,0,2,0,3,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,1,1,0,0,0,1,1,0,0,5,0,0,0,0,2,0,1,0,3,38,0,0,0,0,0
2023-06-18T02,86,1,0,0,1,0,1,0,0,0,0,0,0,0,9,1,1,0,7,0,0,0,4,0,0,0,0,0,0,1,0,0,0,3,0,0,0,1,0,0,0,0,0,1,0,0,4,0,2,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,1,1,0,0,0,4,0,0,0,7,0,0,0,0,2,1,2,0,2,24,0,0,0,0,1
2023-06-18T03,108,2,0,0,2,0,1,0,1,0,0,0,0,0,3,1,1,0,10,0,0,0,4,0,0,0,0,0,0,1,0,0,1,3,0,0,0,1,0,0,0,0,0,3,0,1,4,0,2,0,0,0,2,0,0,0,0,0,0,0,0,0,0,1,0,3,0,0,1,0,0,1,1,0,0,0,4,0,0,1,7,0,0,0,0,2,1,2,0,2,39,0,0,0,0,0
2023-06-18T04,87,3,0,0,3,0,1,0,0,0,1,0,0,0,7,1,1,0,6,0,0,0,3,0,0,0,0,0,0,1,0,0,1,4,0,0,0,1,0,0,0,0,0,3,0,0,2,0,4,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,1,1,0,0,0,1,0,0,0,6,0,0,0,0,1,0,1,0,2,27,0,0,0,1,0
2023-06-18T05,83,1,0,0,2,0,0,0,0,0,0,0,0,0,9,1,0,0,8,0,0,0,5,0,0,0,0,0,0,1,0,0,0,3,0,0,0,0,0,0,0,0,0,1,0,0,1,0,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,1,0,3,1,0,0,0,2,0,0,0,5,0,0,0,0,3,2,3,0,2,23,0,0,0,0,1
2023-06-18T06,85,4,0,0,2,0,0,0,0,0,0,0,1,0,4,1,0,0,8,0,0,0,4,0,0,0,0,0,0,1,0,0,0,3,0,0,0,0,0,0,0,0,0,1,0,0,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,2,1,1,1,0,0,0,2,0,0,0,7,0,0,0,0,8,0,7,0,3,19,0,0,0,0,0
2023-06-18T07,73,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,11,0,0,0,6,1,0,1,0,0,0,1,0,0,6,3,0,0,0,0,0,0,0,0,0,2,0,1,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,1,0,0,0,0,2,0,0,0,5,0,0,0,0,3,1,1,0,2,18,0,0,0,0,0
2023-06-18T08,82,2,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,6,0,0,0,8,0,0,0,0,0,0,1,0,0,1,4,0,0,0,1,0,0,0,0,0,0,0,4,2,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,3,0,0,0,0,0,1,0,0,0,0,1,0,0,0,6,0,0,0,0,12,0,3,0,3,19,0,0,0,0,0
2023-06-18T09,108,1,0,0,0,2,0,0,2,0,0,0,0,0,0,0,0,0,8,0,0,0,9,0,0,0,0,0,0,3,0,0,2,5,0,0,0,0,0,0,0,0,0,0,0,4,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,3,0,0,0,0,0,2,1,0,0,0,1,0,0,0,5,0,0,0,0,4,0,4,0,2,45,0,0,0,0,0
