bucket,total,--,AE,AR,AT,AU,BA,BD,BE,BG,BH,BN,BO,BR,BY,CA,CH,CL,CM,CN,CO,CR,CZ,DE,DK,DM,DO,DZ,EE,EG,ES,ET,FI,FR,GB,GE,GH,GR,GT,HK,HR,HU,ID,IE,IL,IN,IQ,IR,IT,JO,JP,KE,KH,KR,KY,KZ,LA,LB,LK,LT,LU,LV,MA,MD,MK,MM,MN,MO,MR,MU,MX,MY,NA,NG,NL,NO,NZ,PA,PE,PH,PK,PL,PT,PY,RO,RU,RW,SA,SC,SE,SG,SK,SN,TG,TH,TN,TR,TW,TZ,UA,UG,US,UY,UZ,VE,VN,ZA,ZW
2023-06-25T00,109,3,0,3,0,0,0,1,0,0,0,0,0,0,0,4,0,1,0,4,0,0,0,7,0,0,0,0,0,0,0,0,0,4,8,0,0,0,0,0,0,0,2,1,0,1,0,0,4,0,2,0,0,3,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2,0,0,6,0,0,0,0,0,0,1,0,0,0,4,0,0,0,0,7,0,0,0,1,0,0,0,0,0,0,37,0,0,1,1,0,0
2023-06-25T01,91,2,0,1,0,1,0,2,0,0,0,0,0,1,0,3,0,1,0,6,0,0,0,4,0,0,0,0,0,1,0,0,0,2,3,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,1,0,0,3,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,3,0,0,2,0,0,0,0,1,1,0,0,0,0,2,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,39,0,0,0,0,0,0
2023-06-25T02,103,2,0,0,0,4,0,2,0,0,0,0,0,1,1,4,0,0,0,10,0,0,0,5,0,0,0,0,0,1,0,0,0,1,4,0,0,0,0,1,0,0,1,0,0,2,0,0,1,0,5,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,2,0,0,3,0,0,0,0,2,0,1,0,0,0,3,0,0,0,0,13,0,0,0,0,0,1,2,0,1,0,27,0,0,0,0,0,0
2023-06-25T03,75,2,0,0,0,1,0,2,0,0,0,0,0,2,0,3,0,0,0,6,0,0,0,3,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,1,0,0,1,0,0,1,0,0,3,0,2,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,3,0,0,0,0,0,4,0,0,0,0,8,0,0,0,1,0,0,1,0,0,0,24,0,0,0,1,0,0
2023-06-25T04,72,1,0,1,0,2,0,1,0,0,0,0,0,0,0,4,0,0,0,12,0,0,0,2,0,0,0,0,0,0,0,0,0,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,2,0,1,0,0,0,4,0,0,0,0,7,0,0,0,3,0,0,0,0,0,0,20,0,0,0,1,0,0
2023-06-25T05,68,2,0,1,0,1,0,1,0,0,0,0,0,0,0,3,0,0,0,7,0,0,0,3,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,1,0,0,0,0,0,1,0,0,2,0,4,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,1,0,0,0,0,2,0,0,1,0,0,2,0,0,0,0,5,0,0,0,1,0,0,2,0,0,0,20,0,0,0,0,0,0
2023-06-25T06,96,2,0,2,0,1,0,1,0,0,0,0,0,1,0,4,0,0,0,12,0,0,0,3,0,0,0,0,0,0,0,0,0,3,2,0,0,0,0,2,0,0,0,0,0,1,0,1,2,0,6,0,0,2,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2,0,0,0,0,2,0,0,0,0,0,3,0,0,0,0,7,0,0,0,4,0,0,5,0,1,0,23,0,0,1,1,0,0
2023-06-25T07,80,1,0,1,0,2,0,1,0,0,0,0,0,1,0,1,1,0,0,9,0,0,1,4,0,0,0,0,0,0,0,0,0,2,4,0,0,0,0,4,0,0,1,0,0,1,0,1,4,0,2,0,0,2,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,5,0,0,0,0,6,0,0,0,1,0,0,2,0,1,0,17,0,0,1,1,0,0
2023-06-25T08,92,2,1,2,0,1,0,1,0,1,0,0,0,1,0,2,1,0,0,9,0,0,1,8,0,0,0,0,0,0,0,0,0,3,3,0,0,0,0,1,2,0,0,0,0,2,0,0,8,0,2,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,2,0,0,0,0,0,2,0,0,0,0,7,0,0,0,3,0,0,3,0,0,0,20,0,0,0,0,0,0
2023-06-25T09,107,5,1,1,0,0,0,1,0,0,0,0,0,1,0,2,1,0,0,8,0,0,1,11,0,0,0,0,0,0,5,0,0,5,3,0,0,0,0,0,2,0,0,0,0,1,0,0,5,0,2,0,0,1,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,5,0,0,0,0,2,0,1,0,0,1,5,0,0,0,0,6,0,0,0,4,0,0,6,0,1,0,16,0,0,0,0,0,0
