bucket,total,--,AE,AM,AR,AT,AU,AZ,BA,BD,BE,BG,BO,BR,BY,CA,CH,CI,CL,CM,CN,CO,CR,CZ,DE,DK,DO,DZ,EE,EG,ES,ET,FI,FR,GB,GE,GR,GT,HK,HN,HR,HU,ID,IE,IL,IN,IQ,IR,IT,JP,KH,KR,KZ,LA,LT,LV,MA,MK,MM,MO,MW,MX,MY,NE,NG,NI,NL,NO,NZ,PA,PE,PH,PK,PL,PS,PT,PY,RO,RS,RU,RW,SA,SC,SE,SG,SK,SY,TH,TM,TN,TR,TW,TZ,UA,UG,US,UY,UZ,VE,VN,YE,ZA,ZM,ZW
2023-07-02T00,145,3,0,0,2,0,0,0,1,0,0,0,1,2,0,7,1,0,0,0,9,0,0,1,8,0,0,0,0,0,2,0,1,4,7,0,0,0,3,0,0,0,0,1,0,2,0,0,3,6,1,4,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,13,0,0,2,0,0,0,3,1,1,0,47,0,0,0,1,0,1,0,0
2023-07-02T01,98,2,0,0,0,0,1,0,0,0,0,0,1,1,0,4,0,0,0,0,14,0,0,0,2,0,0,0,0,0,2,0,0,0,5,0,0,0,3,0,0,0,0,0,0,2,0,0,2,6,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,1,0,0,0,1,0,2,0,0,0,1,5,0,0,4,0,0,2,3,0,0,0,27,0,0,0,0,0,1,0,0
2023-07-02T02,102,3,0,0,1,0,3,0,0,0,0,0,0,0,1,6,0,0,1,0,9,0,0,0,3,1,0,0,0,0,0,0,0,1,4,0,0,0,3,0,0,0,1,0,0,1,0,0,0,6,0,2,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,6,0,0,4,0,0,0,6,0,0,0,32,0,0,0,0,0,1,1,0
2023-07-02T03,92,2,0,0,2,0,0,0,0,0,0,0,0,0,0,9,0,0,1,1,8,0,0,0,4,0,0,0,0,0,0,0,0,0,5,0,0,0,3,0,0,0,0,0,0,0,0,0,0,4,0,4,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,6,0,0,1,0,0,0,4,0,0,0,32,0,0,0,0,0,0,1,0
2023-07-02T04,99,3,0,0,1,0,3,0,0,0,0,0,0,0,0,7,0,0,1,0,9,0,0,0,5,0,1,0,0,0,0,0,1,1,3,0,0,0,2,0,0,0,0,0,0,1,0,0,0,5,0,2,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,5,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,8,0,1,1,0,0,0,6,0,0,0,27,0,0,0,0,0,0,0,0
2023-07-02T05,99,3,0,0,2,0,2,0,0,0,0,0,0,1,0,5,0,0,0,0,7,0,0,0,2,0,0,0,0,0,0,0,1,3,2,0,0,0,2,0,0,0,0,0,0,1,0,0,0,4,2,2,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,3,0,0,1,0,1,0,0,0,0,0,2,0,0,0,1,7,0,0,4,0,0,1,9,0,1,0,28,0,0,0,1,0,0,0,0
2023-07-02T06,97,3,0,0,0,0,1,0,0,0,0,0,0,2,0,4,0,0,0,0,10,0,0,0,5,0,0,0,0,0,0,0,0,3,3,0,0,0,1,0,0,0,0,0,0,1,0,0,0,3,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,2,0,1,0,0,0,0,0,0,0,0,0,1,6,0,0,10,0,0,0,13,0,1,0,23,0,0,0,0,0,0,0,0
2023-07-02T07,81,2,0,0,2,0,0,0,0,0,1,0,0,0,0,3,0,0,0,0,10,0,0,0,5,0,0,0,0,0,0,0,0,3,2,0,0,0,0,0,0,0,0,0,0,1,0,0,2,3,0,2,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,2,0,1,0,0,0,0,0,2,0,0,0,1,5,0,0,3,0,0,1,9,0,0,0,19,0,0,0,0,0,0,0,0
2023-07-02T08,102,2,0,0,0,0,2,0,0,0,0,0,0,0,0,1,0,0,0,0,9,0,0,0,5,1,0,0,0,0,0,0,1,3,4,0,0,0,5,0,0,0,1,0,0,0,0,0,3,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,1,0,2,0,0,0,0,0,3,0,0,0,1,5,0,0,8,0,0,1,9,0,1,0,23,0,0,0,1,0,0,0,0
2023-07-02T09,110,1,0,0,1,2,0,0,0,1,0,0,0,0,0,4,1,0,0,0,10,0,0,0,14,0,0,0,0,0,1,0,0,1,7,0,0,0,5,0,0,0,0,0,0,2,0,0,4,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,4,0,0,0,0,1,1,0,0,0,1,7,0,0,6,0,0,0,3,0,0,0,26,0,0,0,1,0,0,0,0
2023-07-02T10,128,1,0,0,1,3,0,0,0,0,1,0,0,0,2,1,1,0,0,0,22,0,0,0,13,0,0,0,0,0,0,0,1,2,11,0,0,0,4,0,0,0,0,0,0,0,0,0,4,5,0,3,0,0,0,0,0,1,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,2,0,0,0,0,0,2,0,0,0,3,5,0,0,9,0,0,1,2,0,1,0,20,0,0,0,1,0,0,0,0
2023-07-02T11,143,2,0,0,2,0,2,0,0,1,1,0,0,4,1,2,0,0,0,0,26,0,0,0,14,0,0,0,0,0,1,0,1,3,8,0,0,0,3,0,0,0,0,0,0,2,0,0,3,8,0,5,0,0,1,0,0,1,0,0,0,0,0,0,0,0,3,0,3,0,0,2,0,1,0,1,0,0,0,2,0,0,0,3,7,0,0,2,0,0,0,6,0,2,0,20,0,0,0,0,0,0,0,0
2023-07-02T12,119,2,0,0,2,0,0,0,0,0,1,0,0,0,2,2,2,0,0,0,22,0,0,0,15,0,0,0,0,0,0,1,1,2,5,0,0,0,4,0,0,0,0,0,0,2,0,0,3,3,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,3,0,1,0,0,0,0,0,3,0,0,0,1,6,0,0,3,0,0,1,8,0,3,0,17,0,0,0,0,0,0,0,0
2023-07-02T13,140,1,0,0,1,0,1,0,0,0,1,0,0,1,2,2,1,0,0,0,25,0,0,0,21,0,0,0,0,0,0,0,0,7,7,0,0,0,5,0,0,0,0,0,0,1,0,0,3,1,0,2,0,0,0,0,0,2,0,0,0,0,0,0,0,0,2,0,0,0,0,4,0,1,0,0,0,0,0,3,0,0,0,1,6,0,0,7,0,0,1,5,0,1,0,25,0,0,0,0,0,0,0,0
2023-07-02T14,136,3,0,0,0,0,1,0,0,0,4,0,0,1,0,2,1,0,1,0,24,0,0,0,18,0,0,0,0,0,1,0,0,7,8,0,0,0,1,0,0,0,0,0,1,1,0,0,5,2,0,2,0,0,0,0,0,0,0,1,0,0,0,0,0,0,5,0,0,0,0,2,0,1,0,0,0,0,0,2,0,0,0,3,5,0,0,10,0,0,1,4,0,1,0,18,0,0,0,0,0,0,0,0
