bucket,total,--,AE,AL,AM,AO,AR,AT,AU,BA,BB,BD,BE,BG,BO,BR,BY,CA,CH,CI,CL,CM,CN,CO,CR,CW,CZ,DE,DK,DO,EC,EE,EG,ES,ET,FI,FR,GB,GE,GH,GR,HK,HR,HU,ID,IE,IL,IN,IQ,IR,IT,JO,JP,KE,KH,KR,KZ,LB,LK,LT,LU,LV,MA,MC,MD,MG,MK,MM,MO,MW,MX,MY,NG,NL,NO,NP,NZ,PA,PE,PH,PK,PL,PT,PY,RE,RO,RS,RU,RW,SC,SE,SG,SI,SK,TH,TR,TW,TZ,UA,UG,US,UY,UZ,VE,VN,YE,ZA,ZM,ZW
2023-07-09T00,97,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,1,0,15,0,0,0,2,4,1,0,0,0,0,2,0,0,1,5,0,0,0,1,0,0,1,0,0,2,0,0,2,0,2,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,4,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,9,0,0,3,0,2,0,0,0,27,0,0,0,1,0,0,0,0
2023-07-09T01,88,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,5,0,0,0,0,17,0,0,0,1,3,0,0,1,0,0,1,0,0,1,3,0,0,0,0,0,0,0,0,0,0,0,0,2,0,3,0,0,2,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,6,0,0,1,1,2,0,2,0,31,0,0,0,0,0,0,0,0
2023-07-09T02,85,4,0,0,0,0,1,0,3,0,0,0,0,0,0,0,0,11,0,1,0,0,18,0,0,0,0,3,0,0,0,0,0,2,0,0,0,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,5,0,0,1,0,3,0,0,0,21,0,0,0,0,0,0,0,0
2023-07-09T03,78,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,14,0,0,0,0,2,0,0,0,0,0,1,0,1,2,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,2,5,0,0,2,0,2,0,1,0,29,0,0,0,0,0,0,0,0
2023-07-09T04,84,1,0,0,0,0,2,0,1,0,0,0,0,0,0,1,0,5,0,0,1,0,4,0,0,0,0,2,0,0,0,0,0,1,0,0,1,3,0,0,0,1,0,0,0,0,0,3,0,0,0,0,3,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,4,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,9,0,0,1,0,3,0,1,0,30,0,0,1,0,0,0,0,0
2023-07-09T05,64,2,0,0,0,0,2,0,0,0,0,0,0,0,0,1,0,6,0,0,1,0,7,0,0,0,1,2,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,1,7,0,0,0,0,3,0,1,0,22,0,0,0,0,0,0,0,0
2023-07-09T06,72,2,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,2,0,0,1,0,9,0,0,0,0,3,0,0,0,0,0,1,0,0,0,1,0,0,0,3,0,0,1,0,0,0,0,0,1,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,5,0,0,1,1,7,0,1,0,24,0,0,0,0,0,0,0,0
2023-07-09T07,109,2,0,0,0,0,0,0,1,0,0,0,1,0,0,2,0,4,1,0,0,0,6,0,0,0,0,7,0,0,0,0,0,2,0,0,2,3,0,0,0,4,0,0,0,0,0,2,0,2,2,0,5,0,0,5,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,3,0,0,1,0,0,2,0,1,0,0,1,0,0,2,0,0,2,11,0,0,5,1,2,0,1,0,24,0,0,0,0,0,1,0,0
2023-07-09T08,96,1,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,3,3,0,0,0,9,0,0,0,0,10,0,0,0,0,0,1,0,0,2,1,0,0,0,4,0,0,1,0,0,1,0,2,3,0,2,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,4,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,10,0,0,0,0,4,0,1,0,25,0,0,0,0,0,0,0,0
2023-07-09T09,81,2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,2,3,0,0,0,2,0,0,0,0,10,0,0,0,0,0,2,0,0,1,4,0,0,0,2,0,0,0,0,0,0,0,0,6,0,0,0,0,3,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,4,1,0,0,0,0,1,0,1,0,0,0,1,0,1,0,0,1,5,0,0,5,1,3,0,2,0,16,0,0,0,0,0,0,0,0
