bucket,total,--,AE,AM,AO,AR,AT,AU,AZ,BA,BD,BE,BG,BO,BR,BY,CA,CH,CL,CM,CN,CO,CR,CV,CW,CZ,DE,DK,DO,EC,EE,EG,ES,ET,FI,FR,GB,GE,GR,GT,HK,HR,HU,ID,IE,IL,IM,IN,IQ,IR,IS,IT,JO,JP,KE,KG,KH,KM,KR,KZ,LA,LB,LK,LT,LU,LV,MA,MC,MD,ME,MK,MM,MN,MO,MR,MU,MW,MX,MY,NG,NL,NO,NP,NZ,PA,PH,PK,PL,PR,PT,PY,RO,RS,RU,RW,SC,SD,SE,SG,SI,SK,SV,TH,TR,TW,TZ,UA,UG,US,UY,VE,VN,ZA,ZW
2023-07-23T00,99,1,0,0,0,0,0,0,0,0,0,0,0,0,2,0,6,0,0,0,12,0,0,0,0,0,3,0,0,0,0,0,0,0,0,1,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,1,0,0,0,0,2,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,2,0,4,0,0,2,0,0,0,0,0,0,0,0,0,4,0,0,0,0,7,0,0,0,0,0,3,0,1,0,38,0,0,0,0,0
2023-07-23T01,105,2,0,0,0,1,0,0,0,0,0,0,0,0,3,0,6,1,2,0,13,0,0,0,0,0,3,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,3,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,3,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,3,0,0,0,49,0,0,0,0,0
2023-07-23T02,77,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,15,0,0,0,0,0,3,1,0,0,0,0,0,0,0,0,1,0,0,0,2,0,0,0,0,0,0,3,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,2,0,0,1,0,2,0,0,0,0,0,0,0,2,0,0,0,0,6,0,0,0,1,0,3,0,0,0,23,0,0,0,0,0
2023-07-23T03,119,1,0,0,0,2,0,1,0,0,1,0,0,0,1,0,8,0,1,0,18,1,0,0,0,0,3,0,0,0,0,0,0,0,0,1,2,0,0,0,2,0,0,0,0,0,0,1,0,0,0,0,0,4,0,0,0,0,3,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,3,0,0,1,0,2,0,1,0,0,0,0,0,1,0,0,1,0,6,0,0,0,3,0,0,0,0,0,47,0,0,1,0,0
2023-07-23T04,140,2,0,0,0,0,0,1,0,0,1,0,0,0,0,0,8,0,0,0,14,0,0,0,0,0,3,0,0,0,0,0,0,0,1,3,1,0,0,0,2,0,0,1,0,0,0,1,0,0,0,0,0,3,0,0,1,0,3,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,6,0,0,2,2,0,1,0,1,0,75,0,0,1,0,0
2023-07-23T05,106,2,0,0,0,1,0,0,0,0,1,0,0,0,1,0,9,0,0,0,14,0,0,0,0,0,2,0,0,0,0,0,0,0,0,2,2,0,0,0,1,0,0,0,4,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,1,0,0,0,0,0,0,0,0,0,2,0,0,0,0,7,0,0,1,1,0,4,0,0,0,44,0,0,0,0,0
2023-07-23T06,95,1,0,0,0,0,0,2,0,0,0,0,0,0,0,0,7,2,0,0,15,0,0,0,0,0,3,0,0,0,0,0,0,0,0,3,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,3,0,1,0,0,6,0,0,0,2,0,2,0,0,0,38,0,0,1,0,0
2023-07-23T07,88,2,0,0,0,0,0,1,0,0,0,0,0,0,1,0,4,1,0,0,12,0,0,0,0,0,5,0,0,0,1,0,0,0,0,3,2,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,2,0,0,0,0,0,0,0,1,0,0,0,0,6,0,0,0,2,0,3,0,1,0,32,0,0,0,0,0
2023-07-23T08,71,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,3,1,0,0,11,0,0,0,0,0,8,0,0,0,0,0,0,0,0,5,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,1,0,1,0,1,0,0,0,0,0,0,0,2,0,0,0,2,6,0,0,0,2,0,3,0,0,0,15,0,0,0,0,0
2023-07-23T09,103,3,0,0,0,0,0,1,0,0,1,0,0,0,0,0,4,0,0,0,15,0,0,0,0,0,14,0,0,0,0,0,2,0,0,5,3,0,0,0,1,0,0,0,0,0,0,1,0,0,0,4,0,1,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,4,0,1,0,1,0,1,0,3,0,0,0,1,6,0,0,0,3,0,2,0,0,0,17,0,0,0,1,0
2023-07-23T10,96,3,0,0,0,1,0,0,0,0,1,1,0,0,1,0,2,1,0,0,4,0,0,0,0,0,13,0,0,0,1,0,1,0,1,3,6,0,0,0,2,0,0,0,0,0,0,1,0,0,0,4,0,0,0,0,0,0,3,0,0,0,0,2,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,5,0,0,0,0,1,0,1,0,0,0,0,0,2,0,0,0,1,10,0,0,0,3,1,0,1,0,0,19,0,0,0,0,0
