bucket,total,--,AE,AR,AT,AU,AZ,BA,BB,BD,BE,BG,BH,BO,BR,BY,CA,CH,CL,CM,CN,CO,CR,CV,CW,CZ,DE,DK,DO,EC,EE,EG,ES,FI,FR,GB,GE,GH,GR,GT,HK,HN,HR,HU,ID,IE,IL,IN,IR,IT,JP,KE,KH,KR,KZ,LA,LB,LT,LV,MA,MD,ME,MK,MM,MN,MO,MW,MX,MY,NA,NG,NL,NO,NP,NZ,PA,PE,PH,PK,PL,PT,RE,RO,RS,RU,RW,SC,SE,SG,SK,TH,TN,TR,TW,UA,US,UY,UZ,VE,VN,ZA,ZW
2023-07-30T00,125,3,0,1,0,0,0,0,0,0,0,0,0,0,1,0,3,2,0,0,1,3,0,0,0,0,6,0,0,0,0,0,0,1,3,4,0,0,0,0,0,0,0,0,0,0,0,1,0,2,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,2,3,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,7,0,3,0,0,1,2,71,0,0,0,0,0,0
2023-07-30T01,77,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,1,0,0,2,1,0,0,0,0,3,0,0,0,0,0,1,0,4,2,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,8,0,1,0,1,0,0,32,0,0,0,1,0,1
2023-07-30T02,69,2,0,0,0,2,0,0,0,0,0,0,0,0,1,0,5,1,0,0,2,0,1,0,0,1,2,0,0,0,0,0,1,0,1,2,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,4,0,0,0,0,3,0,0,0,0,1,0,0,0,5,0,1,0,1,0,1,25,0,0,0,0,0,0
2023-07-30T03,64,3,0,1,0,0,0,0,0,0,0,0,0,0,4,0,3,0,0,0,2,0,0,0,0,0,3,0,0,0,0,0,1,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,5,0,3,0,0,0,0,29,0,0,0,0,0,0
2023-07-30T04,54,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,5,0,0,0,2,0,0,1,0,0,3,0,0,0,0,0,0,0,3,1,0,0,0,0,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,5,0,1,0,0,1,0,19,0,0,0,0,0,0
2023-07-30T05,63,1,0,1,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,4,0,0,0,0,0,3,0,0,0,0,0,0,0,2,1,0,0,0,0,2,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,2,0,0,0,0,0,0,0,0,0,0,2,0,0,2,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,5,0,3,0,1,6,1,20,0,0,0,0,0,0
2023-07-30T06,89,2,0,0,1,1,0,0,0,0,0,0,0,0,0,0,4,0,0,0,5,0,0,0,0,0,6,0,0,0,0,0,0,0,4,1,0,0,0,0,2,0,0,0,1,0,0,1,0,0,0,0,0,4,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,1,0,0,0,0,3,1,0,0,5,0,2,0,0,3,1,36,0,0,0,0,0,0
2023-07-30T07,64,3,0,0,2,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,3,0,0,0,0,0,10,0,0,0,0,0,0,0,4,1,0,0,0,0,2,0,0,0,0,0,0,0,0,2,0,0,0,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,5,0,1,0,0,3,1,18,0,0,0,0,0,0
2023-07-30T08,60,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,3,0,0,0,0,0,10,0,0,0,0,0,3,0,4,5,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,1,0,0,0,0,1,0,2,0,0,1,5,0,1,0,0,1,0,11,0,0,0,0,0,0
2023-07-30T09,87,1,0,0,0,1,0,0,0,0,1,0,0,0,0,2,2,1,0,0,4,0,0,0,0,0,13,0,0,0,0,0,5,0,5,6,0,0,0,0,2,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,0,0,0,0,3,0,1,0,0,2,0,3,0,0,0,5,0,2,0,0,1,0,16,0,0,0,2,0,0
