bucket,total,--,AE,AL,AM,AR,AT,AU,BA,BB,BD,BE,BF,BG,BO,BR,BY,CA,CH,CI,CL,CM,CN,CO,CR,CV,CZ,DE,DK,DO,EC,EE,EG,ES,ET,FI,FR,GB,GE,GH,GR,HK,HR,HT,HU,ID,IE,IL,IN,IQ,IR,IT,JM,JO,JP,KE,KH,KR,KW,KZ,LA,LB,LK,LT,LU,LV,MA,MD,MK,MM,MO,MX,MY,NA,NG,NI,NL,NO,NP,NZ,PA,PE,PH,PK,PL,PR,PT,PY,RO,RS,RU,RW,SC,SE,SG,SI,SK,SO,TH,TN,TR,TW,TZ,UA,US,UY,UZ,VE,VN,WS,ZA
2023-08-06T00,94,2,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,3,2,0,0,0,9,0,0,0,0,7,0,0,0,0,0,1,0,0,4,4,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,8,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,1,0,9,0,0,0,2,0,0,2,0,0,28,0,0,0,0,0,0
2023-08-06T01,87,2,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,8,0,0,1,0,11,0,0,0,0,6,0,0,0,0,0,0,0,0,2,1,0,0,0,0,0,0,0,2,0,0,0,0,0,1,0,0,8,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,2,0,0,0,0,0,2,0,0,0,6,0,0,0,1,0,0,4,0,0,24,0,0,0,0,0,0
2023-08-06T02,85,5,0,0,0,0,0,3,0,0,0,0,0,1,0,0,0,3,0,0,1,0,11,0,0,0,0,5,1,0,0,0,0,0,0,0,3,4,0,0,0,2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,2,0,0,0,5,0,1,0,2,0,0,2,0,1,25,0,0,0,0,0,0
2023-08-06T03,89,4,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,6,0,0,0,0,12,1,0,0,0,5,1,0,0,0,0,0,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,4,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,3,0,0,0,0,0,0,0,3,0,0,0,5,0,0,0,3,0,0,2,0,0,28,0,0,0,1,0,0
2023-08-06T04,89,2,0,0,0,0,0,1,0,0,0,0,0,0,0,2,0,2,0,0,0,0,13,1,0,0,0,7,0,0,0,0,0,0,0,0,1,3,0,0,0,2,0,0,0,0,0,0,0,0,0,1,0,0,4,0,1,3,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,3,0,0,0,5,0,0,0,2,0,0,1,0,1,26,0,0,0,3,0,1
2023-08-06T05,77,2,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,3,0,0,0,0,1,0,0,0,0,5,0,0,0,0,0,0,0,0,1,2,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,1,14,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,3,0,0,0,0,0,1,0,5,0,0,1,5,0,0,0,4,0,0,1,0,0,21,0,0,0,0,0,0
2023-08-06T06,96,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,1,0,0,0,0,7,0,0,0,0,0,0,0,0,7,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,2,0,0,1,0,1,0,0,0,0,0,4,0,0,1,5,0,0,0,4,0,0,4,0,1,44,0,0,0,2,0,0
2023-08-06T07,94,4,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,5,2,1,0,0,2,1,0,0,0,8,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,2,0,0,0,0,0,22,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,1,0,0,1,0,0,0,0,0,0,0,4,0,0,0,6,0,0,0,3,0,1,1,0,0,22,0,0,0,0,0,0
2023-08-06T08,78,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,2,1,0,0,0,18,0,0,0,0,0,0,0,0,3,1,0,0,0,1,0,0,0,0,0,0,2,0,0,1,0,0,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,2,0,1,0,0,0,0,0,6,0,0,0,6,0,0,0,6,0,0,2,0,1,14,0,0,0,1,0,0
2023-08-06T09,102,6,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,2,1,0,0,0,2,1,0,0,0,27,0,0,0,0,0,1,0,0,3,8,0,0,0,2,0,0,0,1,0,0,0,0,1,2,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,5,0,0,0,0,0,4,0,2,0,0,0,1,0,3,0,0,0,5,0,0,0,8,0,1,1,0,2,8,0,1,0,0,0,0
2023-08-06T10,81,1,0,0,0,0,2,0,0,0,0,0,0,0,0,2,0,1,0,0,0,0,3,1,0,0,0,16,0,0,0,0,0,0,0,0,3,8,0,0,0,1,0,0,0,0,0,0,0,0,1,5,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,2,0,0,0,0,0,1,0,3,0,0,0,6,0,0,0,2,0,0,1,0,0,11,0,0,0,0,0,0
2023-08-06T11,95,1,0,0,0,2,0,0,0,0,0,0,0,0,0,4,1,0,1,0,0,0,6,0,0,0,0,15,0,0,0,0,0,0,0,0,6,8,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,8,1,0,2,0,0,1,0,1,0,0,0,1,0,3,0,0,0,6,0,0,0,5,0,1,1,0,1,15,0,0,0,0,0,0
