bucket,total,--,AE,AL,AR,AT,AU,AZ,BA,BD,BE,BG,BR,BY,CA,CH,CL,CM,CN,CO,CR,CV,CY,CZ,DE,DK,EC,EE,EG,ES,ET,FI,FR,GB,GH,GR,HK,HU,ID,IE,IL,IN,IQ,IR,IS,IT,JP,KE,KR,KZ,LB,LT,LU,LV,MA,MK,MM,MX,MY,NG,NL,NO,NP,NZ,PA,PE,PH,PK,PL,PS,PT,RO,RS,RU,RW,SA,SC,SE,SG,SI,SK,SV,SY,TH,TN,TR,TW,UA,US,UY,VN,ZA,ZM
2023-09-03T00,85,2,0,0,0,2,0,0,1,0,0,0,1,0,9,0,1,0,2,0,0,0,0,0,8,1,0,0,0,1,0,0,6,3,0,0,1,0,0,0,0,3,0,1,1,2,1,0,2,0,0,1,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,6,0,0,0,0,2,0,0,1,0,22,0,1,0,0
2023-09-03T01,86,2,0,0,0,0,1,0,0,0,1,0,1,0,3,0,0,0,1,0,0,0,0,0,6,0,0,0,0,1,0,0,5,1,0,0,1,0,0,0,0,0,0,0,1,1,0,0,1,0,0,2,0,0,0,0,0,0,0,0,3,1,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0,0,5,0,0,0,0,4,0,0,1,1,40,0,0,0,0
2023-09-03T02,84,2,1,0,0,0,1,0,0,0,1,0,1,0,4,1,0,0,6,0,0,0,0,0,5,1,0,0,0,0,0,0,1,2,0,0,4,0,0,5,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,3,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,9,0,0,0,0,3,0,0,1,0,28,0,0,0,0
2023-09-03T03,70,2,0,0,0,0,0,0,0,0,0,0,1,0,5,0,1,0,4,0,0,0,0,0,5,1,0,0,0,1,0,0,2,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,2,0,0,0,0,0,1,0,0,2,0,0,0,0,0,1,0,1,0,0,0,0,1,1,0,0,1,5,0,0,0,0,2,0,1,1,0,26,0,0,0,0
2023-09-03T04,73,2,1,0,1,0,2,0,0,0,0,0,2,0,9,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,3,3,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,2,0,0,0,0,0,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,5,0,0,0,0,1,0,0,1,0,28,0,0,0,0
2023-09-03T05,97,3,0,0,2,0,0,0,0,0,0,0,1,0,5,1,0,0,2,0,0,0,0,0,3,0,0,0,0,0,0,0,2,1,0,0,2,0,0,0,0,1,0,0,1,1,0,0,1,0,0,2,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,2,0,0,0,0,6,0,0,0,0,0,0,0,2,0,57,0,0,0,0
2023-09-03T06,100,3,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,4,0,0,0,0,0,7,1,0,0,0,2,0,0,2,1,0,0,1,0,0,0,0,0,0,0,1,1,0,0,3,0,0,1,0,0,0,0,0,0,0,0,2,0,0,0,0,0,1,0,2,0,0,0,0,2,0,0,0,0,6,0,0,0,0,0,0,0,9,0,48,0,0,0,0
2023-09-03T07,100,2,0,0,0,0,0,0,1,0,0,0,2,0,4,0,0,0,7,0,0,0,0,1,7,1,0,0,0,1,0,0,1,1,0,0,2,0,2,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,2,0,0,0,0,0,3,0,0,0,0,0,0,1,0,0,0,0,5,0,0,0,0,2,0,0,6,1,44,0,0,1,0
2023-09-03T08,120,3,0,0,0,0,0,0,0,0,0,0,1,0,4,0,0,0,3,0,0,0,0,0,10,0,0,0,0,1,0,1,2,1,0,0,0,1,0,0,0,0,0,0,1,3,0,0,4,0,0,1,0,0,0,0,0,0,0,0,3,0,0,0,0,0,3,0,0,0,0,1,0,3,0,0,0,1,6,0,0,0,0,3,0,0,11,0,53,0,0,0,0
2023-09-03T09,82,4,0,0,0,0,1,0,0,0,0,0,1,0,3,1,0,0,5,0,0,0,0,0,12,0,0,0,0,2,0,0,8,3,0,0,0,0,0,0,0,0,0,0,1,2,0,0,1,0,0,2,0,0,0,0,0,0,0,0,2,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,5,0,0,0,0,5,0,0,7,1,14,0,0,0,0
