bucket,total,--,AE,AL,AR,AT,AU,AZ,BA,BB,BD,BE,BG,BO,BR,BW,BY,CA,CH,CI,CL,CM,CN,CO,CR,CY,CZ,DE,DK,DO,EC,EE,EG,ES,ET,FI,FR,GB,GE,GH,GR,HK,HR,HU,ID,IE,IL,IN,IQ,IR,IT,JP,KR,KZ,LA,LB,LT,LU,LV,MA,ME,MK,MM,MN,MU,MX,MY,NG,NL,NO,NZ,PA,PE,PH,PK,PL,PT,PY,RO,RS,RU,RW,SA,SC,SE,SG,SK,SO,SR,SY,TG,TH,TR,TW,UA,UG,US,UY,UZ,VE,VN,ZA
2023-09-10T00,98,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,1,0,0,0,20,0,0,0,0,6,0,0,0,0,0,1,0,0,2,4,0,0,1,0,0,0,0,0,0,0,0,0,3,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,2,0,4,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,1,2,0,0,33,0,0,0,0,0
2023-09-10T01,96,3,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,10,1,0,0,0,13,0,0,0,0,4,0,0,0,0,0,0,0,0,2,2,0,0,0,0,0,0,1,5,0,0,0,0,0,0,2,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,4,0,1,0,0,0,0,2,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,2,3,5,0,0,25,0,0,0,1,0
2023-09-10T02,77,1,0,0,0,0,1,0,0,0,0,0,0,0,2,0,0,5,0,0,0,0,18,0,0,0,0,6,0,0,0,0,0,1,0,0,0,2,0,0,0,4,0,0,0,0,0,0,0,0,1,0,2,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,1,0,2,0,0,21,0,0,0,0,0
2023-09-10T03,95,2,1,0,0,0,0,0,0,0,1,0,0,0,2,0,0,5,0,0,0,0,17,0,0,0,0,7,0,0,0,0,0,0,0,0,2,3,0,0,0,0,0,0,0,4,0,0,0,0,0,1,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,2,0,0,0,0,1,0,0,0,0,5,0,0,0,0,0,2,0,2,0,0,33,0,0,0,0,0
2023-09-10T04,63,2,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,5,0,0,0,0,7,0,0,0,0,3,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,2,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,1,0,2,0,0,26,0,0,0,0,0
2023-09-10T05,52,2,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,3,0,0,0,0,0,1,0,0,4,1,0,0,0,0,0,0,0,0,0,1,0,0,2,0,0,0,0,0,2,0,0,0,0,0,0,0,0,1,0,0,2,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,7,0,0,0,0,0,1,1,2,0,0,16,0,0,0,0,0
2023-09-10T06,56,1,0,0,2,0,0,0,0,0,1,0,0,0,0,0,0,2,0,0,0,0,3,0,0,0,0,3,0,0,0,0,0,0,0,0,1,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,2,0,5,0,0,23,0,0,0,0,0
2023-09-10T07,64,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,4,0,0,0,0,0,1,0,0,3,2,0,0,0,2,0,1,0,6,0,0,0,0,0,0,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,2,0,0,0,0,2,0,0,0,0,5,0,0,0,0,0,3,0,4,0,0,18,0,0,0,0,0
2023-09-10T08,67,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,2,0,0,0,0,4,0,0,0,0,6,0,0,0,0,0,1,0,0,2,2,0,0,0,3,0,0,0,0,0,0,0,1,3,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,2,0,0,0,0,1,1,0,0,1,5,0,0,0,0,0,2,0,4,1,0,19,0,0,0,0,0
2023-09-10T09,84,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,3,0,0,0,0,13,0,0,0,0,0,2,0,1,4,4,0,0,0,5,0,0,0,0,0,0,0,0,3,2,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,5,1,0,0,0,1,0,3,0,0,0,0,1,0,0,0,0,5,0,0,0,0,0,0,0,4,0,0,20,0,0,0,1,0
