bucket,total,--,AE,AR,AT,AU,AZ,BA,BB,BD,BE,BG,BJ,BO,BR,CA,CH,CL,CM,CN,CO,CR,CZ,DE,DK,DO,DZ,EG,ES,ET,FI,FR,GB,GE,GH,GR,GT,HK,HU,ID,IE,IL,IN,IQ,IR,IT,JP,KG,KH,KR,KW,KZ,LB,LT,LY,MA,ME,MK,MN,MX,MY,NE,NG,NL,NO,NZ,PA,PE,PH,PK,PL,PR,PT,PY,RO,RU,RW,SA,SE,SG,SI,SK,SZ,TH,TN,TR,TW,UA,UG,US,UY,VE,VN,ZA,ZW
2023-09-24T00,148,2,0,1,0,0,0,1,0,0,1,0,0,1,3,4,0,1,0,29,0,0,0,9,0,0,0,0,1,0,1,4,5,0,0,0,0,0,0,0,0,0,1,0,0,4,2,1,0,7,0,0,0,2,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,2,0,1,2,0,0,1,5,0,0,0,0,1,0,4,0,0,50,0,0,0,0,0
2023-09-24T01,117,1,0,2,0,0,0,1,0,0,0,0,0,1,2,9,0,0,0,20,0,0,0,3,0,0,0,0,0,0,0,1,5,0,0,0,0,1,0,1,0,0,1,0,0,1,1,1,0,1,0,0,0,2,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,2,0,0,1,5,0,0,1,0,1,0,3,0,0,47,0,0,0,0,0
2023-09-24T02,100,1,0,1,0,0,0,0,0,0,0,0,0,1,3,7,0,0,0,18,0,0,0,2,0,0,0,0,2,0,0,3,3,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,1,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,5,0,0,0,0,0,0,4,0,0,42,0,0,0,0,0
2023-09-24T03,89,3,0,1,0,2,0,0,0,0,0,1,0,0,3,5,0,0,0,18,0,1,0,4,0,0,0,0,0,0,0,1,3,1,0,0,0,2,0,1,0,0,2,0,1,0,3,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,5,0,0,0,1,0,0,2,0,0,24,0,0,0,0,0
2023-09-24T04,85,2,0,0,0,0,0,0,0,1,0,1,0,0,2,3,0,0,0,14,0,0,0,4,0,0,0,0,1,0,0,1,2,1,0,2,0,0,0,1,0,0,2,1,0,0,3,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,2,0,0,1,5,0,0,0,0,0,0,3,0,0,31,0,0,0,0,0
2023-09-24T05,92,1,0,1,0,1,0,0,0,1,0,0,0,0,2,3,0,0,0,22,0,0,0,2,0,0,0,0,1,0,0,3,3,0,0,0,0,2,0,1,0,1,1,0,2,1,3,0,0,1,0,0,0,2,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,3,0,0,1,5,0,0,0,2,0,0,2,0,0,21,0,0,1,0,0
2023-09-24T06,109,2,0,1,0,0,0,0,0,1,0,0,0,0,2,3,0,0,0,21,0,0,0,3,0,0,0,0,2,0,0,1,2,0,0,1,0,1,2,1,0,1,2,0,3,2,5,0,0,1,0,0,0,2,0,0,0,0,0,0,2,0,0,1,0,0,0,0,0,1,0,0,0,0,0,3,1,0,1,6,0,0,0,1,0,0,7,0,0,27,0,0,0,0,0
2023-09-24T07,100,1,0,0,0,2,0,0,0,1,0,0,0,0,2,2,0,0,0,21,0,0,0,4,0,0,0,0,1,0,0,1,3,0,0,1,0,2,1,0,0,1,1,0,1,2,4,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,5,0,0,0,4,0,0,4,0,0,30,0,0,0,0,0
2023-09-24T08,111,2,0,0,0,0,0,0,0,2,0,0,0,0,3,1,1,0,1,14,0,0,0,7,0,0,0,0,3,0,0,5,6,0,0,0,0,0,0,0,0,0,2,0,1,6,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,2,0,0,0,0,0,0,3,0,0,0,2,2,0,0,2,5,0,0,0,6,0,0,4,1,0,27,0,0,0,1,0
2023-09-24T09,117,2,0,0,0,0,0,0,0,1,0,0,1,0,1,2,0,0,1,19,0,0,0,10,0,0,0,0,0,0,0,10,7,0,0,1,0,0,0,0,0,0,2,0,1,9,2,0,0,0,1,0,0,1,0,0,0,0,0,1,1,0,0,3,0,0,0,0,0,0,2,0,0,0,0,1,0,0,3,6,0,0,0,5,0,0,6,0,0,17,0,0,1,0,0
2023-09-24T10,109,5,0,0,1,0,0,0,0,1,0,0,1,0,2,3,0,0,1,9,0,0,1,12,0,0,0,0,5,0,0,2,10,0,0,1,0,2,0,0,0,0,1,0,0,4,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,1,0,0,0,0,1,0,0,2,6,0,0,0,3,0,0,2,0,0,23,0,0,2,1,0
2023-09-24T11,123,5,0,0,2,1,0,0,0,1,1,0,0,0,1,2,0,0,0,9,0,0,1,14,0,0,1,0,4,0,0,4,11,0,1,1,1,2,0,0,0,0,0,0,1,3,4,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,1,0,0,2,0,0,0,1,0,0,0,0,0,1,7,0,0,0,5,0,0,4,0,0,28,0,0,1,0,0
2023-09-24T12,136,4,0,0,1,1,0,1,0,0,1,0,0,0,4,3,1,0,0,8,0,0,0,14,0,0,0,0,4,0,0,10,5,1,1,0,1,3,0,0,0,0,0,0,1,4,5,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,2,0,0,0,0,0,2,2,0,0,3,5,0,0,0,9,0,2,9,0,0,23,0,0,0,0,1
2023-09-24T13,158,2,0,0,0,1,0,1,0,0,0,0,0,0,2,5,1,0,0,11,0,1,1,14,0,0,0,0,2,0,0,10,9,0,0,0,1,3,0,1,0,0,0,0,0,7,7,0,0,2,0,0,0,0,0,0,0,0,0,1,0,0,0,7,0,0,0,0,2,0,2,0,0,0,0,3,0,0,8,7,0,0,0,13,0,0,13,0,0,19,0,0,1,0,1
2023-09-24T14,192,1,0,0,1,0,0,1,0,1,0,0,0,0,2,7,1,1,0,18,0,0,1,14,0,0,0,0,2,0,0,11,7,0,0,0,0,3,0,1,1,1,3,0,1,11,9,0,0,2,0,1,0,0,0,0,0,0,0,1,1,0,0,6,0,1,0,0,3,0,2,0,1,0,0,3,0,0,8,8,0,0,0,12,0,0,16,0,0,28,0,0,0,0,1
2023-09-24T15,172,1,1,0,1,0,0,1,0,1,0,0,0,0,2,5,1,1,0,14,0,0,0,20,0,0,0,0,4,0,0,9,5,0,0,0,0,1,0,1,0,1,3,0,1,20,5,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,3,0,0,0,0,3,0,5,0,2,0,0,1,0,0,3,6,0,0,0,13,0,0,9,0,0,27,0,0,0,0,0
2023-09-24T16,165,2,0,0,1,0,0,0,0,0,1,0,0,0,2,3,1,0,0,6,0,0,0,24,0,0,0,0,4,0,0,10,10,0,0,0,0,3,0,0,0,0,1,0,1,19,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,6,3,0,0,0,1,0,4,0,1,0,0,2,0,0,3,6,0,0,0,12,0,1,7,0,0,27,0,0,1,0,0
2023-09-24T17,160,1,0,0,0,0,0,0,0,0,1,1,0,0,1,2,0,0,0,2,0,0,0,21,0,0,0,0,6,0,0,9,12,1,0,0,0,2,1,0,0,0,0,0,0,17,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,12,0,0,0,0,1,1,4,0,0,0,0,0,0,0,4,7,1,0,0,15,0,0,6,0,0,28,0,1,0,0,0
2023-09-24T18,177,1,0,1,0,0,0,0,0,0,1,0,0,0,2,4,0,1,0,15,0,0,1,33,1,0,0,0,4,0,0,7,13,0,0,0,0,0,1,0,0,0,0,0,1,13,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,23,1,0,0,0,1,0,4,0,0,0,0,0,0,0,7,5,0,0,0,5,0,1,4,0,0,24,0,0,0,0,0
2023-09-24T19,163,1,0,2,0,0,0,0,0,0,2,0,0,0,3,13,1,1,0,10,0,0,0,22,1,0,0,0,2,0,0,8,11,0,0,0,0,2,1,0,0,0,0,0,1,14,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,21,1,0,0,0,1,0,4,0,0,0,0,1,0,0,3,6,0,0,0,3,0,0,2,0,0,23,0,0,0,0,0
2023-09-24T20,147,1,0,1,0,0,0,0,0,0,1,0,0,0,3,8,0,1,0,12,0,0,1,17,0,0,0,0,2,0,0,7,10,1,0,0,0,1,0,0,0,1,1,0,0,17,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,13,1,0,0,0,1,0,4,0,0,0,0,4,0,0,4,6,0,0,0,2,0,1,2,0,0,19,0,0,1,0,0
2023-09-24T21,107,1,0,1,0,0,0,0,0,0,0,0,0,0,3,5,0,0,0,3,0,0,0,10,1,0,0,0,1,0,0,4,6,0,0,0,0,1,0,1,0,0,1,1,0,13,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,8,2,0,0,0,1,0,5,0,0,0,0,2,0,0,3,6,0,0,0,2,0,0,1,0,0,23,0,0,0,0,0
2023-09-24T22,118,2,0,1,0,0,0,0,0,0,0,0,0,0,4,10,0,0,0,8,1,2,1,9,0,0,0,0,1,0,0,3,12,0,0,0,0,0,0,0,0,1,0,1,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,8,1,1,0,0,0,0,3,0,1,0,0,0,0,0,2,5,0,0,0,1,0,0,1,0,0,28,0,0,0,0,0
2023-09-24T23,91,1,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,1,0,5,1,2,0,6,0,0,0,0,1,0,0,2,6,0,0,0,0,0,0,0,0,0,1,0,0,11,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,2,0,0,2,5,0,0,0,2,0,0,1,0,0,25,0,0,0,0,0
2023-09-25T00,72,2,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,4,0,1,0,4,0,0,0,0,1,0,0,0,5,0,0,0,0,0,0,0,0,0,2,0,0,2,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,1,4,0,0,2,5,0,0,0,1,0,1,1,0,0,24,0,0,0,0,0
2023-09-25T01,75,3,0,0,0,1,0,0,0,0,0,0,0,0,0,8,0,0,0,3,0,1,0,3,0,0,0,0,0,0,0,2,4,0,0,0,0,1,0,2,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,2,0,2,0,0,0,0,1,0,0,0,0,2,0,0,1,7,0,0,0,0,0,0,1,0,0,27,0,0,0,0,0
2023-09-25T02,116,1,0,0,0,0,0,0,0,0,0,0,0,0,2,13,0,0,0,2,0,1,0,3,0,0,0,0,0,0,0,3,4,0,0,0,0,2,0,2,8,0,0,0,0,1,1,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,3,0,1,1,7,0,0,0,1,0,0,2,0,0,52,0,1,0,0,0
2023-09-25T03,84,1,0,1,0,0,0,0,0,0,0,1,0,0,2,5,0,0,0,8,0,2,0,3,0,0,0,0,0,0,0,4,3,0,0,0,0,0,0,1,0,0,0,0,0,2,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,2,0,0,0,0,2,0,1,2,6,0,0,0,1,0,0,3,0,0,28,0,0,0,0,0
2023-09-25T04,109,2,0,1,0,0,0,0,0,1,0,0,0,0,1,6,0,0,0,11,0,2,0,4,0,0,0,0,0,0,0,4,5,0,0,0,0,0,0,0,0,0,1,0,0,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,7,0,0,0,1,0,0,3,0,0,50,0,0,1,0,0
2023-09-25T05,96,3,0,1,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,6,0,1,0,4,0,0,0,0,1,0,0,3,3,0,0,0,0,0,0,0,0,0,1,0,0,2,2,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,3,1,0,0,0,0,0,0,0,0,0,1,3,0,0,2,7,0,0,0,0,0,0,1,0,0,45,0,0,1,0,0
2023-09-25T06,92,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,1,0,3,0,0,0,0,0,0,0,1,5,0,0,0,0,1,0,0,0,0,1,0,1,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1,0,0,0,0,0,0,0,0,0,0,3,0,0,2,7,0,0,0,1,0,0,2,0,0,48,0,0,0,0,0
2023-09-25T07,87,1,0,0,0,0,0,0,0,1,0,0,0,0,1,2,0,0,0,2,0,0,0,4,0,0,0,0,1,0,0,5,5,0,0,0,0,2,0,0,0,0,2,0,1,1,4,0,0,1,0,1,0,1,0,0,0,0,0,1,0,0,0,2,1,0,0,0,0,0,3,0,0,0,0,4,0,0,1,7,0,0,0,3,0,0,2,0,0,28,0,0,0,0,0
2023-09-25T08,85,2,0,0,0,1,0,0,0,0,0,0,0,0,0,3,0,0,0,5,0,0,3,6,0,0,0,0,1,1,0,1,6,0,0,0,0,2,0,0,0,1,3,0,1,2,3,0,0,1,0,1,0,0,0,0,0,0,0,1,0,1,0,4,0,0,0,0,0,0,3,0,0,0,0,1,0,0,1,6,0,0,0,3,0,0,1,0,0,20,0,0,1,0,0
2023-09-25T09,74,2,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,6,0,0,0,9,0,1,0,0,0,0,0,2,8,0,0,0,0,2,0,0,6,0,1,0,1,3,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,5,0,0,0,0,0,0,2,0,0,0,0,0,0,0,1,5,0,0,0,0,0,0,3,0,0,12,0,0,0,0,0
2023-09-25T10,103,4,0,1,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0,4,0,0,0,5,0,0,0,1,2,0,0,2,4,0,0,0,0,1,0,0,5,0,1,0,2,4,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2,0,2,0,0,0,0,0,0,0,1,1,1,0,0,1,6,0,0,0,2,0,0,1,0,0,44,0,0,1,0,0
2023-09-25T11,85,3,0,1,1,2,0,0,0,0,0,0,0,0,1,2,0,0,0,1,0,0,0,10,0,0,0,0,2,0,0,3,8,0,0,0,0,0,0,0,0,0,2,0,1,4,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,2,0,0,0,0,0,2,6,0,0,0,4,0,0,8,0,0,18,0,0,1,0,0
2023-09-25T12,109,2,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,4,1,0,0,11,0,0,0,0,0,0,0,4,11,0,0,0,0,1,0,0,0,0,4,0,0,9,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,3,0,0,0,0,1,0,2,0,0,0,0,3,0,0,1,7,0,0,0,9,0,0,8,0,0,21,0,0,2,0,0
2023-09-25T13,100,2,0,0,0,0,1,0,0,0,0,1,0,0,2,1,0,0,0,5,1,0,0,10,0,0,0,0,0,0,1,5,10,0,0,0,0,1,0,0,0,0,2,0,0,5,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,3,0,0,0,0,1,0,3,0,0,0,0,1,0,0,1,7,0,0,0,5,0,1,6,0,0,20,0,0,2,0,0
2023-09-25T14,101,3,0,0,0,1,0,0,0,0,0,0,0,0,4,3,0,0,0,3,1,0,0,10,1,0,0,0,1,0,1,6,7,0,0,0,0,1,0,0,0,0,1,0,0,3,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,2,0,2,0,0,0,0,3,1,0,2,5,0,0,0,9,0,0,11,1,0,16,0,0,0,0,0
2023-09-25T15,186,1,0,0,1,0,0,0,0,0,2,0,0,0,5,4,0,0,0,9,0,0,0,12,0,0,0,0,4,0,1,7,11,0,0,1,0,1,0,1,7,0,0,0,0,10,0,0,0,2,0,0,0,0,0,0,0,0,0,0,1,0,0,7,1,0,1,0,1,0,4,0,0,0,0,5,0,0,2,7,0,0,0,13,0,0,12,1,0,52,0,0,0,0,0
2023-09-25T16,128,2,0,0,1,0,0,0,0,0,1,0,0,0,1,4,0,0,0,3,0,0,0,16,0,0,0,0,3,0,0,9,12,0,0,0,0,0,1,2,0,0,1,0,0,15,2,0,0,2,0,1,0,1,0,0,0,0,0,0,0,0,0,6,0,0,1,1,1,0,0,0,0,0,0,0,0,0,2,6,0,0,0,9,0,0,3,0,0,22,0,0,0,0,0
2023-09-25T17,159,2,0,0,0,0,0,0,0,0,1,0,0,0,2,2,0,0,0,2,1,0,0,34,1,0,0,0,2,0,0,14,12,0,0,0,0,3,1,2,0,0,1,0,1,14,2,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,11,0,0,1,1,0,0,1,0,1,0,0,1,0,0,7,6,0,1,0,5,0,0,2,1,0,22,0,0,0,0,0
2023-09-25T18,192,2,0,1,0,0,0,0,0,0,1,0,0,0,1,5,2,0,0,6,1,0,0,49,0,0,0,0,3,0,0,15,18,0,0,0,0,0,0,1,1,0,1,0,1,10,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,0,0,0,0,0,0,5,0,0,0,1,1,0,0,4,7,0,1,0,5,0,2,2,0,0,29,0,0,0,0,0
2023-09-25T19,178,3,0,2,1,0,0,0,0,0,1,1,0,0,3,5,1,0,0,3,1,0,0,31,1,0,0,0,3,0,0,16,15,0,0,0,0,0,0,1,0,0,0,0,1,10,3,0,0,2,0,0,0,0,0,0,1,1,0,0,0,0,0,17,0,0,0,0,0,0,2,0,2,0,0,2,0,0,3,7,1,0,0,9,0,1,3,0,0,25,0,0,0,0,0
2023-09-25T20,152,1,0,2,1,0,0,0,0,0,1,0,0,0,2,4,2,0,0,1,1,0,0,24,0,0,0,0,1,0,0,9,15,0,0,0,0,0,0,2,0,0,1,0,0,20,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,12,0,0,0,0,0,0,1,0,1,0,1,2,1,0,5,5,1,0,0,3,0,1,2,0,0,27,0,0,0,1,0
2023-09-25T21,131,1,0,0,1,0,0,0,0,0,1,0,0,1,1,5,0,0,0,5,0,0,0,14,0,0,0,0,1,0,0,8,20,0,0,0,0,1,0,0,0,0,1,0,1,19,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,2,0,0,2,6,0,0,0,0,0,1,2,0,0,29,0,0,1,1,0
2023-09-25T22,120,3,0,0,0,0,0,0,0,0,0,0,0,1,2,7,0,0,0,11,1,0,0,8,0,0,0,0,2,0,0,3,14,0,0,0,0,1,0,0,0,0,1,0,1,11,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,1,0,2,1,0,0,0,2,0,0,2,5,0,0,0,0,0,1,3,0,0,27,1,0,1,1,0
2023-09-25T23,92,1,0,2,0,0,0,0,0,0,0,0,0,0,1,4,1,0,0,4,1,0,0,7,0,0,0,0,2,0,0,1,7,0,0,0,0,0,0,0,0,0,1,0,0,7,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,1,0,1,0,0,2,0,0,1,5,0,0,0,0,0,0,1,0,0,31,0,0,1,1,0
2023-09-26T00,111,2,0,2,0,0,0,0,0,0,0,0,1,0,0,11,0,0,0,3,0,1,0,6,0,0,0,0,1,0,0,1,5,0,0,0,0,2,0,1,0,0,0,1,1,3,3,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,2,0,0,1,5,0,0,0,0,0,0,3,0,0,50,0,0,1,2,0
2023-09-26T01,112,2,0,1,0,0,0,0,0,0,0,1,1,0,1,9,0,0,0,5,0,1,0,4,0,0,0,0,1,0,0,1,3,0,0,0,0,2,0,1,0,0,0,0,0,2,8,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,11,0,0,0,0,0,0,1,0,0,50,0,0,1,1,0
2023-09-26T02,145,1,0,0,0,0,0,0,1,0,0,0,0,0,3,9,0,0,0,16,0,0,0,2,0,0,0,0,0,0,0,3,3,0,0,0,0,2,0,1,4,0,1,0,0,1,6,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,14,0,0,0,2,0,0,2,0,0,68,0,0,0,1,0
2023-09-26T03,130,2,0,1,0,1,0,0,0,0,0,0,0,0,1,6,0,0,0,15,1,0,0,2,0,0,0,0,1,0,0,4,3,0,0,0,0,0,0,1,0,0,3,0,1,1,15,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,2,7,1,0,0,1,0,2,1,0,0,53,0,0,0,1,0
2023-09-26T04,141,3,0,0,0,1,0,0,0,0,0,0,0,0,0,3,0,0,0,6,1,0,0,14,0,0,0,0,2,0,0,4,3,0,0,0,0,2,0,1,1,0,0,0,1,1,9,1,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,2,0,1,0,0,0,0,1,0,0,0,0,3,0,0,2,8,1,0,0,1,0,2,2,0,1,59,0,1,0,1,0
2023-09-26T05,102,1,0,0,0,1,0,0,0,2,2,1,0,0,1,2,0,0,0,6,0,0,0,3,0,0,0,0,0,0,0,0,3,0,0,0,0,1,0,1,0,0,1,0,0,1,23,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,7,0,0,0,0,0,0,2,0,0,38,0,0,1,0,0
2023-09-26T06,109,3,0,0,0,2,0,0,0,2,0,0,0,0,1,2,0,0,0,3,0,0,0,3,0,0,0,0,1,0,0,3,4,0,0,0,0,0,1,0,0,0,1,0,0,1,3,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,2,0,0,0,0,0,0,1,0,0,0,1,1,0,0,1,9,0,0,0,1,0,1,1,0,0,58,0,0,1,0,0
2023-09-26T07,87,2,0,0,0,0,0,0,0,2,0,0,0,0,0,1,0,0,0,5,0,0,0,10,0,0,0,0,0,0,0,5,5,0,0,1,0,0,0,1,0,0,0,0,0,0,4,0,0,3,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,14,0,0,0,1,0,0,1,0,0,27,0,0,1,0,0
2023-09-26T08,111,2,0,1,0,0,0,0,0,1,0,0,0,0,1,2,0,1,0,8,0,0,0,8,0,0,0,0,1,0,0,4,5,0,0,1,0,0,0,1,0,0,1,1,0,1,4,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,1,0,1,0,0,0,0,0,0,0,2,14,0,0,0,2,0,0,1,0,0,43,0,0,1,0,0
