bucket,total,--,AE,AF,AM,AR,AT,AU,AZ,BA,BB,BD,BE,BG,BO,BR,BW,BY,BZ,CA,CH,CI,CL,CM,CN,CO,CV,CZ,DE,DK,DO,DZ,EC,EE,EG,ES,ET,FI,FR,GB,GE,GH,GR,GT,HK,HR,HU,ID,IE,IL,IN,IQ,IR,IT,JP,KE,KH,KR,KW,KZ,LA,LB,LK,LT,LU,LV,MA,MD,MK,ML,MM,MN,MO,MT,MU,MX,MY,NC,NE,NL,NO,NP,NZ,PA,PE,PH,PK,PL,PR,PT,PY,RO,RS,RU,RW,SE,SG,SI,SK,TH,TN,TR,TT,TW,TZ,UA,US,UY,UZ,VE,VN,ZA,ZM
2023-10-22T00,101,2,0,0,0,3,0,2,0,0,0,0,0,0,0,3,0,1,0,12,0,0,0,1,2,0,0,0,6,0,0,0,0,0,0,0,0,0,2,7,0,0,0,0,1,0,0,0,0,0,0,0,0,0,7,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,2,0,0,2,0,0,1,0,0,0,0,2,0,0,0,0,0,1,0,1,6,0,0,0,0,0,0,1,0,0,33,0,0,0,0,0,0
2023-10-22T01,111,2,0,1,0,3,0,2,0,0,0,0,0,0,0,2,0,0,0,13,0,0,0,0,4,1,0,0,3,0,0,0,0,0,0,0,0,0,2,5,0,0,0,0,1,0,0,0,0,0,1,0,0,1,5,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,1,0,0,0,0,0,1,0,1,6,0,0,0,0,0,0,1,0,1,48,1,0,0,0,0,0
2023-10-22T02,115,1,0,1,0,2,0,0,0,0,0,0,0,0,1,3,0,0,0,9,0,0,0,0,7,1,0,0,2,0,0,0,0,0,0,0,0,0,3,4,0,0,1,0,1,0,0,0,0,0,1,0,0,0,11,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,3,0,0,1,0,0,0,0,1,0,0,0,0,0,3,0,1,5,0,0,2,0,0,0,1,0,1,44,0,0,0,0,1,0
2023-10-22T03,101,2,0,0,0,2,0,0,0,0,0,0,0,0,1,2,0,0,0,9,0,0,0,0,11,0,0,0,3,1,0,0,0,0,0,0,0,0,2,3,0,0,2,0,3,0,0,1,0,0,2,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,2,0,0,0,0,0,0,0,3,0,1,0,0,0,2,0,1,5,0,0,1,0,0,0,1,0,0,28,0,1,0,3,0,0
2023-10-22T04,107,1,1,0,0,0,0,2,0,0,0,0,0,0,0,1,0,0,0,8,0,0,0,0,13,0,0,0,3,0,0,0,0,0,0,0,0,0,2,4,0,0,2,0,1,0,0,1,0,0,1,0,0,0,5,0,0,2,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,3,0,0,1,0,0,0,0,2,0,1,0,0,0,0,0,1,6,0,0,3,0,0,0,2,0,0,34,0,1,0,3,1,0
2023-10-22T05,81,3,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,3,1,0,0,0,6,0,0,0,2,0,0,0,0,0,0,0,0,0,1,3,0,0,1,0,1,0,0,0,0,0,1,0,1,1,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,1,0,0,0,0,0,2,0,1,5,0,0,2,0,0,0,6,0,0,27,0,1,0,0,1,0
2023-10-22T06,85,5,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,6,1,0,0,0,7,0,0,0,4,0,0,0,0,0,0,0,0,0,6,2,0,0,0,0,0,0,0,0,0,0,1,0,1,2,3,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,4,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,2,5,0,0,4,0,0,0,3,0,0,22,0,1,0,0,0,0
2023-10-22T07,72,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,3,0,0,0,5,0,0,0,0,0,0,0,0,0,4,4,0,0,0,0,1,0,0,0,0,0,2,0,0,1,2,0,0,2,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,3,0,0,0,1,0,1,0,1,5,0,0,3,0,0,0,2,0,0,24,0,0,0,0,0,0
2023-10-22T08,91,5,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,4,0,0,0,7,0,0,0,0,0,0,4,0,0,7,6,0,0,0,0,1,0,0,0,0,1,2,0,0,3,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,1,5,0,0,2,0,0,0,2,0,0,27,0,0,0,0,0,0
2023-10-22T09,82,7,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,4,0,0,0,10,0,0,0,0,0,0,2,0,0,7,5,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,1,0,2,0,0,0,0,0,1,0,1,5,0,0,0,0,1,0,2,0,0,20,0,0,0,0,0,0
