bucket,total,--,AE,AM,AR,AT,AU,AZ,BA,BB,BD,BE,BG,BH,BJ,BO,BR,BW,BY,CA,CH,CI,CL,CM,CN,CO,CR,CV,CY,CZ,DE,DK,DO,DZ,ES,ET,FI,FR,GB,GR,HK,HN,HR,HU,ID,IE,IL,IN,IR,IS,IT,JP,KE,KG,KH,KR,KW,KZ,LA,LB,LT,LU,LV,MA,MD,MK,MM,MN,MO,MR,MU,MW,MX,MY,NC,NG,NI,NL,NO,NZ,PE,PH,PK,PL,PS,PT,PY,RO,RS,RU,RW,SA,SC,SE,SG,SK,TG,TH,TN,TR,TW,UA,UG,US,UY,UZ,VE,VN,ZA,ZM,ZW
2023-10-29T00,150,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,1,0,0,0,0,0,9,0,0,0,0,0,1,5,8,0,2,0,0,0,1,0,0,3,0,0,9,0,0,0,0,4,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,5,0,2,0,0,0,1,0,1,0,0,0,2,0,0,0,0,5,0,0,1,0,0,2,0,0,71,0,0,0,1,0,0,0
2023-10-29T01,131,3,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,6,0,0,0,0,0,7,0,0,0,0,0,0,2,3,0,1,0,0,0,2,0,0,3,0,0,3,1,0,0,0,2,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,2,1,2,0,0,0,1,0,0,0,0,0,3,0,0,0,0,7,0,0,1,0,0,2,0,0,66,0,1,0,0,0,0,0
2023-10-29T02,104,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,13,0,0,0,0,0,1,0,0,0,0,3,0,0,0,0,0,1,1,4,0,2,0,0,0,0,0,0,0,0,0,2,5,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,3,1,0,0,0,7,0,0,1,0,0,2,0,0,50,0,1,0,0,0,0,0
2023-10-29T03,85,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,8,0,0,0,0,3,1,0,0,0,1,3,1,0,0,0,0,0,2,1,0,2,0,0,0,0,0,0,0,2,0,0,0,0,0,0,4,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,5,0,0,0,0,0,3,0,0,37,0,1,1,1,0,0,1
2023-10-29T04,122,3,0,0,1,0,1,0,0,0,2,0,0,0,0,0,2,0,0,6,0,0,0,0,17,0,0,0,0,0,4,1,0,0,0,0,0,0,2,0,1,0,0,0,0,7,1,0,2,0,0,5,0,0,0,4,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,1,1,1,0,0,0,0,0,2,0,0,0,0,5,0,0,2,0,0,5,0,0,39,0,1,1,0,0,0,1
2023-10-29T05,89,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,3,0,0,7,0,0,0,0,13,0,0,0,0,0,4,0,0,0,0,0,0,1,3,0,1,0,0,0,0,7,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,1,0,0,0,0,0,0,2,0,0,0,0,5,0,0,1,0,1,2,0,0,27,0,0,0,2,0,0,0
2023-10-29T06,82,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,4,1,0,0,0,16,1,0,0,0,0,5,0,0,0,0,0,0,1,3,0,2,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,2,0,1,0,0,0,0,0,0,0,2,0,0,0,0,5,0,0,2,0,0,4,0,0,24,0,0,0,0,0,0,0
2023-10-29T07,101,2,0,0,0,1,1,0,1,0,0,0,0,0,0,0,1,0,0,4,0,0,0,0,21,1,0,0,0,0,5,0,0,0,2,0,0,1,2,0,2,0,0,0,0,5,0,0,0,0,3,4,0,0,0,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,1,0,0,0,0,0,0,0,3,1,0,0,0,5,0,0,2,0,0,2,0,0,25,0,0,1,0,0,0,0
2023-10-29T08,111,1,0,0,1,0,0,0,0,0,1,2,0,0,0,0,0,0,0,2,1,0,0,0,20,1,0,0,0,0,6,2,0,0,1,0,0,3,2,0,2,0,0,0,0,7,0,0,1,0,1,5,0,0,0,0,0,0,1,0,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,1,0,0,0,0,0,1,0,2,0,0,0,5,5,0,0,3,0,0,3,0,0,25,0,0,1,0,0,0,0
2023-10-29T09,135,3,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,20,0,0,0,0,1,16,2,0,0,3,0,0,5,4,0,2,0,0,0,0,0,0,1,1,0,8,6,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,3,0,1,0,1,0,0,0,2,0,5,0,0,0,2,7,0,0,1,0,0,4,0,0,24,0,1,0,0,2,0,0
