bucket,total,--,AE,AR,AT,AU,BA,BB,BD,BE,BG,BR,BY,CA,CH,CI,CL,CM,CN,CO,CR,CV,CY,CZ,DE,DK,DO,DZ,EC,EE,EG,ES,ET,FI,FR,GB,GE,GR,HK,HR,HU,ID,IE,IL,IN,IQ,IR,IS,IT,JO,JP,KE,KG,KH,KR,KW,KZ,LA,LB,LK,LT,LU,LV,MA,MD,MK,MM,MO,MT,MU,MX,MY,NC,NG,NL,NO,NP,NZ,PA,PE,PH,PK,PL,PS,PT,PY,RE,RO,RS,RU,RW,SC,SE,SG,SI,SK,SN,TH,TL,TN,TR,TW,UA,US,UY,VE,VN,ZA,ZM
2023-11-12T00,112,1,0,0,0,3,0,0,0,0,0,0,0,8,1,0,0,0,3,0,0,0,0,0,8,0,0,0,0,0,0,1,0,0,6,5,0,0,1,0,0,0,1,0,0,0,0,0,7,0,1,0,0,0,2,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,2,3,0,0,6,1,0,1,0,0,0,0,2,0,1,0,0,1,1,2,1,0,2,5,0,0,0,0,0,0,0,0,0,33,0,0,0,0,0
2023-11-12T01,109,1,0,0,0,1,0,0,1,0,0,0,1,13,1,0,0,0,3,0,0,0,0,1,7,0,0,0,0,0,0,2,0,0,1,6,0,0,1,0,0,0,0,0,1,0,1,0,6,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,5,0,0,0,0,0,1,0,1,0,0,0,0,1,0,3,0,0,1,5,0,0,0,0,0,0,1,0,0,40,0,0,0,0,0
2023-11-12T02,93,2,0,1,1,3,0,0,0,0,0,0,1,11,0,0,0,0,2,0,0,0,0,0,6,0,0,0,0,0,0,2,0,0,3,2,0,0,4,0,0,0,2,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,1,0,0,0,0,1,0,0,0,0,0,0,3,0,0,1,5,0,0,0,0,0,0,1,1,0,33,0,0,0,0,0
2023-11-12T03,75,2,0,0,0,2,0,0,0,0,0,1,0,5,0,0,0,0,1,0,1,0,0,0,4,0,0,0,0,0,0,0,0,0,5,1,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,1,0,0,0,0,1,0,1,0,0,0,0,3,0,0,1,5,0,0,0,0,0,0,0,3,0,30,0,0,0,0,0
2023-11-12T04,79,1,1,0,0,2,0,0,0,0,0,0,0,7,0,0,0,0,2,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,2,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,7,0,0,1,5,0,0,0,0,0,0,0,0,0,33,0,0,0,0,0
2023-11-12T05,71,1,0,0,1,1,0,0,0,0,0,0,0,9,0,0,0,0,1,0,0,0,0,1,3,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,2,0,2,5,0,0,0,0,0,0,0,1,0,33,0,1,0,0,0
2023-11-12T06,84,1,0,0,0,3,0,0,0,0,1,0,0,5,1,0,0,0,3,0,0,0,0,0,6,0,0,0,0,0,0,1,0,0,2,4,0,0,4,0,0,0,1,0,1,0,0,0,0,0,3,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,1,0,0,0,0,0,0,1,0,2,0,0,1,6,0,0,0,1,0,0,0,1,1,29,0,0,1,0,0
2023-11-12T07,82,1,0,0,0,1,0,0,0,0,1,0,0,4,1,0,0,0,3,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,6,2,0,0,2,0,0,0,0,0,3,0,0,0,3,0,3,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,2,0,0,0,0,1,0,4,0,0,1,6,0,0,0,3,0,0,0,2,1,21,0,0,0,0,0
2023-11-12T08,79,3,0,0,0,2,0,0,0,0,0,0,0,3,0,0,0,0,4,1,0,0,0,0,8,0,0,0,0,0,0,0,0,0,3,2,0,0,2,0,0,0,1,0,0,1,0,0,3,0,3,0,0,0,2,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,1,0,2,0,1,0,0,0,0,2,1,0,5,5,0,0,0,2,0,0,0,3,0,14,0,0,0,0,0
2023-11-12T09,84,2,0,0,1,2,0,0,0,0,0,0,0,2,0,0,0,0,3,0,0,0,0,1,6,0,0,1,0,0,0,1,0,0,5,2,0,0,1,0,0,0,1,0,0,0,1,0,3,0,4,0,0,0,1,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,1,3,0,0,0,0,0,1,0,0,0,0,0,0,0,0,4,0,0,3,5,0,0,0,6,0,0,0,4,0,18,0,0,0,0,0
