bucket,total,--,AE,AM,AO,AR,AT,AU,BA,BD,BE,BG,BH,BO,BR,BY,BZ,CA,CH,CI,CL,CM,CN,CO,CR,CY,CZ,DE,DK,DO,DZ,EC,EE,ES,ET,FI,FR,GB,GE,GR,GY,HK,HR,HU,ID,IE,IL,IN,IQ,IR,IS,IT,JP,KE,KG,KH,KR,KW,KZ,LA,LB,LK,LT,LU,LV,MA,MD,MG,MK,MM,MN,MO,MU,MW,MX,MY,NC,NG,NL,NO,NZ,PA,PE,PH,PK,PL,PS,PT,PY,RE,RO,RS,RU,RW,SA,SC,SE,SG,SI,SK,SO,SY,TH,TN,TR,TW,TZ,UA,UG,US,UY,UZ,VE,VN,ZA,ZM
2023-11-19T00,109,3,0,0,0,1,1,1,0,1,1,0,0,0,0,0,0,7,1,0,0,0,0,1,0,0,0,14,0,0,0,0,0,0,0,0,7,10,0,0,0,0,0,0,0,0,0,0,0,0,0,11,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,2,0,0,4,0,0,0,0,0,0,2,0,0,0,0,0,0,1,0,0,0,1,5,0,1,0,0,1,0,0,0,0,0,0,27,1,0,1,0,0,0
2023-11-19T01,97,1,0,0,0,1,1,2,0,2,0,1,0,0,1,0,0,6,2,0,0,0,3,0,0,0,1,10,1,0,0,0,0,0,0,0,2,6,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,1,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,6,0,0,0,0,0,0,2,0,1,0,0,0,0,2,0,0,0,1,6,0,0,0,0,2,0,0,0,0,0,0,27,0,0,0,0,0,0
2023-11-19T02,106,6,0,1,0,0,0,1,0,1,0,0,0,0,1,0,0,6,0,0,0,1,2,0,0,0,0,7,1,0,0,0,0,1,0,0,0,6,0,0,0,0,0,0,0,0,0,2,0,0,0,0,7,0,0,0,2,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,1,0,1,0,0,0,0,0,0,3,0,0,0,1,5,0,0,0,0,2,0,1,0,0,0,0,41,0,0,0,0,0,0
2023-11-19T03,101,5,1,0,0,0,0,2,0,1,1,0,0,0,2,0,0,10,0,0,0,2,3,0,0,0,0,5,0,0,0,0,0,0,0,0,1,6,0,1,0,0,0,0,0,0,0,1,0,0,0,0,4,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,1,5,0,0,0,0,1,0,1,2,0,0,0,35,0,0,0,0,0,0
2023-11-19T04,92,3,0,0,0,0,0,2,0,2,0,0,0,0,1,0,0,7,0,0,0,0,7,0,0,0,0,7,0,0,0,0,0,0,0,0,0,6,0,0,0,1,0,0,2,0,0,1,0,0,0,0,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,2,0,0,0,0,2,0,0,0,0,0,0,3,0,0,0,1,6,1,0,0,0,0,0,1,0,0,0,0,32,0,0,0,0,0,0
2023-11-19T05,89,4,0,0,0,0,0,3,0,2,0,0,0,0,0,0,0,9,0,0,1,0,4,1,0,0,0,7,0,0,0,0,0,1,0,0,2,2,0,0,0,0,0,0,2,0,0,1,0,0,0,0,3,1,0,0,4,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,5,1,0,0,0,4,0,1,4,0,0,0,20,0,0,1,0,0,0
2023-11-19T06,83,3,0,0,0,1,0,2,0,2,0,0,0,0,1,0,0,4,1,0,0,0,3,0,0,0,0,7,0,0,0,0,0,1,0,0,3,2,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,3,6,0,0,0,0,3,0,0,0,0,0,0,28,0,0,1,1,0,0
2023-11-19T07,71,1,0,0,0,1,0,1,0,2,0,0,0,0,1,0,0,2,0,0,0,0,6,0,0,0,0,6,0,0,0,0,0,0,0,0,2,2,0,0,0,0,0,0,1,0,0,2,0,0,0,3,1,0,0,0,2,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2,0,0,0,0,0,0,2,0,0,0,0,0,0,3,0,0,0,1,5,0,0,0,0,3,0,0,0,0,0,0,19,0,0,0,0,0,0
2023-11-19T08,72,1,0,0,0,0,1,1,0,2,0,0,0,0,0,0,0,3,0,0,0,0,3,0,0,0,0,6,0,0,0,0,0,2,0,0,1,5,0,0,0,0,0,0,0,0,0,0,0,0,0,5,2,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,1,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,1,5,0,0,0,0,3,0,1,1,0,0,0,16,0,0,0,0,2,0
2023-11-19T09,98,4,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,3,0,0,1,0,4,0,0,0,0,16,0,0,0,0,1,3,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,11,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,4,0,0,0,0,1,0,2,0,0,0,0,2,0,1,0,0,0,1,5,0,0,0,0,2,0,0,0,0,0,0,19,0,0,0,1,0,0
