bucket,total,--,AE,AM,AR,AT,AU,AZ,BA,BD,BE,BG,BO,BR,BW,BY,CA,CH,CL,CM,CN,CO,CR,CY,CZ,DE,DK,DZ,EC,EE,ES,ET,FI,FR,GB,GE,GF,GH,GI,GR,GY,HK,HR,HU,ID,IE,IL,IN,IQ,IR,IT,JP,KE,KG,KH,KR,KW,KZ,LA,LB,LK,LT,LU,LV,MA,MK,MM,MO,MQ,MU,MX,MY,NG,NL,NO,NZ,PE,PH,PK,PL,PR,PT,PY,RO,RS,RU,RW,SA,SC,SE,SG,SK,TG,TH,TN,TR,TW,UA,UG,US,UY,UZ,VE,VN,ZA,ZM
2023-11-26T00,108,2,0,0,0,1,1,0,0,0,0,0,0,0,0,0,7,0,0,0,4,0,0,0,1,9,0,0,0,0,1,0,0,7,6,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,6,1,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,6,0,0,0,0,0,2,0,0,0,0,0,3,0,0,0,3,5,0,0,1,0,0,0,1,0,34,0,0,0,0,0,0
2023-11-26T01,87,2,0,0,0,0,5,0,0,1,0,0,0,0,0,0,7,0,0,0,3,0,0,0,0,5,0,0,0,0,1,0,0,4,6,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,4,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,2,1,0,3,0,0,0,0,0,1,0,0,0,0,0,2,0,0,0,1,5,0,0,0,0,0,0,1,0,29,0,0,0,0,0,0
2023-11-26T02,104,4,0,0,0,0,1,0,0,0,0,0,0,0,0,0,7,0,0,0,7,1,0,0,0,6,0,0,0,0,1,0,0,2,3,0,0,0,0,0,0,3,0,0,1,0,0,1,0,0,2,0,0,0,1,2,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,3,1,0,0,0,9,0,0,0,0,0,1,0,0,44,0,0,0,0,1,0
2023-11-26T03,82,2,1,0,0,0,0,0,0,1,0,0,0,0,0,0,9,0,0,0,5,1,0,0,0,3,0,0,0,0,1,0,0,2,1,0,0,0,0,0,0,1,0,0,0,4,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,4,0,0,0,0,5,0,0,0,0,0,5,0,0,30,0,0,0,0,0,0
2023-11-26T04,103,2,0,0,0,0,0,0,0,1,1,0,0,1,0,0,5,0,0,0,5,1,0,0,0,3,0,0,0,0,0,0,0,5,2,0,0,0,0,0,0,0,0,0,0,0,0,2,0,1,0,12,0,1,1,1,0,0,0,0,0,2,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2,1,0,0,0,6,0,0,0,0,0,2,0,0,44,0,0,0,0,0,0
2023-11-26T05,89,0,0,0,1,0,1,0,0,4,1,1,0,1,0,0,4,0,0,0,3,0,0,0,1,4,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,5,0,1,0,2,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,2,0,0,0,0,0,4,0,0,0,0,5,0,0,0,0,0,6,0,0,34,0,0,0,1,0,0
2023-11-26T06,81,0,0,0,0,0,3,0,0,1,0,1,0,1,0,0,3,1,0,0,5,1,0,0,0,5,0,0,0,0,0,0,0,2,2,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,4,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,3,0,0,0,0,5,0,0,1,0,1,4,0,0,31,0,0,0,0,0,0
2023-11-26T07,117,1,0,0,0,0,0,0,0,2,1,2,0,1,0,0,4,0,0,0,3,0,1,0,0,3,0,0,0,0,0,0,0,5,2,0,0,0,0,0,0,2,0,0,0,7,0,2,0,0,1,2,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,1,0,0,0,0,0,2,0,0,0,0,9,0,0,3,0,0,3,0,0,56,0,0,0,0,1,0
2023-11-26T08,103,1,0,0,1,0,1,0,0,2,0,0,0,0,0,0,4,1,0,0,6,0,1,0,0,7,0,0,0,0,0,0,0,4,3,0,0,0,0,0,0,2,0,0,0,0,0,2,0,0,3,3,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,3,0,2,0,0,0,1,0,0,0,0,0,3,0,0,0,0,5,0,0,2,0,0,1,0,0,43,0,0,0,0,0,0
2023-11-26T09,102,0,0,0,1,0,0,0,0,2,0,0,0,0,0,0,2,1,0,0,6,0,0,0,0,14,1,0,0,0,0,0,0,6,5,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,2,2,0,0,2,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,3,0,0,0,2,5,0,0,5,0,0,1,0,0,38,0,0,0,0,0,0
