bucket,total,--,AE,AM,AR,AT,AU,AZ,BA,BD,BE,BG,BH,BO,BR,BY,BZ,CA,CH,CI,CL,CM,CN,CO,CR,CY,CZ,DE,DK,DO,DZ,EC,EE,EG,ES,FI,FR,GB,GR,GT,HK,HR,HU,ID,IE,IL,IN,IQ,IR,IS,IT,JO,JP,KH,KR,KW,KZ,LA,LB,LT,LU,LV,MA,MC,MD,MK,MM,MO,MW,MX,MY,NC,NG,NL,NO,NP,NZ,PE,PH,PK,PL,PT,PY,QA,RO,RU,RW,SA,SC,SE,SG,SI,SK,TG,TH,TL,TN,TR,TW,TZ,UA,US,UY,UZ,VE,VI,VN,ZA,ZM
2023-12-03T00,136,1,0,0,2,0,0,0,1,0,1,1,0,0,0,0,0,5,3,0,0,0,20,0,0,0,0,13,0,0,0,0,0,0,0,1,7,8,0,0,0,0,0,0,0,0,3,0,0,0,9,0,3,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,2,2,0,0,2,0,1,0,0,1,0,1,0,0,0,1,1,0,0,0,0,6,0,0,0,1,0,0,0,1,0,0,35,0,0,0,0,2,1,0
2023-12-03T01,115,1,0,0,1,1,0,0,1,0,0,0,0,0,2,0,0,10,3,0,0,0,17,0,0,0,0,10,0,0,0,0,0,0,1,0,6,3,0,0,1,0,0,0,0,0,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,5,0,0,0,0,1,0,1,0,0,0,0,3,0,0,0,0,5,0,0,0,1,0,0,0,0,0,0,36,0,0,1,0,0,1,0
2023-12-03T02,116,0,0,0,2,0,0,0,0,0,0,1,0,0,1,0,0,6,0,0,0,0,16,0,0,0,0,7,1,0,0,0,0,0,0,0,0,3,0,0,0,0,0,1,0,0,2,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2,0,0,1,0,0,0,1,0,0,0,1,4,0,0,0,1,6,0,0,0,0,0,0,0,0,0,0,56,0,0,0,0,0,2,0
2023-12-03T03,100,2,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,7,1,0,0,0,19,0,0,0,0,4,2,0,0,0,0,0,0,0,0,2,0,0,1,0,0,0,0,0,1,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,1,0,0,1,0,7,0,0,0,0,0,0,0,1,0,0,35,0,1,0,0,2,1,0
2023-12-03T04,105,2,0,0,1,0,1,0,0,1,1,0,0,0,1,0,0,11,0,0,2,0,11,0,0,0,0,4,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,3,0,0,0,0,0,7,1,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,4,0,0,0,2,6,0,0,0,1,0,0,0,2,0,0,32,0,1,0,0,2,1,0
2023-12-03T05,96,2,0,0,0,0,1,0,0,1,0,2,0,0,0,0,0,2,1,0,0,0,6,0,0,0,0,7,0,1,0,0,0,0,0,0,3,2,0,0,1,0,0,0,0,0,0,1,0,0,0,0,6,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,3,0,0,0,0,0,1,0,0,1,0,0,0,0,7,0,0,0,2,0,0,0,1,0,0,39,0,0,0,0,2,0,1
2023-12-03T06,95,3,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,4,2,0,0,0,8,0,0,0,0,7,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,1,0,1,0,1,0,1,0,1,5,1,0,0,0,6,0,0,0,5,0,0,0,5,0,0,31,0,0,0,0,3,0,1
2023-12-03T07,71,1,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,5,0,0,0,0,6,0,0,0,0,5,0,0,0,0,0,0,0,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,4,0,0,0,1,5,0,0,0,3,0,0,0,2,0,1,21,0,0,0,0,4,0,0
2023-12-03T08,94,2,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,4,0,0,0,0,11,0,0,0,1,7,0,0,0,0,0,0,0,0,7,2,0,0,1,0,0,1,0,0,1,0,1,0,1,0,6,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,4,0,0,2,0,0,0,2,0,0,0,0,4,0,0,0,2,6,0,0,0,3,0,0,1,3,0,0,18,0,0,0,0,0,0,0
2023-12-03T09,106,1,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0,3,1,0,0,0,7,1,0,0,0,15,0,0,0,0,0,0,0,0,9,3,0,0,2,0,0,0,0,0,1,0,1,0,3,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,1,2,0,0,0,1,8,0,0,1,0,6,0,0,0,1,0,0,2,1,0,0,26,0,0,0,0,0,0,0
