bucket,total,--,AE,AR,AT,AU,BA,BD,BE,BG,BH,BO,BR,BY,BZ,CA,CH,CI,CL,CN,CO,CY,CZ,DE,DK,DO,DZ,EE,EG,ES,ET,FI,FR,GB,GH,GR,GT,HK,HN,HR,HU,ID,IE,IL,IN,IQ,IR,IT,JP,KH,KR,KZ,LA,LB,LT,LU,LV,MA,MC,MD,MK,MM,MO,MW,MX,MY,NG,NL,NO,NP,NZ,PE,PH,PK,PL,PT,RO,RS,RU,RW,SE,SG,SK,TH,TR,TW,TZ,UA,UG,US,UZ,VE,VN,ZA,ZM,ZW
2023-12-10T00,132,1,0,0,0,1,0,0,0,0,0,0,1,0,0,5,0,0,0,23,0,0,0,8,0,0,0,0,0,2,0,0,5,9,0,0,0,2,0,0,0,1,0,0,1,0,1,4,2,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,2,4,0,3,0,0,1,0,0,1,1,2,1,0,0,0,2,7,0,2,0,1,0,0,0,36,0,0,2,0,0,0
2023-12-10T01,109,0,0,0,0,1,0,0,0,0,0,0,2,0,0,10,0,0,1,21,0,0,0,6,0,0,0,0,0,1,0,0,2,8,0,0,0,0,0,0,0,1,0,0,1,0,0,0,3,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,4,0,0,1,0,0,2,0,1,1,0,0,1,2,6,0,0,0,1,0,0,0,31,0,0,0,0,0,0
2023-12-10T02,110,2,0,1,0,1,0,1,0,0,0,0,1,0,0,6,0,0,1,26,0,0,0,3,0,0,0,0,0,1,0,0,1,6,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0,0,1,0,2,5,0,1,0,3,0,0,0,37,0,0,0,2,0,0
2023-12-10T03,87,0,1,1,0,0,0,1,0,0,0,0,1,0,0,12,0,0,0,22,0,0,0,6,1,0,0,0,0,0,0,0,1,3,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,1,5,0,1,0,2,0,0,0,23,0,0,0,0,0,0
2023-12-10T04,85,0,2,1,0,1,0,0,0,0,0,0,0,0,0,7,0,0,0,17,0,0,0,5,0,0,0,0,0,1,0,1,3,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,1,0,0,0,0,0,0,2,0,0,0,2,0,1,5,0,0,0,2,0,0,0,27,0,0,0,1,0,0
2023-12-10T05,71,2,1,1,0,2,0,0,0,0,0,0,0,0,0,3,0,0,0,12,0,0,0,5,0,0,0,0,0,0,0,0,3,4,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2,0,0,0,0,0,0,0,3,0,2,5,0,1,0,1,0,0,0,19,0,0,2,0,0,0
2023-12-10T06,75,1,0,1,0,0,0,0,0,0,0,0,1,0,0,5,0,0,0,10,0,0,0,5,0,0,0,0,0,1,0,0,2,3,0,0,0,1,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,1,0,0,0,1,0,3,0,1,5,0,3,0,4,0,0,0,21,0,0,1,0,0,0
2023-12-10T07,91,1,2,0,0,1,0,0,0,0,0,0,1,0,0,6,0,0,0,12,0,0,0,8,0,0,0,0,0,3,0,0,4,3,0,0,0,1,0,0,0,2,0,0,0,0,1,0,3,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,2,0,0,0,1,0,0,0,1,0,1,5,0,0,1,3,0,0,0,26,0,0,0,0,0,0
2023-12-10T08,93,1,0,0,0,2,0,0,1,0,0,0,1,0,0,6,0,0,0,15,0,0,0,8,0,0,0,0,0,1,0,0,1,4,0,0,0,0,0,0,0,2,0,0,0,0,1,3,3,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,3,0,1,6,0,1,0,2,0,0,0,26,0,0,2,0,0,0
2023-12-10T09,91,0,1,0,0,2,0,0,0,0,0,0,1,0,0,1,1,0,0,9,0,0,0,14,1,0,0,0,0,0,0,1,3,5,0,0,0,1,0,0,0,1,0,0,0,0,0,5,3,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,2,0,0,0,2,0,5,5,0,3,0,3,0,0,0,13,0,0,0,0,0,0
2023-12-10T10,110,1,0,1,1,2,0,1,1,0,0,0,0,0,0,0,0,0,0,16,0,0,0,16,2,0,1,0,0,0,0,0,5,9,0,1,0,0,0,0,1,1,0,0,1,0,0,4,3,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1,0,0,0,0,0,1,0,3,0,3,0,3,5,0,2,0,2,0,1,0,17,0,0,1,0,0,0
2023-12-10T11,124,2,0,0,0,1,0,1,3,2,0,0,0,0,0,0,0,0,0,22,0,0,0,11,0,0,0,0,0,1,0,0,2,13,0,1,0,1,0,0,0,0,4,0,0,1,0,10,3,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,1,0,0,0,1,0,3,0,2,0,3,5,0,3,0,3,0,2,0,16,0,0,0,0,0,0
2023-12-10T12,154,1,0,1,0,1,0,0,0,0,0,1,0,0,0,1,1,0,0,30,0,0,0,16,0,0,0,0,0,0,0,1,8,12,0,0,0,3,0,0,0,0,0,0,0,0,1,8,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,7,0,0,0,0,0,0,3,0,0,0,4,0,3,6,0,11,0,4,0,1,0,22,1,0,2,0,0,0
2023-12-10T13,137,2,0,0,1,0,0,2,0,0,0,1,1,0,0,2,1,0,0,18,0,0,0,11,0,0,0,0,0,0,0,0,3,8,0,0,0,4,0,0,0,1,0,0,0,0,1,6,4,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,2,0,13,1,0,1,0,0,0,1,0,1,0,3,0,2,6,0,17,0,6,0,0,0,15,1,0,1,0,0,0
