bucket,total,--,AE,AM,AO,AR,AT,AU,AZ,BA,BB,BD,BE,BG,BH,BO,BR,BY,CA,CH,CI,CL,CM,CN,CO,CR,CY,CZ,DE,DK,DO,DZ,EC,EE,ES,FI,FR,GB,GE,GH,GR,GT,HK,HR,HU,ID,IE,IL,IN,IQ,IR,IT,JP,KG,KH,KR,KZ,LA,LB,LT,LU,LV,MA,MD,ME,MK,MM,MN,MO,MW,MX,MY,NG,NL,NO,NP,NZ,PE,PH,PK,PL,PS,PT,PY,RO,RS,RU,RW,SE,SG,SK,TH,TN,TR,TW,UA,UG,US,UY,UZ,VE,VN,ZA
2023-12-17T00,92,3,0,0,0,0,0,0,0,1,0,1,0,0,0,0,2,0,4,1,0,0,0,1,0,0,0,0,11,0,0,0,0,0,2,0,3,9,0,0,0,0,0,0,0,0,0,1,0,1,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,5,0,0,0,0,0,0,1,0,2,0,0,0,0,0,2,7,0,2,0,0,0,0,0,26,0,0,0,0,0
2023-12-17T01,102,1,0,0,0,0,1,2,0,1,0,0,0,0,0,0,3,0,4,1,1,0,0,11,0,0,0,0,9,0,0,0,0,0,1,0,2,6,0,0,0,0,0,0,0,1,0,1,0,0,0,4,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,4,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,5,0,1,0,0,1,0,0,37,0,0,0,0,0
2023-12-17T02,96,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,8,0,1,0,0,10,0,0,0,1,6,0,0,0,0,0,0,0,3,4,0,0,0,0,3,0,0,0,0,0,0,0,0,2,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,3,1,0,5,0,1,0,0,1,0,0,36,0,0,0,0,1
2023-12-17T03,88,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,6,0,0,0,0,10,0,0,0,0,5,1,0,0,0,0,3,0,1,4,0,0,0,0,0,0,0,0,0,0,1,0,1,1,2,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,2,0,0,0,0,0,0,2,0,0,0,0,0,1,1,1,5,0,4,0,1,1,0,0,27,0,0,0,1,0
2023-12-17T04,74,0,0,0,0,0,0,2,0,0,0,0,1,1,0,0,0,0,9,0,0,0,0,4,0,0,0,0,4,0,1,0,0,0,0,0,1,2,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,5,0,2,0,0,1,1,0,30,0,0,0,1,0
2023-12-17T05,78,1,0,0,0,0,0,2,0,0,0,0,0,1,0,0,1,0,5,0,0,0,0,9,0,0,0,0,7,0,0,0,0,0,0,0,2,3,0,0,0,0,2,0,1,0,0,0,0,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,7,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,5,0,3,0,0,1,0,0,21,0,0,0,0,0
2023-12-17T06,71,3,0,0,0,0,0,1,0,0,0,1,0,2,0,0,0,0,5,0,0,0,0,6,0,0,0,0,5,0,0,0,0,0,0,0,2,4,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,5,1,3,0,0,2,0,0,21,0,0,0,1,0
2023-12-17T07,76,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,5,0,0,1,0,8,1,0,0,0,6,0,0,0,0,0,1,0,0,4,0,0,0,0,2,0,0,1,0,0,0,1,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,1,0,1,5,0,4,0,0,1,0,0,25,0,0,0,1,0
2023-12-17T08,80,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,2,2,0,1,0,9,0,0,0,0,8,0,0,0,0,0,0,2,2,5,0,0,0,0,1,0,0,0,0,0,0,0,2,1,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,2,0,3,0,0,0,0,0,1,0,1,5,0,4,0,0,1,0,0,21,0,0,0,1,0
2023-12-17T09,98,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,3,1,0,0,0,3,0,0,0,0,18,2,0,0,0,0,0,0,5,3,0,0,0,0,1,0,0,0,0,0,0,0,2,4,3,0,0,2,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,5,0,0,1,0,1,0,0,0,0,0,2,0,2,1,0,6,0,3,0,0,1,0,0,22,0,1,0,1,0
2023-12-17T10,103,0,0,0,0,0,1,2,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,8,0,0,0,0,19,0,0,1,0,0,1,1,9,4,0,0,0,0,0,0,0,0,0,0,0,0,0,5,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,3,0,0,0,0,0,2,0,1,0,1,5,0,7,0,0,6,0,0,17,0,1,0,0,0
2023-12-17T11,103,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,1,0,0,1,9,0,0,0,0,14,0,0,0,0,0,1,0,7,7,0,0,0,0,0,0,0,0,0,0,0,0,1,8,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,6,0,0,1,0,1,0,0,0,0,0,1,0,2,0,1,5,0,4,0,0,4,0,0,19,0,0,0,1,0
2023-12-17T12,120,2,0,0,0,0,0,2,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,7,1,0,0,0,16,0,0,0,0,0,6,1,5,9,0,0,0,0,2,0,0,0,0,0,2,0,0,2,3,0,0,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2,0,12,0,0,0,0,2,0,2,0,0,0,1,0,6,0,0,5,0,8,0,0,4,0,0,14,0,0,0,0,1
