bucket,total,--,AE,AL,AR,AT,AU,BA,BB,BD,BE,BG,BH,BO,BR,BW,BY,CA,CD,CH,CL,CM,CN,CO,CR,CW,CY,CZ,DE,DK,DO,DZ,EC,EE,EG,ES,ET,FI,FR,GB,GH,GR,HK,HN,HR,HU,ID,IE,IL,IN,IQ,IR,IT,JM,JP,KE,KG,KH,KR,KW,KZ,LA,LB,LK,LT,LU,LV,MA,MC,MK,MM,MN,MO,MV,MX,MY,NC,NG,NL,NO,NP,NZ,PA,PE,PH,PK,PL,PT,PY,RO,RS,RU,RW,SA,SC,SD,SE,SG,SI,SK,TH,TN,TR,TT,TW,UA,US,UY,UZ,VE,VN,ZA
2023-12-24T00,128,2,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,5,0,1,0,0,7,0,0,0,0,0,15,0,0,0,0,0,0,2,0,0,2,13,0,0,0,0,0,0,1,0,0,1,0,1,8,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,1,0,0,1,0,2,2,0,3,0,0,0,0,0,0,2,7,0,0,1,0,0,0,0,0,45,0,0,0,0,0
2023-12-24T01,105,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,7,0,1,0,0,13,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,4,7,0,0,0,1,0,0,0,0,0,2,0,0,4,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,6,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,1,8,0,0,1,0,0,0,0,0,30,0,0,0,2,0
2023-12-24T02,98,2,0,0,0,0,1,0,0,0,0,0,0,0,2,0,0,12,0,2,0,0,8,0,0,0,0,0,6,1,0,0,0,0,0,0,1,0,0,6,0,0,3,1,0,0,1,0,0,2,0,0,3,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,2,0,0,1,0,0,0,0,0,0,2,0,0,0,0,0,5,0,0,2,0,0,0,1,0,27,0,0,0,1,0
2023-12-24T03,81,2,0,0,0,0,0,0,0,0,0,1,0,0,2,0,0,7,0,1,0,0,3,0,0,0,0,0,4,0,0,0,0,1,0,0,1,0,4,7,0,0,0,1,0,0,1,0,0,1,0,0,2,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,5,0,0,2,0,0,0,0,0,28,0,0,0,1,0
2023-12-24T04,82,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,1,0,0,6,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,1,4,0,0,2,1,0,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,2,0,0,0,0,0,0,0,0,0,1,5,0,0,1,0,0,0,2,0,35,0,0,0,1,1
2023-12-24T05,91,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,6,0,2,0,0,5,0,0,0,0,0,7,0,0,0,0,0,0,1,0,1,2,5,0,0,0,1,0,0,0,0,0,2,0,1,1,0,4,0,0,0,3,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,3,0,0,1,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,5,0,0,1,0,0,0,1,0,33,0,0,0,0,0
2023-12-24T06,91,2,0,0,2,0,1,0,0,0,0,0,0,0,0,0,0,5,0,1,0,0,7,0,0,0,0,0,4,0,0,0,1,0,0,1,0,0,1,2,0,0,1,1,0,0,0,0,0,2,0,0,1,0,7,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,7,0,0,3,0,0,0,2,0,31,0,1,0,0,1
2023-12-24T07,58,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,6,0,1,0,0,6,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,3,0,0,1,1,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,5,0,0,0,0,1,0,2,0,16,0,0,0,0,0
2023-12-24T08,84,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,3,0,1,0,0,13,0,0,0,0,1,6,0,0,0,0,0,0,0,0,0,5,5,0,0,3,1,0,0,0,0,0,1,0,0,4,0,2,0,0,0,3,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,2,0,0,0,0,0,5,0,0,0,0,0,0,2,0,19,0,0,0,0,1
2023-12-24T09,99,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,4,0,2,0,0,8,0,0,0,0,0,16,0,0,0,0,0,0,2,0,0,6,4,0,0,1,1,0,0,1,0,0,1,0,0,3,0,3,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,2,0,0,1,0,0,1,0,1,0,0,0,0,5,0,0,0,0,0,6,1,0,0,0,0,0,1,0,24,0,0,0,0,0
