bucket,total,--,AE,AL,AR,AT,AU,BA,BB,BD,BE,BG,BO,BR,BY,CA,CH,CI,CL,CM,CN,CO,CR,CW,CY,CZ,DE,DK,DO,DZ,EC,EE,EG,ES,FI,FR,GB,GH,GM,GR,GT,HK,HR,HU,ID,IE,IL,IN,IQ,IR,IS,IT,JP,KE,KG,KH,KR,KW,KZ,LA,LB,LK,LT,LV,MA,MD,MM,MN,MO,MT,MX,MY,NC,NG,NL,NO,NZ,PE,PH,PK,PL,PT,RO,RS,RU,RW,SC,SD,SE,SG,SI,SK,TH,TN,TR,TW,UA,US,UY,UZ,VE,VN,ZA,ZM
2023-12-31T00,124,3,0,0,1,0,0,0,0,0,0,0,3,0,0,1,1,0,0,0,6,0,1,0,0,0,7,0,0,0,0,0,0,3,0,2,15,1,0,0,0,1,0,0,0,0,1,4,0,0,0,12,5,0,0,0,2,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,6,0,0,0,0,0,1,1,0,0,4,0,0,0,0,5,0,0,1,0,0,0,0,35,0,0,0,1,0,0
2023-12-31T01,103,4,0,0,1,1,1,0,0,0,1,0,2,0,0,8,1,0,0,0,2,0,0,0,0,0,3,0,0,0,0,0,0,2,0,0,8,1,0,0,0,0,0,0,0,0,0,2,0,0,0,3,5,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,1,1,0,1,0,5,1,0,0,1,5,0,0,1,0,0,1,0,35,0,0,0,0,0,0
2023-12-31T02,73,1,0,0,0,0,0,0,0,0,0,1,0,0,0,4,0,0,0,0,6,0,0,0,0,0,3,0,0,0,2,0,0,0,0,0,6,0,0,0,0,2,0,0,0,0,0,1,0,1,0,2,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,1,1,0,0,0,0,3,0,0,0,0,7,0,0,0,0,0,1,0,26,0,0,0,0,0,0
2023-12-31T03,78,1,0,0,1,0,0,0,0,0,0,1,0,1,0,4,0,0,0,0,4,1,0,0,0,0,3,0,0,0,0,0,0,2,0,1,4,0,0,0,0,2,0,0,1,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,1,0,0,0,0,4,0,0,0,0,6,0,0,1,0,0,2,0,29,1,0,0,1,0,0
2023-12-31T04,90,0,0,0,1,0,2,0,0,0,0,1,0,1,0,4,0,0,0,0,15,1,0,0,0,0,4,0,0,0,0,0,0,1,0,1,4,0,0,0,0,1,0,0,1,0,0,1,0,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,1,0,0,0,1,0,0,0,5,0,0,0,0,6,0,0,1,0,0,1,0,30,0,0,0,2,0,0
2023-12-31T05,96,2,0,0,0,0,0,0,0,0,1,0,0,1,0,5,0,0,1,0,20,1,0,0,0,0,3,0,0,1,0,0,0,0,0,2,4,0,0,0,0,4,0,0,0,0,0,1,0,0,0,1,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,2,0,0,0,3,0,0,0,0,5,0,0,0,0,0,1,2,29,0,0,0,0,0,0
2023-12-31T06,85,2,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,18,1,0,0,0,0,3,0,0,0,0,0,0,0,0,1,3,0,0,0,0,3,0,0,0,0,1,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,1,0,1,0,0,0,1,5,0,0,2,0,0,0,2,31,0,0,0,1,0,0
2023-12-31T07,98,2,1,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,1,23,0,0,0,0,0,9,0,0,0,0,0,0,1,0,1,5,0,0,0,0,2,0,0,0,0,0,1,0,2,0,1,4,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,2,0,0,0,0,7,0,0,2,0,0,1,0,21,0,0,0,2,0,0
2023-12-31T08,82,0,0,0,1,0,1,0,0,0,0,0,0,1,0,5,0,0,0,0,18,0,0,0,0,0,3,1,0,0,0,0,0,1,0,1,3,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,3,0,0,0,2,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,4,0,0,0,0,0,1,0,0,0,4,0,0,0,0,6,0,0,1,0,0,1,0,18,0,0,0,3,0,0
2023-12-31T09,90,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,17,0,0,0,0,0,9,0,0,0,0,0,1,3,0,6,3,0,0,0,0,1,0,0,0,0,0,0,0,0,0,2,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,2,0,0,0,2,0,1,0,0,0,3,1,0,0,3,6,0,0,0,0,0,3,1,18,0,0,0,2,0,0
