bucket,total,--,AE,AM,AR,AT,AU,BA,BB,BD,BE,BG,BH,BO,BR,BY,CA,CH,CI,CL,CM,CN,CO,CR,CY,CZ,DE,DK,DZ,EC,EE,ES,ET,FI,FR,GB,GE,GR,HK,HR,HU,ID,IE,IL,IN,IQ,IR,IT,JO,JP,KG,KH,KR,KW,KZ,LA,LB,LK,LT,LU,LV,MA,MC,MD,MK,MM,MO,MU,MX,MY,NC,NG,NL,NO,NP,NZ,PE,PH,PK,PL,PR,PT,PY,RO,RS,RU,RW,SC,SD,SE,SG,SI,SK,SN,TH,TN,TR,TW,UA,UG,US,UZ,VE,VN,ZA,ZW
2024-01-21T00,95,3,0,0,0,0,0,0,0,0,0,0,0,0,1,0,5,1,0,0,0,4,0,0,0,0,7,0,0,0,0,1,0,0,3,10,0,0,0,0,0,0,0,0,0,0,1,6,0,0,0,0,1,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,2,1,0,8,0,0,0,0,0,0,1,0,1,0,1,0,2,0,0,0,0,5,0,0,0,1,0,0,0,0,0,28,0,0,0,0,0
2024-01-21T01,132,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,9,0,0,0,0,6,0,0,0,0,2,0,0,3,4,0,0,0,0,0,0,0,0,0,0,1,6,0,0,0,0,1,0,0,0,1,0,2,0,0,0,0,0,0,0,0,0,0,0,1,0,5,0,0,0,0,0,0,0,1,1,0,1,0,3,0,0,0,0,6,1,0,0,1,0,1,0,0,0,66,0,0,1,0,0
2024-01-21T02,99,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,12,1,0,0,0,9,2,0,0,0,4,0,0,0,0,1,0,0,1,3,0,0,0,0,0,0,5,0,1,0,0,1,0,2,0,0,1,0,0,0,1,0,2,0,0,0,0,0,0,0,0,0,1,0,0,0,2,0,0,0,0,0,0,2,0,0,0,0,0,1,1,0,0,0,6,0,0,0,0,0,0,1,1,0,35,0,0,0,0,0
2024-01-21T03,80,0,0,0,1,0,2,0,0,0,0,0,0,0,1,0,6,1,0,1,0,9,1,0,0,0,5,0,0,0,0,0,0,0,3,2,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,6,0,0,0,0,0,0,0,0,0,34,0,0,1,0,0
2024-01-21T04,67,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,6,1,0,0,0,3,0,0,0,0,3,0,0,0,0,0,0,0,2,2,0,0,2,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,5,0,0,0,0,0,0,1,0,0,35,0,0,0,0,0
2024-01-21T05,92,0,0,0,0,1,3,0,0,0,0,0,0,0,0,0,10,0,0,0,0,5,0,0,0,0,3,0,0,0,0,1,0,0,5,3,0,0,3,0,0,0,10,0,2,0,0,0,0,3,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,6,0,0,0,1,0,0,3,0,0,23,0,0,1,0,0
2024-01-21T06,107,0,0,0,0,0,2,0,0,0,0,1,0,0,3,0,10,0,0,1,0,7,0,0,0,0,4,0,0,0,0,0,0,0,4,2,0,0,0,0,0,0,0,0,2,0,0,0,0,2,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,1,0,1,0,0,0,1,0,1,0,0,0,0,7,0,0,0,3,0,0,7,0,0,42,0,0,1,0,0
2024-01-21T07,92,0,0,0,0,0,1,0,0,0,0,0,0,0,2,0,6,0,0,1,0,5,1,0,0,0,6,0,0,1,0,1,0,0,3,3,0,0,0,0,0,0,0,0,5,0,0,0,0,8,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,3,0,0,0,0,1,0,1,0,0,0,1,0,1,0,0,0,0,9,0,0,0,2,0,0,2,0,0,23,0,1,0,1,0
2024-01-21T08,88,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,3,1,0,0,0,5,1,0,0,0,9,0,0,0,0,0,0,0,1,3,0,0,1,0,0,0,1,0,0,0,0,2,0,11,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,3,0,0,0,0,0,0,13,0,0,0,3,0,0,2,0,0,21,0,1,0,1,0
2024-01-21T09,86,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,8,2,0,0,0,11,1,0,0,0,0,0,0,6,3,0,0,0,0,0,0,0,0,1,0,0,1,0,2,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,1,0,0,2,1,0,0,1,0,5,1,1,0,0,0,1,7,0,0,0,2,0,0,2,0,0,17,0,1,0,0,0
