bucket,total,--,AE,AF,AM,AR,AT,AU,AZ,BA,BB,BD,BE,BG,BO,BR,BY,CA,CH,CL,CN,CO,CY,CZ,DE,DK,DO,DZ,EC,EE,ES,ET,FI,FR,GB,GE,GH,GR,GT,HK,HR,HU,ID,IE,IL,IN,IQ,IR,IS,IT,JM,JO,JP,KE,KH,KR,KZ,LA,LT,LV,MA,MC,MD,MM,MN,MO,MX,MY,NC,NG,NL,NO,NP,NZ,PE,PH,PK,PL,PR,PS,PT,PY,RO,RU,RW,SC,SD,SE,SG,SI,SK,TH,TN,TR,TT,TW,UA,UG,US,UY,UZ,VE,VN,ZA
2024-01-28T00,118,0,0,0,0,3,0,0,0,0,0,0,0,0,0,1,0,3,1,0,8,0,0,0,15,0,0,0,0,0,2,0,0,5,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,1,2,1,0,6,1,0,0,0,0,0,1,0,0,1,0,0,2,0,0,0,2,5,0,0,3,0,0,0,2,0,0,36,0,0,0,0,1
2024-01-28T01,101,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,10,1,0,8,1,0,0,11,0,0,0,0,0,1,0,0,1,5,0,0,1,0,0,0,0,0,4,0,1,0,0,0,5,0,0,3,0,0,0,0,0,2,0,0,0,0,0,0,0,2,1,1,0,1,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,2,5,0,0,0,0,0,0,2,0,0,29,0,0,0,0,0
2024-01-28T02,97,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,12,0,0,11,2,0,0,7,0,0,0,0,0,0,0,0,3,2,0,0,1,0,1,0,0,0,2,0,1,0,0,0,2,0,0,2,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,1,0,0,0,2,0,0,36,0,0,0,0,0
2024-01-28T03,105,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,7,0,0,16,1,0,0,5,0,0,0,0,0,0,0,0,3,3,0,0,0,0,2,0,0,0,0,0,1,0,1,0,2,0,0,1,0,0,1,0,0,2,0,0,0,0,0,0,1,1,0,0,0,2,0,0,1,0,0,0,1,0,0,0,2,1,3,1,0,0,0,6,0,0,1,0,0,0,3,0,0,33,0,0,0,0,1
2024-01-28T04,106,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,5,0,0,17,0,0,0,3,0,0,0,0,0,0,0,0,2,3,0,0,0,0,2,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,1,0,2,0,0,1,0,0,1,1,0,0,0,1,1,5,0,0,0,1,5,0,0,1,0,0,0,2,0,0,42,0,0,0,0,1
2024-01-28T05,90,1,0,0,0,0,0,2,0,0,0,0,0,0,0,1,0,1,0,0,10,1,0,0,4,0,0,0,0,0,0,0,0,2,2,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,4,0,0,0,0,0,0,0,1,0,1,0,4,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,1,1,0,0,0,5,0,0,39,0,0,0,0,1
2024-01-28T06,74,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,4,0,0,10,0,0,0,4,0,0,0,0,0,0,0,0,2,3,0,0,0,0,1,0,0,0,0,0,2,0,0,0,1,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,5,0,0,2,0,0,0,5,0,0,26,0,0,0,1,0
2024-01-28T07,96,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,5,0,0,14,0,0,0,4,0,0,0,0,0,0,0,0,1,4,0,0,0,0,0,0,0,0,1,0,1,0,0,0,3,0,0,7,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,3,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,2,0,0,0,3,1,0,34,0,0,0,0,0
2024-01-28T08,91,2,0,0,0,2,0,0,0,1,0,0,0,1,0,1,0,3,0,0,9,0,0,0,5,0,0,0,0,0,0,0,0,2,4,0,0,0,0,1,0,0,0,0,0,1,0,0,0,3,0,0,6,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,2,2,0,0,0,0,5,0,0,5,0,0,0,6,1,0,25,0,0,0,0,0
2024-01-28T09,108,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,6,0,0,1,8,0,0,0,0,0,1,1,0,5,9,0,0,0,0,3,0,0,0,0,0,1,0,1,0,7,0,0,2,0,0,2,0,0,2,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2,4,0,0,0,3,5,0,0,6,0,0,0,6,1,0,29,0,0,0,0,0
2024-01-28T10,174,1,0,0,1,2,1,0,0,0,0,0,0,1,0,9,0,1,1,0,6,0,0,1,22,0,0,0,0,1,0,1,0,11,10,0,0,0,0,7,0,0,1,0,0,6,0,0,0,7,0,0,2,0,0,2,0,0,1,1,0,0,0,0,0,0,1,0,0,0,10,0,1,0,0,2,0,1,0,0,0,0,2,2,0,0,0,1,6,0,0,6,0,1,0,4,3,1,35,0,0,0,1,1
2024-01-28T11,90,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,10,0,0,0,11,0,0,0,0,0,0,0,0,4,7,0,0,0,0,4,0,0,0,0,0,0,0,0,0,8,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,2,3,0,0,0,2,6,0,0,7,0,0,0,3,0,0,14,0,0,0,1,0
2024-01-28T12,94,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,9,0,0,0,15,0,0,0,0,0,0,0,0,6,5,0,0,0,0,4,0,0,0,3,0,0,0,0,0,4,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,5,1,0,0,0,0,0,0,0,0,1,0,2,1,0,0,0,0,5,0,0,6,0,1,0,5,0,0,16,0,0,0,1,0
2024-01-28T13,101,0,0,0,0,0,1,0,0,0,0,0,0,0,0,2,0,2,1,0,7,0,0,0,13,0,0,0,0,1,1,1,0,8,6,0,0,0,0,2,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,7,2,0,0,0,0,0,2,0,0,1,0,2,2,0,0,0,1,5,0,0,7,0,1,0,4,0,0,16,0,0,0,0,0
2024-01-28T14,136,1,0,0,0,0,1,0,0,0,0,0,0,0,0,2,0,7,0,0,8,0,0,0,12,0,0,0,0,2,1,0,0,8,6,0,0,0,0,3,0,0,0,11,0,0,0,0,0,4,0,0,3,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,11,1,0,0,0,0,0,2,0,0,0,0,1,3,0,0,0,0,5,0,0,13,0,0,0,4,0,0,26,0,0,0,0,0
2024-01-28T15,159,3,0,0,0,1,1,0,0,0,0,0,2,0,0,1,1,6,2,0,8,0,0,0,11,1,0,0,0,0,2,0,0,14,9,0,0,0,0,1,0,0,0,0,1,0,0,0,0,14,0,0,5,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,0,0,0,0,0,0,2,0,0,1,0,2,5,0,0,0,2,5,0,0,14,0,0,0,2,0,0,29,0,0,0,0,0
2024-01-28T16,146,2,0,0,0,1,1,0,0,0,0,0,1,0,0,1,0,4,2,0,12,0,0,0,21,0,0,0,0,0,6,0,0,9,7,0,0,0,0,3,0,0,0,0,0,0,0,0,0,15,0,0,1,0,0,2,0,0,2,0,0,0,0,0,0,0,0,1,0,0,6,1,0,0,0,0,0,3,0,0,2,0,5,2,0,0,0,3,5,0,0,10,0,2,0,2,0,0,14,0,0,0,0,0
2024-01-28T17,198,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,6,1,0,14,0,0,0,33,0,0,0,0,0,8,0,0,13,12,0,0,0,0,1,0,1,0,0,0,0,0,0,0,22,0,0,0,0,0,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0,5,1,0,1,0,1,0,3,0,0,2,0,5,3,0,0,0,7,5,0,0,11,0,1,0,1,1,0,34,0,0,0,0,0
2024-01-28T18,188,1,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,7,2,0,9,0,0,0,41,1,0,0,0,0,4,0,0,9,15,0,0,0,0,1,0,0,0,1,0,0,0,0,0,13,1,0,1,0,0,2,0,0,0,0,0,0,0,0,0,1,0,1,0,0,8,1,0,0,0,0,0,7,0,0,1,0,4,2,0,0,0,8,5,0,0,5,0,1,0,1,0,0,32,0,0,0,0,1
2024-01-28T19,186,0,0,0,0,0,0,0,0,0,0,0,3,0,0,1,0,10,1,0,13,0,0,0,33,2,0,0,0,0,4,0,0,13,18,0,0,0,0,2,0,0,1,0,0,1,0,0,0,12,0,0,1,0,0,1,0,0,2,0,1,1,0,0,0,0,0,1,0,0,10,1,0,0,0,0,0,4,0,0,1,0,2,0,0,0,0,2,5,0,0,5,0,0,0,1,0,0,34,0,0,0,0,0
2024-01-28T20,185,2,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,9,3,0,18,0,0,0,21,1,0,0,0,0,4,0,0,9,15,0,0,0,0,0,0,0,0,0,1,1,0,0,0,17,0,0,2,0,0,1,0,0,1,0,1,1,0,1,0,0,1,0,0,0,13,3,0,2,0,0,0,4,0,0,0,0,5,1,0,0,0,5,5,0,0,4,0,0,0,2,0,0,29,0,0,0,0,0
2024-01-28T21,151,1,0,0,0,1,0,0,0,0,0,0,0,0,0,2,0,6,2,0,16,0,0,0,16,0,0,0,0,0,4,0,0,10,14,0,0,0,0,0,0,0,0,0,0,0,0,1,0,15,0,0,1,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,8,2,0,1,0,0,0,4,0,0,0,0,1,1,0,0,0,1,5,0,0,3,0,0,0,1,0,0,31,0,0,0,1,0
2024-01-28T22,139,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,5,2,0,5,0,0,0,13,0,0,0,0,0,0,0,0,6,13,0,0,0,0,0,0,1,0,7,0,0,0,0,0,15,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,6,2,0,0,0,0,0,2,0,0,1,0,1,3,0,0,0,3,5,0,0,2,0,0,0,1,0,0,41,0,0,0,0,0
2024-01-28T23,112,0,0,0,0,2,0,0,0,0,0,0,0,0,0,1,0,7,1,0,4,0,0,0,10,0,0,0,0,0,1,0,0,1,7,0,0,0,0,2,0,0,0,3,0,0,0,0,0,10,0,0,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,1,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,5,0,0,2,0,0,0,1,0,0,43,0,0,0,0,0
2024-01-29T00,108,1,0,0,0,3,0,0,0,0,0,0,0,1,0,0,0,8,1,0,4,0,0,0,7,0,0,0,0,0,1,0,0,3,3,0,0,0,0,1,0,0,0,0,0,2,0,0,0,4,0,0,2,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,2,0,1,0,0,0,0,0,0,0,1,0,0,3,0,0,0,0,6,0,0,2,0,0,0,1,0,0,48,0,0,0,0,0
2024-01-29T01,95,1,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,11,0,0,3,0,0,0,6,0,0,0,0,0,1,0,0,1,3,0,0,0,2,2,0,0,0,1,0,2,0,0,0,0,0,0,2,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0,6,0,0,3,0,0,0,1,0,0,41,0,0,0,0,0
2024-01-29T02,78,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,5,0,0,0,4,1,0,1,0,0,0,0,0,1,4,0,0,0,0,2,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,5,0,0,3,0,0,0,1,0,0,37,0,0,0,0,0
2024-01-29T03,91,2,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,10,0,0,5,0,0,0,5,1,0,0,0,0,0,0,1,0,3,0,0,0,0,0,0,0,0,0,0,2,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,0,0,7,0,0,1,0,0,0,1,0,0,45,0,0,0,0,0
2024-01-29T04,74,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,6,0,0,13,0,0,0,3,0,0,0,0,0,0,0,0,2,2,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,6,0,0,4,0,0,0,1,0,0,24,0,0,0,1,0
2024-01-29T05,57,0,0,0,0,0,0,2,0,0,0,0,0,0,0,1,0,3,1,0,5,0,0,0,4,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,6,0,0,2,0,0,0,2,0,0,21,0,0,0,0,0
2024-01-29T06,87,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,3,0,0,11,0,0,0,3,0,0,0,0,0,0,0,0,1,2,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,6,0,0,4,0,0,0,3,0,0,46,0,0,0,0,0
2024-01-29T07,86,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,9,0,1,0,7,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,2,5,0,0,4,0,0,0,2,0,0,43,0,0,0,0,0
