bucket,total,--,AE,AF,AL,AM,AR,AT,AU,BA,BB,BD,BE,BG,BH,BO,BR,BY,CA,CH,CL,CM,CN,CO,CY,CZ,DE,DK,DO,DZ,EC,EE,EG,ES,ET,FI,FR,GB,GH,GM,GR,HK,HR,HU,ID,IE,IL,IN,IQ,IR,IS,IT,JP,KE,KG,KH,KR,KW,KZ,LA,LB,LT,LU,LV,MC,MD,ML,MM,MO,MT,MU,MX,MY,NC,NG,NL,NO,NP,NZ,PH,PK,PL,PR,PT,PY,QA,RO,RS,RU,RW,SC,SE,SG,SK,SN,SY,TH,TN,TR,TW,TZ,UA,UG,US,UY,VE,VN,ZA,ZW
2024-02-11T00,110,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,7,1,0,0,13,0,0,0,11,0,0,0,0,0,0,2,0,0,2,9,0,0,0,1,0,0,0,1,0,1,0,0,0,9,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,4,0,0,0,0,0,2,0,1,0,0,0,0,2,0,0,1,5,0,0,0,2,0,0,0,0,0,0,31,0,0,0,0,0
2024-02-11T01,92,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,9,1,0,0,14,0,0,0,6,0,0,0,0,0,0,2,0,0,0,7,0,0,0,1,0,0,0,0,0,0,0,0,0,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,1,0,0,2,0,1,0,0,0,0,2,0,0,1,5,0,0,0,1,0,1,0,0,0,0,28,0,0,0,0,0
2024-02-11T02,92,2,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,13,0,0,0,18,0,0,0,4,0,0,0,0,0,0,1,0,0,3,4,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,6,0,0,0,2,0,0,0,0,0,0,31,0,0,0,0,0
2024-02-11T03,106,3,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,13,0,0,0,18,0,0,0,3,0,0,0,0,0,0,0,0,0,4,5,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2,0,0,0,2,0,0,0,0,0,2,0,0,0,0,0,0,2,1,0,1,6,0,0,0,1,0,0,1,0,0,0,36,0,0,0,0,0
2024-02-11T04,73,1,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,7,0,0,0,2,0,0,0,5,0,0,0,0,0,0,0,0,0,2,3,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,1,5,0,0,0,2,0,0,0,0,0,0,32,0,0,0,0,0
2024-02-11T05,65,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,10,0,1,0,8,0,0,0,3,0,0,1,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,1,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,6,0,0,0,2,0,0,1,0,0,0,20,0,0,0,0,0
2024-02-11T06,74,5,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,5,0,1,0,6,1,0,0,6,0,0,0,0,0,0,0,0,0,2,5,0,0,0,1,0,0,0,0,0,1,0,0,0,1,2,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,2,0,0,1,6,0,0,0,1,0,0,0,0,0,0,22,0,0,0,0,0
2024-02-11T07,74,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,8,0,0,0,4,0,0,0,5,0,0,0,0,0,0,1,0,0,1,3,0,0,0,3,0,0,0,0,0,1,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,4,0,0,1,6,0,0,0,4,0,0,2,0,0,0,24,0,0,0,0,0
2024-02-11T08,73,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,4,0,0,0,4,0,0,0,7,0,0,0,0,0,1,1,0,0,2,4,0,0,0,1,0,0,0,0,0,1,0,0,0,5,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,1,0,0,0,1,0,1,0,0,0,0,1,0,3,0,0,4,5,0,0,0,3,0,0,2,0,0,0,14,0,0,1,0,0
2024-02-11T09,80,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,4,1,0,0,4,0,0,0,8,0,0,0,0,0,0,0,0,1,1,4,0,0,0,0,0,0,0,0,0,1,0,0,0,7,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,2,0,0,0,0,0,1,0,0,0,0,2,0,0,0,0,6,6,0,0,0,3,0,0,1,0,0,0,20,0,0,2,1,0
2024-02-11T10,101,2,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,4,1,0,0,5,0,0,0,18,0,0,0,0,0,0,1,0,1,9,4,0,0,1,0,0,0,0,0,0,0,0,0,0,7,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2,0,0,1,0,0,2,0,0,0,0,2,0,5,0,0,2,6,0,0,0,5,0,0,2,0,0,0,14,0,0,0,1,0
2024-02-11T11,94,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,4,0,0,0,5,0,0,0,13,0,0,0,0,0,0,2,0,2,5,5,0,0,0,1,0,0,1,0,0,0,0,0,0,10,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,1,0,0,1,0,1,0,0,3,0,2,0,0,1,6,0,0,0,4,0,0,3,0,0,0,13,0,0,1,1,0
2024-02-11T12,89,0,0,0,0,0,0,2,1,0,0,0,0,0,0,0,0,0,3,1,1,0,1,0,0,0,13,0,0,0,0,0,0,1,0,1,3,8,0,0,0,1,0,0,0,0,0,0,0,0,0,3,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,1,1,0,2,0,1,0,0,1,0,3,1,0,1,6,0,0,0,2,0,1,2,0,0,0,17,0,0,0,0,0
