bucket,total,--,AE,AL,AM,AR,AT,AU,BA,BD,BE,BG,BI,BO,BR,BY,CA,CH,CL,CN,CO,CR,CZ,DE,DK,DO,DZ,EC,EE,EG,ES,FI,FR,GB,GR,HK,HR,HU,ID,IE,IL,IN,IQ,IR,IT,JP,KH,KR,KZ,LA,LB,LK,LT,LU,LV,MD,MK,MM,MN,MO,MT,MX,MY,MZ,NC,NG,NI,NL,NO,NP,NZ,PE,PH,PK,PL,PM,PT,PY,RO,RS,RU,RW,SC,SE,SG,SI,SK,SV,TH,TN,TR,TT,TW,TZ,UA,US,UY,UZ,VE,VN,ZA
2024-02-25T00,144,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,1,0,23,0,0,0,13,0,0,0,0,0,0,1,0,2,7,0,1,0,0,0,0,0,0,0,0,10,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,0,0,0,6,0,0,0,0,0,0,2,0,0,0,0,0,3,0,0,0,5,0,0,0,1,0,0,0,2,0,0,46,0,0,0,0,0
2024-02-25T01,93,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,18,0,0,0,6,0,0,0,0,0,0,0,0,1,8,0,1,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,5,0,0,1,0,0,0,1,0,0,0,0,0,3,0,0,0,6,0,0,0,0,0,0,0,0,0,0,30,0,0,0,0,0
2024-02-25T02,102,1,0,0,0,0,0,2,0,1,0,0,0,0,2,0,2,0,0,21,0,0,0,8,1,0,0,0,0,0,0,0,0,5,0,2,0,0,0,0,0,1,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,3,0,0,0,0,0,0,0,0,2,0,0,0,1,1,0,1,5,0,0,0,1,0,0,0,0,0,0,39,0,0,0,0,0
2024-02-25T03,90,2,0,0,0,0,0,0,0,1,0,0,0,0,0,0,7,0,0,17,1,0,0,6,0,0,0,0,0,0,0,0,2,3,0,1,0,0,0,6,0,0,0,0,0,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,2,0,0,0,5,0,0,0,1,0,0,0,1,0,0,30,0,0,0,0,0
2024-02-25T04,82,2,0,0,0,0,0,1,0,0,0,0,0,0,0,0,6,0,0,13,1,0,0,5,0,0,0,0,0,0,0,0,1,4,0,0,0,0,0,3,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,7,0,0,0,0,0,0,0,3,0,0,30,0,0,0,0,0
2024-02-25T05,82,2,0,0,0,0,0,2,0,0,0,0,0,0,0,0,4,0,0,9,0,0,0,3,0,0,0,0,0,0,0,0,1,7,0,2,0,0,0,6,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,1,0,0,0,1,0,0,0,0,0,2,0,0,0,6,0,0,0,1,0,0,0,4,0,0,27,0,0,0,0,0
2024-02-25T06,86,2,0,0,0,1,0,1,0,1,0,0,0,0,0,0,8,0,0,10,0,0,0,6,0,0,0,0,0,0,0,0,1,4,0,1,0,0,1,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,3,1,0,1,6,0,0,0,5,0,0,0,3,0,0,26,0,0,0,0,0
2024-02-25T07,79,2,0,0,0,0,0,2,0,0,0,1,0,0,0,0,3,0,0,14,0,0,0,5,0,0,0,0,0,0,0,0,2,4,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,2,0,0,0,6,0,0,0,3,0,0,0,4,0,0,23,0,0,0,0,2
2024-02-25T08,69,2,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,4,0,0,0,0,0,0,0,0,1,5,0,0,0,0,0,0,0,0,0,0,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,2,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,2,5,0,0,0,3,0,0,0,6,0,0,22,0,0,0,0,0
2024-02-25T09,83,2,0,0,0,0,0,2,0,0,0,0,0,0,1,0,1,0,0,7,0,0,0,16,0,0,0,0,0,0,3,0,4,5,0,1,0,0,0,0,0,0,0,0,6,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,2,0,1,0,0,1,6,0,0,0,3,0,0,0,4,0,0,14,0,1,0,0,0
