bucket,total,--,AD,AE,AO,AR,AT,AU,BA,BD,BE,BG,BO,BR,BT,BW,BY,CA,CH,CL,CM,CN,CO,CR,CZ,DE,DK,DO,DZ,EC,EE,EG,ES,ET,FI,FR,GB,GM,GR,HK,HN,HR,HU,ID,IE,IL,IN,IQ,IR,IS,IT,JP,KE,KH,KR,KZ,LA,LK,LT,LU,LV,MA,MD,MK,MM,MO,MT,MU,MW,MX,MY,NC,NG,NL,NO,NP,NZ,PA,PE,PH,PK,PL,PT,PY,RO,RU,RW,SE,SG,SK,SN,TG,TH,TN,TR,TW,UA,UG,US,UY,UZ,VE,VN,ZA,ZM
2024-03-10T00,144,4,0,0,0,1,0,2,1,0,0,0,0,1,0,0,0,7,3,0,0,9,1,0,0,7,0,0,0,0,0,0,1,0,1,2,6,0,0,2,0,0,0,1,0,0,0,0,0,1,14,10,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,0,4,0,0,3,0,0,1,0,2,0,0,0,3,0,3,6,0,0,0,0,0,0,3,0,0,39,0,0,0,1,1,0
2024-03-10T01,105,2,0,0,0,1,0,1,1,0,0,0,0,2,0,0,0,6,2,0,0,5,0,0,0,8,0,0,0,0,0,0,0,0,0,2,3,0,0,0,0,0,0,1,6,0,1,0,0,0,5,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,4,0,0,0,0,0,0,0,1,0,0,0,0,1,0,5,0,0,0,1,0,0,0,0,0,40,0,0,0,1,1,0
2024-03-10T02,135,1,0,0,0,0,0,1,1,0,3,0,0,0,0,0,0,5,1,0,0,4,0,0,0,5,0,0,1,0,0,0,0,0,1,0,2,0,0,3,0,0,0,1,0,0,1,0,0,0,0,23,0,0,0,0,0,0,1,0,0,0,2,0,0,0,0,0,0,0,0,0,0,2,0,0,1,0,0,0,0,2,1,0,0,1,0,0,6,0,0,0,1,0,0,1,0,0,64,0,0,0,0,0,0
2024-03-10T03,106,2,0,0,0,0,0,2,1,1,0,0,0,0,0,0,0,12,1,0,0,5,0,0,0,17,0,0,0,0,0,0,0,0,0,1,2,0,0,1,0,0,0,1,0,0,0,0,0,0,0,5,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1,0,0,0,0,0,1,1,0,0,0,0,0,0,5,0,0,0,1,0,0,0,0,0,41,0,0,0,0,0,0
2024-03-10T04,101,1,0,0,0,0,0,3,1,0,0,0,0,2,0,0,0,9,1,0,0,4,0,0,0,5,0,0,0,0,0,0,2,0,0,2,2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,7,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,2,0,0,0,2,1,0,0,0,0,0,0,1,0,0,0,2,0,0,13,0,0,0,0,0,0,0,0,0,38,0,0,0,0,0,0
2024-03-10T05,105,1,0,0,0,0,0,1,0,0,0,0,0,3,0,0,0,7,1,1,0,4,0,0,0,4,1,0,0,0,0,0,2,0,0,3,3,0,0,1,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,3,0,0,2,0,0,0,0,2,0,0,0,0,0,1,7,0,0,0,1,0,0,2,0,0,46,0,0,0,0,1,0
2024-03-10T06,90,2,0,0,0,0,0,2,0,0,0,1,0,1,0,0,0,5,1,1,0,4,0,0,0,5,0,0,0,0,0,0,2,1,0,1,3,0,0,1,0,0,0,0,0,0,1,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,4,1,0,0,0,0,0,0,1,0,0,2,0,1,0,6,0,0,0,3,0,0,5,0,0,26,0,0,0,0,0,0
2024-03-10T07,115,2,0,0,0,1,0,1,0,0,2,0,0,0,0,0,1,1,1,1,0,5,0,1,0,7,0,0,0,0,0,0,0,1,0,3,2,0,0,1,0,0,0,1,0,0,3,0,1,0,2,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,1,1,0,1,0,0,1,0,2,0,0,0,1,0,0,6,0,0,0,2,1,0,4,0,0,37,0,0,0,0,0,0
2024-03-10T08,162,2,0,0,0,0,0,2,0,1,1,0,0,0,0,0,1,4,1,0,0,3,0,0,0,8,0,0,0,0,0,0,0,1,0,1,5,0,1,1,0,0,0,2,0,0,1,0,0,0,4,18,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,1,0,2,0,0,1,3,0,2,6,0,0,0,6,1,0,5,1,0,71,0,0,0,0,1,0
2024-03-10T09,100,3,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,2,1,0,0,19,2,0,1,0,0,0,0,0,0,6,8,0,0,1,0,0,0,0,0,0,0,0,0,0,11,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,2,0,2,0,0,2,1,0,0,5,0,0,0,4,0,0,2,1,0,17,0,0,0,0,0,0
