bucket,total,--,AE,AL,AM,AR,AT,AU,BA,BD,BE,BG,BJ,BO,BR,BY,BZ,CA,CH,CI,CL,CM,CN,CO,CV,CZ,DE,DK,DO,DZ,EC,EE,EG,ES,ET,FI,FR,GB,GH,GR,GT,HK,HN,HR,HU,ID,IE,IL,IN,IQ,IR,IT,JP,KE,KH,KR,KZ,LA,LB,LT,LV,MA,MD,MG,MK,MM,MN,MO,MT,MW,MX,MY,MZ,NC,NE,NG,NI,NL,NO,NP,NZ,PA,PE,PH,PK,PL,PS,PT,PY,QA,RO,RS,RU,RW,SA,SE,SG,SK,SN,TH,TR,TW,UA,UG,US,UY,UZ,VE,VN,ZA,ZM
2024-03-31T00,133,0,0,0,0,0,1,1,0,0,0,2,0,0,0,0,0,9,1,0,0,0,7,0,0,0,13,0,0,0,0,0,0,1,0,0,4,8,0,0,0,1,0,0,0,0,0,0,1,0,0,3,18,0,0,2,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,5,0,0,1,0,0,0,0,1,0,1,1,0,0,0,1,0,0,2,5,0,0,2,0,3,1,0,34,0,0,0,0,1,0
2024-03-31T01,117,0,0,0,0,0,0,3,0,0,0,2,0,0,0,0,0,9,0,0,0,0,8,0,0,0,8,0,0,0,0,0,0,0,0,0,2,3,0,0,0,0,0,0,0,0,0,0,0,0,1,2,19,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,1,0,0,0,0,1,0,3,0,0,0,5,0,0,2,0,0,1,0,43,0,0,0,0,0,0
2024-03-31T02,90,2,0,0,0,0,0,2,0,1,0,2,0,0,1,0,0,12,0,0,0,0,11,0,0,0,6,0,0,0,0,0,0,0,0,0,1,3,0,0,0,2,0,0,0,1,0,0,0,0,0,1,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,5,0,0,1,0,0,2,0,30,0,0,0,0,0,0
2024-03-31T03,85,2,0,0,0,0,0,2,0,1,0,1,0,0,1,0,0,5,2,0,0,0,9,0,0,0,7,0,0,0,0,0,0,0,0,0,2,2,0,0,0,1,0,0,0,1,0,0,0,0,0,2,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,2,0,2,1,0,33,0,0,0,0,0,0
2024-03-31T04,73,1,0,0,0,0,0,1,0,1,0,1,0,0,0,0,0,5,0,0,0,0,7,0,0,0,8,0,0,0,0,0,0,0,0,0,1,5,0,0,0,1,0,0,0,0,0,0,0,0,1,1,6,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,5,0,0,1,0,2,1,0,21,0,0,0,0,0,0
2024-03-31T05,75,0,0,0,0,0,0,1,0,2,0,0,0,0,0,0,0,7,0,0,0,0,6,0,0,0,8,0,0,0,0,0,0,0,0,0,2,2,0,0,0,1,0,0,0,0,0,0,0,0,0,1,2,0,0,2,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,5,1,0,1,0,4,0,0,26,0,0,0,0,1,0
2024-03-31T06,81,1,0,0,0,0,0,4,0,1,1,1,0,0,1,0,0,5,1,0,0,0,6,0,0,0,8,0,0,0,0,0,0,0,0,0,1,3,0,0,0,1,0,0,0,0,0,0,3,0,0,1,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,2,0,0,0,5,0,0,1,0,6,0,0,24,0,0,0,0,0,0
2024-03-31T07,84,0,0,0,0,0,0,1,0,1,0,1,0,0,0,0,0,4,0,0,0,0,3,0,0,0,11,0,0,0,0,0,0,1,0,0,3,2,0,0,0,0,0,0,0,0,0,0,2,0,0,5,0,0,0,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2,0,0,1,0,1,0,0,0,0,0,0,2,0,0,1,5,0,0,4,0,4,0,0,25,0,0,0,0,1,0
2024-03-31T08,85,0,0,0,0,0,0,1,0,1,0,1,0,0,1,0,0,3,0,0,0,0,8,0,0,0,6,0,0,0,0,0,0,0,0,0,3,2,0,0,0,1,0,0,0,0,0,1,2,0,0,3,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,1,0,1,0,0,1,0,0,0,0,0,0,1,0,2,1,0,1,6,0,0,7,0,4,0,0,18,0,0,0,0,1,0
2024-03-31T09,113,2,0,0,0,0,0,1,0,1,0,1,0,0,1,0,0,2,0,0,0,0,6,0,0,0,18,0,0,0,0,0,0,4,0,0,5,2,0,0,0,4,0,0,0,0,0,1,1,0,0,8,3,0,0,3,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,2,0,0,1,0,0,1,0,0,0,0,0,0,2,0,2,0,0,0,6,0,0,5,0,3,0,0,26,0,0,0,0,1,0
