bucket,total,--,AE,AR,AT,AU,BA,BD,BE,BG,BO,BR,BY,CA,CD,CH,CI,CL,CM,CN,CO,CR,CZ,DE,DK,DO,DZ,EC,EE,EG,ES,FI,FR,GB,GE,GR,HK,HR,HU,ID,IE,IL,IN,IQ,IR,IT,JP,KE,KG,KH,KN,KR,KZ,LA,LB,LC,LT,LU,LV,MA,MD,MK,MM,MN,MO,MU,MX,MY,MZ,NC,NG,NI,NL,NO,NP,NZ,OM,PE,PH,PK,PL,PS,PT,PY,RO,RS,RU,RW,SE,SG,SK,SN,SZ,TH,TN,TR,TW,UA,UG,US,UY,VE,VN,ZA,ZW
2024-04-07T00,97,1,0,0,0,1,1,0,0,1,0,1,0,9,0,1,0,0,0,8,0,0,0,9,0,0,0,0,0,0,0,0,3,4,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,5,0,0,0,3,0,0,0,0,0,40,0,0,0,0,0
2024-04-07T01,120,5,0,1,1,1,0,0,0,1,0,2,0,14,0,0,0,1,0,16,0,0,0,9,0,0,0,0,0,0,0,0,3,2,0,0,1,0,0,1,0,0,1,0,0,0,3,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,2,0,3,0,0,7,0,0,0,1,0,0,0,0,0,36,0,0,3,0,0
2024-04-07T02,139,2,0,1,0,1,0,0,1,1,0,2,0,13,0,0,0,1,0,17,1,0,0,9,0,0,0,0,0,0,0,0,0,4,0,0,2,0,0,2,0,0,2,0,0,0,12,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,3,0,0,7,0,0,0,3,0,0,2,0,0,46,0,0,1,0,0
2024-04-07T03,111,1,0,1,0,1,0,0,0,1,0,0,0,6,0,0,0,0,0,13,0,0,0,4,0,0,0,0,0,0,0,0,1,3,0,0,0,0,0,1,0,0,1,0,0,1,8,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2,0,0,0,0,1,0,1,0,0,0,6,0,0,5,0,0,0,1,0,0,2,0,0,48,0,0,1,0,0
2024-04-07T04,91,3,0,0,0,2,0,0,0,1,0,1,0,5,0,1,0,0,0,8,0,0,0,6,0,0,0,0,0,0,0,0,1,3,0,0,0,0,1,0,0,0,3,0,0,0,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,1,0,2,0,0,0,0,0,0,0,0,1,0,2,0,0,5,0,0,0,1,0,0,2,0,0,36,0,0,0,0,0
2024-04-07T05,105,0,0,0,0,2,0,0,0,1,0,1,0,6,0,0,0,0,0,10,1,0,0,9,0,0,0,0,0,0,0,0,2,3,0,0,0,0,1,2,0,0,3,0,2,0,7,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2,0,0,0,0,0,1,0,0,0,0,0,2,0,2,0,0,6,0,0,0,2,0,0,1,0,0,35,0,0,1,1,0
2024-04-07T06,87,0,0,0,0,3,1,0,0,1,0,0,0,6,0,2,0,0,0,10,1,0,0,9,0,0,0,0,3,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,1,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,2,0,0,0,2,0,1,0,0,6,0,0,0,2,0,0,1,0,0,25,0,0,2,0,0
2024-04-07T07,92,0,0,0,0,5,2,0,0,0,0,0,0,2,0,0,0,0,0,5,0,0,0,8,0,0,0,0,1,0,1,0,3,3,0,0,2,0,0,0,0,0,0,0,0,1,3,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,2,0,0,0,1,0,2,0,0,5,0,0,0,1,0,1,2,0,0,37,0,0,1,1,0
2024-04-07T08,125,0,0,0,0,1,0,0,0,1,0,1,2,1,0,0,0,0,0,6,0,0,0,18,0,0,0,0,0,0,2,0,3,4,0,0,1,0,0,1,0,1,0,0,0,6,9,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,2,0,1,1,0,4,0,0,0,0,0,3,0,4,7,0,0,0,4,0,0,1,0,0,37,0,0,0,0,0
2024-04-07T09,136,0,0,0,0,1,0,0,1,1,0,0,2,5,0,4,0,0,0,8,0,0,0,24,0,0,0,0,0,0,7,0,3,3,0,0,0,0,0,1,0,1,0,0,0,8,9,0,0,1,0,2,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,5,0,0,0,0,0,1,0,2,0,0,0,2,0,0,0,4,5,0,0,0,2,0,0,2,0,0,30,0,0,0,0,0
2024-04-07T10,115,0,0,0,0,1,0,0,1,2,0,0,0,1,0,2,0,1,0,16,1,0,0,12,0,0,0,0,0,0,3,0,4,2,0,0,0,0,0,0,0,0,0,0,0,7,5,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,1,0,1,0,0,0,2,0,2,2,4,9,0,0,0,2,0,0,5,0,0,23,0,0,0,0,0
2024-04-07T11,126,0,0,0,0,2,0,0,1,1,0,1,0,3,0,0,0,1,1,18,1,0,0,5,0,0,0,0,0,0,1,0,5,5,0,0,1,0,0,0,0,0,0,0,0,8,6,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,6,0,0,1,0,0,0,0,1,0,1,0,0,0,2,1,3,7,0,0,0,5,0,0,5,0,0,31,0,0,1,0,0
2024-04-07T12,106,0,0,1,0,1,0,0,0,1,0,2,0,3,0,1,0,0,0,12,0,0,0,14,0,0,0,0,0,0,1,0,5,3,0,0,1,0,0,0,0,0,0,0,0,3,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,1,0,0,0,0,0,2,0,3,0,0,5,0,0,0,6,0,0,5,0,0,23,0,0,0,0,0
