bucket,total,--,AE,AM,AR,AT,AU,BA,BD,BE,BG,BO,BR,BT,BY,BZ,CA,CH,CI,CL,CM,CN,CO,CR,CY,CZ,DE,DK,EC,EE,EG,ES,FI,FR,GB,GE,GR,GT,HK,HN,HR,HU,ID,IE,IL,IN,IQ,IR,IT,JP,KH,KR,KZ,LA,LB,LT,LU,LV,MA,MD,MK,MM,MN,MT,MU,MX,MY,NG,NI,NL,NO,NZ,PE,PH,PK,PL,PT,PY,RO,RS,RU,RW,SE,SG,SK,SN,SZ,TH,TL,TR,TW,UA,UG,US,VE,VN,ZA,ZW
2024-04-14T00,109,1,0,0,0,0,1,0,1,0,1,0,0,0,0,0,11,0,0,0,0,7,0,0,0,0,6,0,0,0,0,0,0,2,5,0,0,0,1,0,0,0,0,0,0,2,0,1,3,11,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,1,1,0,1,0,0,0,0,0,0,1,0,1,5,0,0,1,0,0,0,2,0,0,37,0,0,0,0
2024-04-14T01,108,0,0,0,1,0,1,0,1,0,1,0,0,0,0,0,10,0,0,1,0,7,0,0,0,0,6,0,0,0,0,0,0,1,3,0,0,0,3,0,0,0,0,0,0,1,0,0,0,4,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,1,0,0,0,2,1,0,0,0,0,0,1,8,0,0,1,1,0,1,2,0,0,46,0,0,0,0
2024-04-14T02,94,1,0,0,2,0,1,0,0,0,0,0,0,0,0,0,10,0,0,0,0,11,0,0,0,0,6,0,0,0,0,0,0,1,4,0,0,0,3,0,0,0,0,0,0,0,0,0,0,4,0,3,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,9,0,0,1,0,0,0,0,0,0,33,0,0,0,0
2024-04-14T03,69,0,0,0,1,0,2,0,0,0,2,0,0,0,0,0,5,0,0,0,0,5,0,0,0,0,4,0,0,0,0,0,0,3,3,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,1,0,0,0,2,0,0,30,0,0,0,0
2024-04-14T04,100,2,0,0,0,0,1,0,0,0,3,0,0,0,0,0,4,1,0,0,0,13,0,0,0,0,8,0,0,0,0,0,0,2,3,0,0,0,2,0,0,0,0,0,0,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,1,6,0,0,1,1,0,0,0,0,0,37,0,0,0,0
2024-04-14T05,123,1,0,0,0,0,3,0,0,0,0,0,0,0,0,0,1,0,0,0,0,11,0,0,0,0,4,0,0,0,0,0,0,1,3,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,2,0,0,0,0,0,0,0,6,0,0,1,1,0,0,3,0,0,80,0,0,0,0
2024-04-14T06,81,2,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,2,0,13,0,0,0,0,6,0,0,0,0,0,0,2,4,0,0,0,1,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,5,0,0,1,3,0,0,3,0,0,30,0,0,0,0
2024-04-14T07,93,2,0,0,0,0,2,0,0,1,1,0,0,0,0,0,2,0,0,1,0,13,0,0,0,0,7,0,0,0,0,0,0,6,7,0,0,0,1,0,0,0,0,0,0,5,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,0,2,0,0,0,0,1,0,0,0,1,5,0,0,1,0,0,1,0,0,0,29,0,0,0,0
2024-04-14T08,80,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,2,2,0,0,0,17,0,0,0,0,8,0,0,0,0,0,0,3,4,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,1,0,0,1,0,1,0,0,1,0,2,0,0,5,0,0,1,2,0,0,1,0,0,18,0,0,0,0
2024-04-14T09,115,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,1,0,21,0,0,0,0,12,0,0,0,0,7,1,7,4,0,0,0,6,0,0,1,0,0,0,3,0,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,1,0,0,0,0,1,0,0,1,0,0,0,0,6,0,0,1,1,0,0,2,0,0,27,0,0,0,0
