bucket,total,--,AE,AR,AT,AU,BA,BB,BD,BE,BG,BO,BR,BY,CA,CH,CI,CL,CM,CN,CO,CZ,DE,DK,EE,ES,FI,FR,GB,GF,GR,HK,HU,ID,IE,IL,IN,IQ,IR,IT,JP,KE,KH,KR,LA,LK,LT,LU,LV,MD,ME,MM,MN,MO,MU,MX,MY,NC,NG,NL,NO,NP,NZ,PE,PH,PK,PL,PS,PT,PY,RO,RS,RU,RW,SE,SG,SK,TH,TN,TR,TW,UA,US,UZ,VE,VN,ZA
2024-05-05T00,110,3,0,0,0,2,0,0,0,0,2,0,1,0,7,1,0,0,0,9,0,0,8,0,0,1,0,5,5,0,0,0,0,0,0,1,0,0,0,4,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,1,2,0,0,6,0,0,1,0,0,0,0,0,0,0,0,0,2,0,1,7,0,1,0,0,0,1,37,0,0,0,0
2024-05-05T01,109,1,0,0,0,3,0,0,0,0,1,0,0,0,10,1,0,1,0,7,0,0,10,0,0,0,0,6,4,0,0,1,0,1,0,1,0,0,0,2,4,0,0,2,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,4,0,0,0,0,1,0,1,1,0,0,0,0,2,0,0,6,0,4,0,0,0,0,32,0,0,0,0
2024-05-05T02,93,1,0,0,0,1,0,0,1,0,0,0,0,0,6,2,0,0,0,8,1,0,10,0,0,0,0,3,3,0,0,2,0,0,0,1,0,0,0,0,6,0,0,3,0,0,2,0,0,0,0,0,2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,7,0,3,0,0,0,0,29,0,0,0,0
2024-05-05T03,104,1,0,0,0,3,0,0,1,0,1,0,0,0,4,0,0,0,0,4,1,0,8,0,0,0,0,2,4,0,0,2,0,0,0,1,1,0,0,0,3,0,0,2,0,0,2,0,0,0,0,0,1,0,0,0,1,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,3,0,0,2,0,44,0,0,0,0
2024-05-05T04,91,1,0,0,0,1,0,0,1,0,0,0,1,0,6,0,0,0,0,3,1,0,5,0,0,0,0,2,2,0,0,0,0,0,0,1,0,1,0,0,1,0,0,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,10,0,0,0,1,3,0,44,0,0,0,0
2024-05-05T05,140,1,0,0,0,4,0,0,1,0,1,0,1,0,9,1,0,0,0,6,0,1,8,0,0,0,0,2,2,0,0,2,0,0,22,1,2,0,0,0,9,0,0,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2,0,0,0,2,0,0,1,1,0,0,0,0,10,0,2,1,0,3,0,40,0,0,0,0
2024-05-05T06,101,1,0,0,0,3,0,0,0,0,0,0,3,0,1,0,0,0,0,7,0,0,9,0,0,1,0,5,6,0,0,0,0,0,0,1,1,0,0,0,10,0,0,1,0,0,2,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,1,1,0,1,0,0,0,0,0,0,1,0,8,0,1,0,0,2,0,32,0,0,0,0
2024-05-05T07,104,1,0,1,1,2,0,0,1,1,1,0,0,0,0,1,0,0,0,7,1,0,6,0,0,0,0,5,6,0,0,3,0,0,0,1,1,0,0,1,8,0,1,2,0,1,1,0,0,0,0,0,1,0,0,1,0,0,0,3,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,6,0,1,0,0,3,0,33,0,0,0,0
2024-05-05T08,86,2,1,1,0,1,0,0,1,0,1,0,0,0,5,0,0,0,0,2,0,0,15,0,0,1,0,5,3,0,0,1,0,0,0,1,0,0,0,3,1,0,0,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,3,0,2,0,1,6,0,0,0,0,3,0,20,0,0,0,0
2024-05-05T09,103,1,0,0,0,1,0,0,0,0,0,0,0,0,5,2,0,0,0,4,0,0,20,0,0,2,0,6,3,0,0,3,0,0,0,1,0,0,0,7,1,0,0,2,0,0,2,0,0,0,0,0,0,0,0,0,0,0,1,5,0,0,0,0,0,0,1,0,0,0,4,0,1,0,1,6,0,4,0,0,1,0,19,0,0,0,0
2024-05-05T10,122,1,0,0,1,1,0,0,0,0,1,0,0,0,6,0,0,0,0,6,0,0,22,0,0,4,0,13,5,0,0,2,0,0,0,1,1,0,0,8,1,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,1,0,0,0,1,0,0,0,2,0,1,3,1,7,0,3,0,1,2,0,20,0,0,0,0
2024-05-05T11,131,1,0,0,1,1,1,0,1,0,1,0,0,0,1,1,0,0,0,27,0,0,12,0,0,1,0,15,5,0,0,4,1,0,0,1,1,0,0,7,2,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,1,0,4,0,0,0,0,1,0,1,0,0,0,2,0,0,1,0,7,0,4,0,0,6,0,17,0,0,0,0
2024-05-05T12,106,2,0,0,0,1,0,0,0,0,2,0,0,0,1,1,0,0,0,7,0,1,10,0,1,0,0,5,4,0,0,1,0,0,0,1,0,0,0,4,1,0,0,4,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,4,0,1,0,0,1,0,1,0,0,0,0,0,2,0,1,9,0,8,0,0,5,0,25,0,0,0,0
2024-05-05T13,124,1,0,0,0,1,0,0,0,0,1,1,0,0,1,1,0,0,0,9,0,0,20,0,0,0,1,7,2,0,0,3,0,1,0,1,1,0,0,3,2,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,6,0,1,0,0,1,0,3,0,0,0,1,0,0,0,1,9,0,12,0,0,3,0,28,0,0,0,0
2024-05-05T14,145,4,0,0,1,2,0,0,0,0,1,0,1,0,6,1,0,1,0,3,0,0,18,2,0,0,0,13,5,0,0,4,0,1,0,2,0,0,0,4,3,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,7,0,0,0,0,1,0,2,0,0,0,1,0,0,1,0,7,0,12,0,2,4,0,32,0,0,1,0
2024-05-05T15,188,2,0,0,0,2,0,0,0,1,2,1,1,1,3,0,0,1,1,6,1,0,28,1,0,2,0,8,8,0,0,2,1,0,0,1,0,0,0,25,7,0,0,1,0,0,2,0,0,0,0,0,0,0,0,1,0,0,1,6,0,0,0,0,1,0,2,0,0,0,4,0,0,0,1,8,0,14,0,0,6,0,35,0,0,0,1
2024-05-05T16,189,1,0,0,1,2,0,0,0,0,1,1,1,1,1,2,0,1,0,5,1,0,33,0,0,4,0,21,5,0,0,0,1,0,0,1,1,0,0,22,4,0,0,1,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,7,0,0,0,0,0,0,1,0,1,0,7,0,0,0,3,7,0,9,0,0,3,0,37,0,0,0,0
2024-05-05T17,172,1,0,0,1,1,0,0,0,1,0,0,1,0,5,2,0,0,0,6,1,0,33,0,0,3,0,10,8,0,0,4,1,0,0,0,1,0,0,20,0,0,0,3,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,5,0,1,0,0,0,0,2,0,1,0,2,0,1,0,4,6,0,13,0,2,3,0,29,0,0,0,0
