bucket,total,--,AE,AR,AT,AU,AW,BA,BD,BE,BG,BO,BR,CA,CH,CL,CM,CN,CO,CZ,DE,DK,DZ,EC,EE,ES,ET,FI,FR,GB,GR,GT,HK,HR,HU,ID,IE,IL,IN,IQ,IR,IT,JP,KE,KH,KR,KZ,LA,LT,LU,LV,MA,ME,MM,MN,MO,MX,MY,NL,NO,NZ,PH,PK,PL,PT,PY,RE,RO,RU,RW,SE,SG,SK,TH,TM,TR,TW,UA,US,VN,ZA,ZM
2024-05-12T00,105,0,0,0,0,2,0,0,1,0,0,0,0,8,0,0,0,2,0,0,8,0,0,0,0,3,0,0,6,9,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,6,0,1,0,0,0,0,0,0,1,1,0,1,6,0,5,0,0,0,0,41,0,0,0
2024-05-12T01,94,2,0,0,0,1,0,0,1,0,0,0,0,11,0,0,0,6,0,0,9,0,0,0,0,1,0,0,3,5,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,4,0,1,1,0,0,0,0,0,0,0,0,1,6,0,6,0,0,1,0,30,0,0,0
2024-05-12T02,82,0,0,0,0,3,0,0,1,0,0,0,0,10,0,0,0,3,0,0,9,0,0,0,0,1,0,0,2,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,1,0,3,0,1,0,0,0,0,0,0,0,0,0,0,6,0,4,0,0,0,0,30,0,0,0
2024-05-12T03,109,3,0,0,0,5,0,0,1,0,0,0,1,4,1,0,0,4,0,0,7,0,0,0,0,2,0,0,5,3,0,0,2,0,0,0,0,0,0,0,0,0,2,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,2,0,2,0,0,0,0,0,0,0,0,0,1,9,1,3,0,0,1,0,47,0,0,0
2024-05-12T04,96,3,0,0,0,3,0,0,1,0,0,0,1,4,0,0,0,6,0,0,7,0,0,0,0,1,0,0,3,5,0,0,3,0,0,0,0,0,0,0,0,1,3,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,7,0,4,0,0,2,0,37,0,0,0
2024-05-12T05,102,0,0,1,0,5,0,0,1,0,1,1,0,1,0,0,0,9,0,0,9,0,0,0,0,0,0,0,4,4,0,0,3,0,0,0,0,0,1,0,0,0,9,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,7,0,7,0,0,3,0,31,0,0,0
2024-05-12T06,84,0,0,1,0,2,0,0,1,0,1,1,0,1,0,0,0,5,0,0,9,0,0,0,0,0,0,0,2,2,0,0,0,0,0,0,0,0,3,0,0,0,9,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,2,0,2,0,0,0,0,0,0,1,0,0,0,7,0,6,0,0,1,0,26,0,0,0
2024-05-12T07,84,2,0,1,0,1,0,0,1,0,0,0,0,2,1,0,0,7,0,0,8,0,0,0,0,0,0,0,5,5,0,0,0,0,0,0,0,0,0,0,0,3,2,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,3,0,0,0,0,2,0,0,0,0,2,0,1,6,0,6,0,0,1,0,23,0,0,0
2024-05-12T08,79,2,0,0,0,2,0,1,1,0,0,0,0,0,1,0,0,6,0,0,13,0,0,0,0,0,0,0,6,5,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,1,0,0,0,2,1,0,0,6,0,3,0,0,2,0,20,0,0,0
2024-05-12T09,109,0,0,0,0,2,0,0,1,0,0,0,1,6,0,0,0,8,1,0,18,1,0,0,0,5,0,0,6,6,0,0,1,0,0,0,1,0,2,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,3,0,0,0,3,1,0,1,7,0,4,0,1,3,0,17,1,0,0
2024-05-12T10,89,1,0,0,0,1,0,0,1,0,0,0,0,5,1,0,0,4,1,0,14,0,1,0,1,0,0,0,1,3,0,0,1,0,0,0,0,0,1,0,0,2,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,7,0,0,0,0,1,0,0,0,3,2,0,0,7,0,5,0,0,1,0,22,0,0,0
2024-05-12T11,98,0,1,0,0,2,0,0,1,1,1,0,0,0,1,0,0,8,0,0,14,0,0,0,0,0,0,0,2,5,0,0,3,0,0,0,0,0,1,0,0,2,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,2,1,0,0,3,5,0,1,9,0,6,0,0,3,0,18,0,0,1
2024-05-12T12,108,0,1,0,0,2,0,0,1,0,1,0,1,2,2,0,0,5,0,0,18,0,0,0,1,1,0,0,7,4,0,0,1,0,0,0,0,0,0,0,0,2,5,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,6,0,2,0,0,2,0,0,0,4,2,0,2,7,0,9,1,0,3,0,14,0,0,1
2024-05-12T13,120,0,0,0,1,2,0,1,1,1,1,0,0,2,1,0,0,8,0,0,16,0,0,0,2,2,0,0,10,4,0,0,2,0,0,0,0,0,1,0,0,10,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,5,0,1,0,0,0,0,0,0,3,1,0,2,6,0,9,1,1,3,0,20,0,0,0
2024-05-12T14,126,1,0,0,0,4,0,1,1,0,1,0,1,2,1,0,0,4,0,0,16,0,0,0,3,2,0,1,7,5,0,0,1,0,0,0,1,1,1,0,0,8,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,7,0,0,1,0,1,0,0,0,5,2,0,4,6,0,9,0,1,4,0,22,0,0,0
2024-05-12T15,135,1,0,0,0,2,0,1,1,0,1,0,1,3,2,0,0,3,0,0,21,0,0,0,1,4,0,0,12,8,0,0,2,0,0,0,0,0,0,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,1,1,0,1,1,0,0,3,4,0,2,8,0,5,0,2,4,0,24,0,1,0
2024-05-12T16,169,0,1,0,0,2,0,1,1,1,1,0,0,2,1,0,0,10,0,0,27,0,0,0,0,6,0,0,20,7,0,0,1,0,1,0,0,0,0,0,0,14,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,7,0,0,1,1,4,1,0,0,4,2,0,5,6,0,11,0,2,2,0,25,0,0,0
2024-05-12T17,163,0,0,0,1,2,0,1,1,2,0,0,0,4,2,0,0,10,0,0,36,1,0,0,0,3,0,0,11,5,0,0,0,0,0,0,0,0,0,0,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,2,0,1,0,2,2,0,0,5,1,0,4,8,0,15,0,2,1,1,19,0,0,0
2024-05-12T18,167,1,0,0,0,1,0,0,1,4,1,0,0,5,2,0,1,16,0,1,34,1,0,0,0,4,0,0,9,8,0,0,2,0,0,0,0,0,2,0,0,8,4,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,10,2,1,0,0,2,0,0,0,5,0,0,0,7,0,6,0,1,1,0,24,1,0,0
2024-05-12T19,170,0,0,0,1,2,0,0,1,3,0,0,0,2,1,0,0,11,0,0,24,2,0,0,0,4,0,0,12,11,0,0,5,0,1,0,0,0,0,0,0,12,4,0,1,1,0,0,0,0,0,0,1,0,0,1,0,0,14,2,0,1,0,3,0,0,0,4,0,1,1,7,0,5,0,1,1,0,30,0,0,0
2024-05-12T20,175,0,0,0,1,2,0,0,1,3,2,0,0,10,1,0,0,15,0,0,22,0,0,0,0,1,0,0,13,9,0,1,4,0,0,0,0,0,1,0,0,16,2,0,0,2,0,0,0,0,0,0,1,0,0,0,0,0,9,1,0,2,0,2,1,0,0,1,1,0,2,7,0,5,0,0,1,0,36,0,0,0
2024-05-12T21,153,1,0,0,0,2,0,0,1,1,1,0,0,8,2,0,0,15,0,0,17,0,0,0,0,2,0,0,6,7,0,1,3,0,0,0,0,0,0,0,0,19,2,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,6,0,1,0,1,2,1,0,0,0,1,0,0,8,0,3,0,0,0,0,40,0,0,0
2024-05-12T22,103,0,0,0,0,1,0,0,1,0,0,0,0,8,2,0,0,7,0,0,9,0,0,0,0,2,0,0,3,8,0,0,1,0,0,0,0,0,1,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,1,0,0,1,1,0,0,0,2,0,0,6,0,1,0,0,0,0,34,0,0,0
