bucket,total,--,AR,AT,AU,BA,BD,BE,BG,BR,CA,CH,CM,CN,DE,DK,DZ,EE,ES,FI,FR,GB,HK,HR,HU,ID,IE,IL,IN,IT,JP,KH,KR,MD,MK,MN,MO,MX,MY,NL,NO,NZ,PE,PH,PL,PT,RO,RU,RW,SE,SG,SK,TH,TR,TT,TW,UA,US,VN,ZA
2024-05-26T00,116,0,0,0,1,0,1,0,0,0,3,0,0,19,7,0,0,0,3,0,2,3,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,3,1,0,0,0,0,1,0,0,0,0,6,0,3,0,0,1,0,58,0,1
2024-05-26T01,84,0,0,0,1,0,1,0,0,0,10,0,0,18,5,0,0,0,2,0,1,4,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,2,1,0,0,6,0,1,0,0,0,0,29,0,0
2024-05-26T02,96,1,1,0,3,0,2,0,1,0,6,0,0,18,5,0,0,0,1,0,2,4,2,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,3,0,1,0,0,0,0,0,2,0,0,6,0,0,0,0,1,0,35,0,0
2024-05-26T03,84,2,0,0,4,0,1,0,0,0,10,0,0,15,8,0,0,0,1,0,2,3,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,3,0,0,0,1,0,0,0,0,0,0,6,0,0,0,0,0,0,25,0,0
2024-05-26T04,74,0,1,0,2,0,1,0,1,0,6,0,1,7,8,0,0,0,1,0,1,5,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,2,0,0,0,0,0,0,0,0,6,0,0,1,0,2,0,25,0,0
2024-05-26T05,78,0,0,0,3,0,1,0,0,1,5,0,0,4,8,0,0,0,0,0,4,2,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,1,1,6,0,1,0,0,4,0,32,1,0
2024-05-26T06,69,0,0,0,2,0,1,0,1,0,5,0,0,8,4,0,0,0,0,0,3,2,0,0,0,0,0,0,1,2,0,0,0,0,0,0,0,0,0,2,0,1,0,0,0,0,1,0,0,0,7,0,2,0,0,2,0,25,0,0
2024-05-26T07,73,1,0,0,2,0,1,0,0,0,5,0,0,5,13,0,0,0,1,1,7,2,1,0,0,0,0,0,0,2,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,6,0,1,0,0,1,0,21,0,0
2024-05-26T08,80,0,0,0,1,0,1,0,0,0,5,0,0,6,17,0,0,0,2,1,4,3,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,3,0,0,0,0,0,0,1,1,0,0,6,0,6,0,0,1,0,19,0,0
2024-05-26T09,111,0,0,1,1,0,2,0,0,1,4,1,0,9,22,0,0,0,2,1,6,2,3,0,0,0,0,0,1,5,0,0,0,1,0,0,0,0,0,8,0,0,0,0,0,0,2,1,1,0,7,0,3,0,0,1,0,25,0,1
2024-05-26T10,94,1,0,0,1,0,1,0,0,0,3,0,0,7,10,0,0,0,2,2,6,5,0,0,0,0,0,0,0,2,1,1,0,0,1,1,0,0,0,6,0,0,0,0,1,0,0,3,0,2,6,0,4,0,0,4,0,24,0,0
2024-05-26T11,93,0,0,0,1,1,2,1,0,0,3,1,1,10,11,1,0,1,3,1,4,2,1,0,0,0,0,0,0,2,0,0,2,0,0,0,0,0,0,6,0,0,0,1,0,1,1,3,0,1,7,0,3,0,0,1,1,20,0,0
2024-05-26T12,116,0,0,0,1,0,1,0,1,0,4,1,0,8,12,0,0,0,1,0,9,2,2,0,0,0,1,0,0,4,1,0,0,0,0,0,1,0,1,12,0,0,0,3,1,0,1,2,0,2,7,0,10,0,0,3,1,24,0,0
2024-05-26T13,120,2,0,0,1,0,1,0,0,0,3,0,0,9,12,0,0,0,1,1,9,4,3,0,0,0,0,0,0,4,1,0,0,0,0,0,0,0,0,11,0,0,0,1,0,0,3,1,0,1,6,0,12,1,0,4,0,29,0,0
2024-05-26T14,122,0,0,0,2,0,1,0,0,0,6,1,0,7,21,0,0,0,0,0,10,4,2,1,0,0,0,1,0,14,0,0,1,0,0,0,0,0,0,8,0,1,0,0,1,1,0,1,0,0,6,0,14,1,0,5,0,13,0,0
2024-05-26T15,141,0,0,0,1,0,1,1,1,0,5,0,0,6,20,0,1,0,3,0,15,5,1,0,1,1,0,0,0,18,2,0,0,0,0,1,0,0,0,12,0,0,0,1,2,1,1,2,0,0,6,0,12,0,0,3,1,17,0,0
2024-05-26T16,159,1,0,0,1,0,1,1,0,0,5,1,2,18,22,0,0,0,5,0,15,2,2,0,1,0,0,0,1,15,0,0,1,0,0,0,0,1,0,11,0,1,0,0,0,0,2,0,0,1,6,0,13,1,1,1,0,27,0,0
2024-05-26T17,155,0,0,0,1,0,1,2,1,0,5,2,0,16,21,0,0,0,6,1,9,7,2,1,1,0,0,0,0,16,1,0,0,0,0,0,0,0,0,10,1,0,0,0,2,0,2,2,1,2,7,0,5,1,0,4,0,24,0,1
2024-05-26T18,163,0,1,0,1,0,1,3,2,1,4,1,0,17,22,0,0,0,8,0,10,8,2,0,1,0,0,0,0,14,1,0,1,0,0,0,0,0,0,14,0,0,0,0,2,0,1,0,0,1,8,0,8,1,0,2,0,28,0,0
2024-05-26T19,171,0,1,0,2,0,1,2,0,0,6,1,0,18,26,0,0,0,8,0,15,10,0,0,1,0,0,0,0,12,0,0,0,0,0,0,1,0,0,19,0,0,0,0,5,0,0,0,0,1,7,1,6,2,1,1,0,23,1,0
2024-05-26T20,141,0,4,0,2,0,1,1,0,0,8,3,0,16,19,0,0,0,3,0,8,3,0,0,0,1,0,0,0,15,0,0,2,1,0,0,0,0,0,17,0,0,0,1,5,1,1,0,0,0,6,0,4,0,0,1,1,17,0,0
2024-05-26T21,133,1,4,0,1,0,1,0,1,0,7,0,0,20,11,0,0,0,2,0,8,9,1,0,0,0,0,0,1,17,0,0,1,0,0,1,0,0,0,6,0,0,0,0,0,2,1,0,0,1,6,0,4,0,0,1,1,25,0,0
2024-05-26T22,113,0,5,0,1,0,1,1,0,1,9,2,0,10,12,0,0,0,1,0,8,10,0,0,0,0,0,0,0,8,0,0,0,0,1,0,0,0,0,4,0,1,0,0,0,0,0,1,2,0,6,0,3,0,0,1,1,24,0,0
2024-05-26T23,91,0,4,0,2,0,1,0,1,0,6,0,0,7,7,0,0,0,2,0,4,5,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,1,7,0,1,0,0,2,0,29,0,0
2024-05-27T00,66,1,0,0,0,0,1,0,1,0,5,0,0,3,8,0,0,0,1,0,3,4,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,2,0,0,6,0,2,0,0,1,0,26,0,0
