bucket,total,--,AE,AL,AM,AR,AT,AU,AZ,BA,BD,BE,BG,BN,BO,BR,BT,CA,CH,CL,CM,CN,CO,CR,CV,CY,CZ,DE,DK,DO,DZ,EC,EE,EG,ES,ET,FI,FR,GB,GE,GH,GR,GT,HK,HR,HU,ID,IE,IL,IN,IQ,IR,IS,IT,JO,JP,KE,KH,KR,KZ,LA,LT,LU,LV,MA,MD,MG,MK,MM,MN,MO,MT,MX,MY,NG,NL,NO,NP,NZ,PE,PH,PK,PL,PT,PY,RE,RO,RU,RW,SE,SG,SI,SK,SV,TG,TH,TN,TR,TW,UA,US,VE,VN,ZA,ZW
2024-06-02T00,82,1,1,0,0,0,0,1,0,0,2,0,0,0,0,0,0,6,0,0,0,6,1,0,0,0,0,8,0,0,0,0,0,0,0,0,0,5,4,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,1,0,0,2,0,34,0,0,0,0
2024-06-02T01,94,1,1,0,0,0,0,2,0,0,1,0,0,0,0,0,0,12,0,0,0,5,0,0,0,0,0,5,0,0,0,0,0,0,1,0,0,3,5,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,2,0,0,5,0,0,0,0,1,0,0,2,0,40,0,1,0,0
2024-06-02T02,82,1,0,0,0,0,0,3,0,0,2,0,0,0,0,0,0,2,0,1,0,5,1,0,0,0,0,6,0,0,0,0,0,0,0,0,0,2,6,1,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,1,0,0,1,0,38,0,0,0,0
2024-06-02T03,92,0,0,0,0,1,0,3,0,0,2,0,0,0,0,2,0,8,0,1,0,8,1,0,0,0,0,7,0,0,0,0,0,0,0,0,0,2,5,1,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,2,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,5,0,0,0,0,0,0,0,0,1,36,0,0,0,0
2024-06-02T04,105,1,0,0,0,1,0,2,0,0,1,0,1,0,0,0,0,4,0,0,0,5,1,0,0,0,0,11,0,0,0,0,0,0,0,0,0,3,4,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,2,0,0,5,0,0,0,0,1,0,0,0,0,54,0,0,1,0
2024-06-02T05,67,1,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,3,0,0,0,4,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,5,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,5,0,0,0,0,2,0,0,5,0,26,0,0,1,0
2024-06-02T06,73,2,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,3,0,0,0,4,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,3,4,0,0,0,0,3,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,2,0,0,5,0,28,0,0,0,0
2024-06-02T07,82,1,0,0,0,0,0,2,0,1,1,0,0,0,0,0,0,2,1,0,0,9,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,3,5,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,1,5,0,1,0,0,4,0,0,1,2,25,0,1,1,0
2024-06-02T08,88,1,0,0,0,0,0,2,0,0,1,0,1,0,0,0,0,2,0,0,0,5,0,0,0,0,0,12,0,0,0,0,0,0,2,0,0,7,4,0,0,0,0,1,0,0,1,0,0,0,0,0,0,7,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,2,0,0,1,6,0,0,0,0,5,0,0,1,1,23,0,0,0,0
2024-06-02T09,91,2,0,0,0,0,0,2,0,0,1,0,2,0,0,1,0,3,0,0,0,5,0,0,0,0,0,14,0,0,0,0,0,0,2,0,0,5,4,0,0,0,0,1,0,0,0,0,0,1,0,0,0,6,0,0,0,0,2,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,3,0,0,0,0,1,0,0,0,0,0,2,0,0,0,6,0,0,0,0,4,0,0,1,0,20,0,0,1,0
