bucket,total,--,AE,AL,AO,AR,AT,AU,BA,BD,BE,BG,BO,BR,BT,BW,BY,CA,CH,CL,CM,CN,CO,CZ,DE,DK,DZ,EE,EG,ES,FI,FR,GB,GR,GT,HK,HN,HR,HU,ID,IE,IL,IN,IQ,IR,IS,IT,JP,KE,KH,KR,KZ,LA,LT,LU,LV,MA,MK,MN,MO,MU,MX,MY,NC,NG,NL,NO,NZ,PE,PH,PK,PL,PS,PT,PY,RO,RS,RU,RW,SA,SE,SG,SI,SK,TG,TH,TN,TR,TW,UA,UG,US,UZ,VN,ZA
2024-06-09T00,104,0,0,0,0,0,0,2,0,0,0,1,0,1,0,0,0,5,0,1,0,6,0,0,9,0,0,0,0,3,0,4,5,0,0,0,0,0,0,0,0,0,2,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,2,0,0,1,0,2,2,0,0,1,0,0,0,0,0,1,0,0,0,6,0,0,0,3,0,0,0,0,0,44,0,0,0
2024-06-09T01,130,2,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,6,1,1,0,9,0,0,5,0,0,0,0,0,0,7,4,0,0,1,0,0,0,0,26,0,0,0,0,0,0,7,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,1,1,0,0,0,0,0,0,0,0,2,0,0,0,8,0,0,0,1,0,0,1,0,0,41,0,0,0
2024-06-09T02,118,2,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,6,0,1,0,10,0,0,6,0,0,0,0,0,0,3,4,0,0,3,0,0,0,1,0,0,0,0,0,0,0,9,0,1,0,0,0,0,0,0,0,0,0,0,0,2,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,2,0,0,1,7,0,0,0,4,0,0,1,0,0,52,0,0,0
2024-06-09T03,105,2,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,9,0,0,1,12,0,0,6,0,0,0,0,0,0,3,4,0,0,1,0,0,0,0,0,0,2,0,0,0,1,7,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,2,0,0,0,9,0,0,0,2,0,1,1,0,0,38,0,0,0
2024-06-09T04,109,2,0,0,0,0,0,3,0,0,0,0,0,1,0,0,0,9,1,0,0,18,0,0,5,0,0,0,0,0,0,3,3,0,0,0,0,0,0,0,0,0,1,0,1,0,1,7,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,6,0,0,0,3,0,0,3,0,0,35,0,1,0
2024-06-09T05,117,1,0,0,0,0,0,2,0,0,1,2,0,0,0,0,1,8,1,1,0,18,0,0,8,1,0,0,1,0,0,3,5,0,0,4,0,0,0,0,0,0,2,0,0,0,2,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,2,2,0,1,5,0,0,0,3,0,0,3,0,0,34,0,0,0
2024-06-09T06,138,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,5,0,0,0,20,0,0,10,0,0,0,0,1,0,4,3,0,0,1,0,0,0,2,1,0,2,0,0,0,0,3,0,0,2,0,0,0,0,0,0,0,0,1,0,0,0,0,0,2,0,0,0,0,0,1,0,0,1,0,0,1,1,0,0,5,0,0,0,1,0,1,0,0,0,67,0,0,0
2024-06-09T07,102,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,2,3,0,0,20,0,0,10,0,0,0,0,0,0,7,3,0,0,1,0,0,0,1,0,0,1,0,0,0,1,2,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,2,2,0,0,0,0,1,0,0,1,0,0,1,0,0,0,5,0,0,0,3,0,0,1,0,0,29,0,0,0
2024-06-09T08,147,1,0,0,0,0,0,2,0,0,0,2,0,0,0,0,0,1,3,0,0,21,0,0,16,0,0,0,0,2,0,10,4,0,0,1,0,0,0,0,0,0,1,0,0,0,4,7,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,1,0,1,0,0,1,0,0,0,0,0,0,0,0,5,0,0,0,9,0,0,1,0,0,46,0,1,1
2024-06-09T09,187,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1,0,0,19,0,0,17,0,0,0,0,2,0,10,6,0,0,0,0,0,0,0,0,0,0,0,0,0,8,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,1,0,0,1,0,1,0,0,0,2,0,0,0,0,1,6,0,0,0,5,0,0,0,0,0,99,0,0,0
