bucket,total,--,AE,AR,AT,AU,BA,BD,BE,BG,BR,CA,CH,CL,CN,CO,CZ,DE,DK,EC,ES,FI,FR,GB,GR,HK,HU,ID,IE,IL,IN,IR,IS,IT,JP,KH,KR,KZ,LA,LT,MM,MN,MO,MX,MY,NG,NL,NO,NZ,PH,PK,PL,PT,RO,RS,RU,RW,SC,SE,SG,SK,TG,TH,TR,TW,UA,UG,US,VE,VN,ZA
2024-06-16T00,126,1,0,1,0,0,0,1,1,1,0,2,0,0,13,0,0,5,0,0,3,0,5,7,0,0,0,0,0,0,0,0,0,1,8,0,0,1,0,1,0,1,0,1,2,0,2,0,0,0,0,0,0,1,0,2,0,0,1,6,0,0,2,0,1,0,0,55,0,0,1
2024-06-16T01,108,1,0,0,0,0,0,0,0,0,1,5,0,0,8,0,0,7,0,0,1,0,0,5,0,1,0,0,0,0,0,0,0,1,5,1,0,0,0,0,0,0,0,3,0,0,1,0,0,0,0,1,0,0,0,2,0,0,3,8,0,0,2,0,0,0,0,52,0,0,0
2024-06-16T02,103,1,0,0,0,2,0,0,0,0,1,6,0,0,7,0,1,5,0,0,0,0,4,2,0,3,0,0,0,0,3,0,0,0,2,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,2,9,0,1,1,0,4,0,0,42,0,0,2
2024-06-16T03,126,2,0,0,0,2,0,0,0,0,0,6,1,1,5,0,0,3,0,0,0,0,1,4,0,1,0,0,0,0,1,0,0,0,2,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,2,0,0,0,9,1,0,1,0,0,0,0,81,0,0,1
2024-06-16T04,92,3,0,0,1,0,0,0,0,0,1,3,1,1,14,0,0,3,0,0,0,0,0,2,0,1,0,0,1,0,2,0,0,0,4,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,3,0,0,0,6,1,0,0,0,3,0,0,39,0,0,0
2024-06-16T05,130,1,0,0,0,1,0,0,0,0,2,4,0,0,17,0,0,6,0,0,1,0,1,6,0,1,0,0,0,0,1,0,0,0,11,1,2,0,0,1,0,0,0,0,2,0,0,0,2,1,0,1,0,0,0,3,0,0,0,6,0,0,4,0,5,0,0,49,0,1,0
2024-06-16T06,95,0,0,1,0,1,0,0,0,1,1,1,0,0,17,0,0,3,0,0,0,0,2,3,0,3,1,0,0,0,1,0,0,1,6,0,0,0,0,1,0,0,0,0,0,0,3,0,0,2,0,0,0,0,0,1,0,0,0,6,0,0,6,0,3,0,0,31,0,0,0
2024-06-16T07,91,4,0,1,0,0,0,0,0,1,0,3,0,0,14,0,0,8,1,0,1,0,1,3,0,3,1,0,0,0,2,0,0,3,4,0,1,0,0,1,0,0,0,0,1,0,1,0,0,1,0,1,0,0,0,1,0,0,0,6,0,0,0,0,1,0,1,25,0,1,0
2024-06-16T08,127,2,0,0,0,0,0,0,1,0,0,2,0,0,19,0,0,15,0,0,0,0,1,3,0,2,0,0,3,1,3,0,0,2,2,0,0,0,0,1,1,0,0,0,0,0,2,0,0,1,0,0,0,1,0,1,1,0,1,6,0,0,4,0,3,0,1,48,0,0,0
2024-06-16T09,140,4,0,0,0,0,0,1,0,0,0,1,0,0,19,0,0,15,0,0,0,0,4,4,0,1,0,0,8,0,2,0,0,4,3,0,1,0,0,1,0,0,0,0,0,0,5,1,0,1,0,0,0,3,0,2,0,0,1,8,0,0,3,0,2,1,0,45,0,0,0
2024-06-16T10,142,3,0,0,0,1,0,1,1,1,1,3,0,0,16,0,0,24,0,0,0,0,4,5,0,3,0,0,0,1,2,0,0,2,19,0,2,0,0,0,0,1,0,0,0,0,4,1,1,0,0,1,0,0,0,2,0,0,1,7,0,0,1,0,0,0,0,34,0,0,0
2024-06-16T11,210,0,0,0,0,0,0,0,0,1,0,7,2,0,15,0,0,19,0,0,0,0,5,4,0,0,0,0,0,0,0,0,0,3,6,1,2,0,0,1,0,1,0,0,0,0,8,1,0,0,0,1,0,0,0,2,0,1,0,15,0,0,2,0,4,0,0,108,0,1,0
2024-06-16T12,172,1,0,0,0,1,0,1,1,1,1,5,1,0,21,0,2,28,0,0,0,0,9,9,0,0,0,1,7,0,0,0,0,2,1,0,1,0,0,1,0,0,0,0,0,0,4,0,1,1,0,1,0,1,0,2,1,0,0,15,0,0,3,2,3,0,0,44,0,0,0
2024-06-16T13,148,0,0,0,0,0,0,0,1,0,1,5,1,0,19,0,0,22,0,0,0,0,14,6,0,4,0,1,3,0,1,0,0,5,1,0,1,0,0,0,0,1,0,0,0,0,6,0,1,2,0,0,0,1,0,2,0,0,0,8,0,0,6,1,6,0,0,29,0,0,0
2024-06-16T14,202,1,1,1,0,3,0,0,1,1,4,1,0,1,23,1,0,25,0,0,0,0,19,9,0,3,0,1,0,0,6,0,0,9,1,1,1,0,0,1,0,0,0,0,0,0,7,0,0,2,0,1,0,0,0,2,0,0,0,11,0,0,10,1,4,0,0,49,1,0,0
2024-06-16T15,254,0,0,0,0,0,0,0,2,0,0,5,0,1,24,0,0,23,0,0,4,0,13,7,0,2,0,0,0,0,1,0,0,15,2,0,0,0,0,1,0,0,0,0,0,0,7,0,2,1,0,1,1,1,0,3,0,0,3,7,0,0,21,1,3,1,0,101,1,0,0
2024-06-16T16,160,1,0,0,0,0,0,0,0,1,0,3,1,1,6,0,0,22,0,0,5,0,13,7,0,2,0,0,0,0,2,0,0,15,2,0,1,0,0,0,0,0,0,0,0,0,8,0,0,1,0,1,0,1,0,2,0,0,3,6,0,0,9,0,1,0,0,46,0,0,0
2024-06-16T17,178,1,0,0,0,3,0,0,0,0,0,3,2,0,7,0,1,27,0,0,4,0,10,12,0,1,0,0,0,0,1,1,0,12,9,0,0,0,0,1,0,1,0,1,1,0,9,0,1,1,0,2,1,1,0,2,0,0,1,6,0,0,8,0,3,0,0,45,0,0,0
2024-06-16T18,205,2,0,0,0,0,0,0,1,1,0,7,1,0,8,0,0,30,0,1,2,0,10,19,0,1,0,0,1,0,0,0,0,7,4,0,0,0,0,1,0,0,0,0,0,0,10,1,0,1,0,2,0,3,0,2,0,0,4,11,4,0,7,1,0,1,0,62,0,0,0
2024-06-16T19,151,1,0,0,0,0,0,0,1,0,1,10,1,0,7,0,0,13,0,0,2,0,11,14,0,3,0,0,1,0,3,0,0,13,2,0,1,0,0,0,0,1,0,0,0,0,17,1,2,0,0,2,1,1,0,1,0,0,0,6,1,0,4,1,1,0,0,28,0,0,0
2024-06-16T20,181,2,1,0,0,1,1,0,2,0,0,3,2,0,6,0,0,33,0,0,4,0,6,12,0,1,0,0,0,0,0,0,0,14,8,0,0,0,0,1,0,0,0,0,0,0,15,1,1,0,1,1,2,1,0,1,0,0,1,6,1,0,7,2,1,0,0,43,0,0,0
2024-06-16T21,153,1,0,0,0,3,0,2,2,0,0,3,1,0,9,0,0,14,0,0,0,0,7,9,0,1,0,0,0,0,1,0,0,18,12,1,0,0,0,1,0,1,0,0,0,0,3,0,0,1,0,2,0,1,0,1,1,0,1,7,0,0,0,3,1,1,0,45,0,0,0
2024-06-16T22,111,0,0,0,0,0,0,1,1,0,0,2,1,0,8,0,0,6,0,0,0,0,7,7,0,1,0,0,19,0,1,0,0,7,2,0,0,0,0,0,0,1,0,0,0,0,2,0,1,0,0,1,0,1,0,1,1,0,0,7,0,0,4,1,0,0,0,28,0,0,0
2024-06-16T23,197,1,0,1,0,0,0,0,0,0,0,11,0,0,8,0,0,5,0,0,2,0,5,10,0,1,0,1,0,0,0,0,0,3,4,0,1,0,0,2,0,1,0,0,0,0,3,1,0,0,0,1,0,0,0,3,0,0,0,8,0,0,0,0,0,0,0,123,0,2,0
2024-06-17T00,165,0,0,0,0,1,0,1,0,1,0,4,1,1,8,0,0,3,0,0,1,0,3,7,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,2,0,0,0,0,0,0,3,0,0,1,6,0,0,0,0,0,0,0,119,0,0,0
2024-06-17T01,112,1,0,0,0,0,0,0,0,0,0,5,0,1,5,0,0,3,0,0,1,0,1,5,0,1,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,7,0,0,0,0,0,0,0,74,0,1,1
2024-06-17T02,89,2,0,0,0,0,0,0,0,1,0,6,0,1,7,0,0,6,0,0,1,0,1,4,0,0,0,0,0,0,0,0,0,0,1,0,2,0,0,1,0,1,0,0,1,0,0,0,0,2,0,1,0,1,0,2,0,1,0,6,0,0,1,0,1,0,0,39,0,0,0
2024-06-17T03,71,1,0,0,0,0,0,0,0,1,0,2,1,1,6,0,0,4,0,0,0,0,1,3,0,0,0,0,0,0,1,0,0,0,1,0,2,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,2,0,0,0,6,0,0,2,0,0,0,0,34,0,0,0
2024-06-17T04,74,0,0,0,0,1,0,0,0,0,0,5,0,0,7,0,0,6,0,0,0,0,2,5,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0,2,0,0,0,7,0,0,2,0,0,0,0,31,0,0,0
2024-06-17T05,73,1,0,0,0,0,0,0,0,0,0,6,1,0,9,0,0,6,0,0,0,0,1,3,0,0,1,0,1,0,0,0,0,0,1,0,1,0,0,1,0,1,0,0,0,0,0,0,4,0,0,1,0,1,0,1,0,0,0,7,0,0,2,0,1,0,0,23,0,0,0
2024-06-17T06,71,1,0,1,0,0,0,0,0,0,0,1,0,0,9,0,0,8,0,0,0,0,1,3,0,1,1,0,0,0,0,0,0,1,1,0,1,0,0,1,1,0,0,0,0,0,0,0,3,1,0,0,0,0,1,1,1,0,0,8,0,0,2,0,0,0,0,23,0,0,0
2024-06-17T07,78,0,0,0,0,0,0,0,0,0,0,2,0,0,7,0,0,7,0,0,0,0,1,4,0,0,0,0,0,0,0,0,0,4,1,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,2,0,0,0,4,0,0,0,9,0,0,3,0,0,0,0,31,0,0,0
2024-06-17T08,75,0,0,2,0,1,0,0,0,0,0,2,0,0,9,0,0,12,0,0,0,0,3,5,0,0,0,0,1,0,1,0,0,3,0,0,0,0,1,1,0,1,0,0,0,0,2,0,2,0,0,1,0,1,0,3,0,0,0,6,0,0,0,0,0,0,0,18,0,0,0
2024-06-17T09,68,0,0,0,1,1,0,0,0,1,0,3,0,0,4,0,0,6,0,0,0,0,4,5,1,0,0,0,0,0,1,0,0,4,1,0,1,0,0,0,0,0,0,0,0,0,2,0,0,0,0,1,0,0,0,2,0,0,1,7,0,0,2,1,1,0,0,18,0,0,0
2024-06-17T10,72,0,0,0,0,0,0,0,0,0,0,2,0,0,5,0,0,11,0,0,1,0,2,5,0,1,0,0,0,0,0,0,0,5,1,0,1,0,0,1,0,0,0,0,0,0,2,0,1,0,0,2,0,0,0,2,0,0,0,7,0,0,3,0,0,0,0,20,0,0,0
2024-06-17T11,86,0,0,0,0,1,0,0,0,0,1,1,1,0,6,0,0,10,0,0,2,0,4,3,0,1,0,0,0,0,0,1,0,3,1,0,0,0,0,1,0,1,0,1,0,0,1,1,1,0,0,1,1,0,0,2,1,0,0,7,0,0,3,0,7,0,0,22,0,1,0
2024-06-17T12,98,2,0,0,0,1,0,0,0,0,0,1,1,0,5,0,0,14,0,0,0,0,4,9,0,2,1,0,0,0,2,0,0,3,3,0,0,0,0,0,0,0,0,0,0,0,2,0,0,1,0,1,0,0,0,2,0,0,0,8,0,0,8,0,3,0,0,24,0,1,0
2024-06-17T13,118,2,0,0,0,1,0,1,0,0,3,2,1,0,10,0,0,17,0,0,2,0,6,6,0,3,1,0,0,0,0,1,0,5,6,0,0,0,0,1,0,0,0,0,0,1,3,0,0,2,0,0,0,1,0,4,0,0,0,7,0,0,7,0,4,0,0,18,0,3,0
2024-06-17T14,124,1,0,0,0,0,0,1,1,0,0,5,1,0,8,0,0,13,1,0,1,1,9,9,0,0,0,1,0,0,0,0,0,3,3,1,2,0,0,0,0,1,0,1,0,0,5,0,0,1,0,2,0,0,0,3,0,0,0,7,0,0,15,1,3,0,0,22,0,2,0
2024-06-17T15,132,1,1,0,0,1,0,0,0,2,1,5,3,0,8,0,0,15,0,0,2,0,9,8,0,2,0,0,0,0,2,0,0,4,2,1,0,0,0,0,0,0,0,0,1,0,3,1,0,1,0,1,1,0,0,4,1,0,2,6,0,0,14,1,1,0,0,27,0,1,0
