bucket,total,--,AE,AR,AT,AU,BA,BD,BE,BG,BR,BT,BY,CA,CH,CL,CM,CN,CO,CY,CZ,DE,DK,DO,DZ,EC,EG,ES,FI,FR,GB,GH,GR,GT,HK,HU,ID,IE,IL,IN,IR,IT,JP,KH,KR,LA,LC,LT,LU,LV,MA,MD,MK,MM,MN,MO,MX,MY,NC,NL,NO,NZ,PA,PE,PH,PK,PL,PS,PT,RO,RU,RW,SE,SG,SK,TG,TH,TN,TR,TW,UA,UG,US,VE,VN,ZA,ZW
2024-06-23T00,111,0,0,0,0,0,0,0,1,1,1,0,0,8,0,0,0,16,0,0,0,3,0,0,0,0,0,0,0,1,3,0,1,0,2,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,2,0,2,0,1,0,2,0,0,0,0,0,0,0,0,0,5,0,0,1,0,0,2,0,0,56,0,0,0,0
2024-06-23T01,80,1,0,0,0,0,0,0,0,1,0,0,0,5,0,0,0,14,0,0,0,4,0,0,0,0,0,0,0,0,2,0,0,0,1,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,1,0,0,0,0,0,1,1,0,0,5,0,0,1,0,0,1,0,0,35,0,0,1,0
2024-06-23T02,109,1,0,0,0,0,0,0,0,1,0,0,0,8,0,0,0,16,0,0,0,5,0,0,0,0,0,0,0,2,2,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2,0,2,0,0,0,0,1,0,0,0,3,0,0,5,0,0,3,0,0,1,0,0,54,0,0,0,0
2024-06-23T03,94,0,0,1,0,0,0,1,2,0,0,0,0,2,0,0,0,14,0,0,0,2,0,0,0,0,0,0,0,3,2,0,0,0,3,0,0,0,0,0,0,0,4,2,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,2,0,1,0,0,0,0,1,0,0,0,1,0,0,5,0,0,3,0,0,0,0,0,44,0,0,0,0
2024-06-23T04,83,0,0,0,0,0,0,0,1,0,1,0,0,3,0,0,0,19,0,0,0,2,0,0,0,0,0,0,0,2,2,0,0,0,1,0,0,0,0,2,0,0,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,1,1,0,0,0,0,0,0,0,0,5,0,0,2,0,0,0,0,0,36,0,0,0,0
2024-06-23T05,106,1,0,1,0,2,1,1,0,0,4,0,0,1,1,0,0,18,0,0,0,5,0,0,0,0,0,0,0,0,2,0,0,0,1,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,6,0,0,8,0,0,7,0,0,38,0,1,1,0
2024-06-23T06,92,0,0,1,0,2,0,0,0,0,0,0,0,3,0,0,0,19,0,0,0,4,0,0,0,0,0,0,0,4,3,0,0,0,1,0,0,1,0,0,0,1,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,2,0,1,0,0,0,1,0,1,5,0,0,7,0,0,5,0,0,26,0,1,0,0
2024-06-23T07,70,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,15,0,0,0,6,0,0,0,0,0,0,0,1,3,0,0,0,2,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,2,0,0,0,0,0,0,0,0,5,0,0,5,0,0,2,0,0,21,0,0,0,0
2024-06-23T08,117,1,0,0,0,2,0,0,0,1,0,0,0,1,0,0,0,17,0,0,0,19,0,0,0,0,0,2,1,8,3,0,0,0,1,0,0,0,0,0,0,4,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,1,0,0,0,0,0,1,5,0,0,4,0,0,1,1,0,40,0,0,0,0
2024-06-23T09,102,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,15,0,0,0,14,0,0,0,0,0,3,0,3,5,0,0,0,1,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,6,0,0,0,0,0,0,0,0,0,1,0,1,0,5,0,0,5,0,0,0,0,0,31,0,0,0,0
2024-06-23T10,76,1,0,0,1,1,1,0,0,0,1,0,0,1,0,0,0,8,0,0,0,13,0,0,0,0,0,2,0,2,6,0,0,0,0,0,0,0,0,0,0,6,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,3,0,2,0,0,0,0,0,0,0,1,0,0,1,5,0,0,0,0,0,1,0,0,18,0,0,0,0
2024-06-23T11,101,0,0,0,2,1,0,0,0,0,1,0,0,4,1,0,0,12,0,0,0,16,0,0,0,0,0,3,0,3,4,0,1,0,2,0,1,0,0,2,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,4,0,0,0,0,0,0,0,0,0,1,2,1,1,5,0,0,3,0,1,1,0,0,25,0,1,0,0
2024-06-23T12,118,1,0,0,2,0,0,0,0,0,1,0,0,3,1,0,0,14,0,0,0,14,0,0,0,0,0,2,0,2,5,0,0,0,2,0,1,0,0,1,0,3,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,7,0,0,0,0,1,0,1,0,0,0,2,0,1,5,0,0,9,0,3,4,0,0,29,0,1,0,0
2024-06-23T13,125,0,0,0,0,2,0,0,1,1,0,0,0,1,1,0,0,10,0,0,0,16,0,0,0,0,0,2,0,7,7,0,0,0,3,0,0,0,0,0,0,5,4,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0,7,0,0,0,1,1,0,1,0,0,0,1,0,2,7,0,0,11,0,1,2,0,0,27,0,1,0,0
2024-06-23T14,142,1,0,1,0,0,0,0,1,0,1,0,0,3,1,0,0,10,0,0,0,18,0,0,0,0,0,2,0,14,5,0,0,0,2,0,1,0,1,1,0,7,12,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,1,1,0,0,0,0,0,1,0,2,6,0,1,7,0,3,2,0,0,30,0,0,0,0
