bucket,total,--,AE,AR,AT,AU,BA,BD,BE,BG,BO,BR,BY,CA,CH,CI,CL,CM,CN,CO,CR,CZ,DE,DK,DO,DZ,EC,EE,ES,FI,FR,GB,GE,GR,HK,HR,HU,ID,IE,IL,IN,IQ,IR,IS,IT,JP,KE,KH,KR,KZ,LA,LK,LT,LV,MD,ME,MK,MM,MN,MO,MW,MX,MY,NE,NG,NL,NO,NP,NZ,PE,PH,PL,PT,PY,RO,RU,RW,SA,SE,SG,SN,SO,TH,TM,TN,TR,TW,TZ,UA,US,VN,ZA
2024-06-30T00,94,0,0,0,0,1,0,0,0,1,0,3,0,6,0,0,0,0,18,0,0,0,6,0,0,0,0,0,1,0,3,7,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,2,0,0,0,0,0,0,1,0,0,0,5,0,0,0,0,0,0,0,0,0,33,1,0
2024-06-30T01,108,2,0,0,0,1,0,0,0,0,0,3,0,4,1,0,0,0,14,0,0,0,7,0,0,0,0,0,1,0,3,5,0,0,1,0,0,0,0,0,0,0,0,0,0,6,0,0,2,0,0,0,1,0,0,0,0,0,1,0,0,0,2,0,0,1,0,0,0,0,1,0,0,0,0,2,0,0,0,5,0,0,0,0,0,1,0,0,0,44,0,0
2024-06-30T02,97,1,0,0,0,1,0,0,0,0,0,0,0,2,0,0,1,0,16,0,0,0,6,0,0,0,0,0,1,0,5,3,0,0,2,0,0,0,0,0,0,0,0,0,1,4,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,8,0,0,0,0,0,1,0,0,0,40,0,0
2024-06-30T03,84,0,0,0,0,3,0,1,0,1,0,0,0,2,0,0,1,0,17,0,0,0,2,0,0,0,0,0,0,0,1,3,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,6,0,0,1,0,0,0,0,0,2,37,0,0
2024-06-30T04,115,2,0,0,0,2,0,0,1,1,0,0,0,1,0,0,0,0,9,0,0,0,2,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,6,0,0,1,0,0,0,1,0,0,78,0,0
2024-06-30T05,86,0,0,0,0,0,0,1,0,0,0,0,0,3,0,0,0,0,5,0,0,0,5,0,0,0,0,0,0,0,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,1,0,0,0,0,1,0,0,0,6,0,0,2,0,0,0,2,0,0,52,0,0
2024-06-30T06,82,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,7,0,0,0,3,0,0,0,0,0,0,0,2,4,0,0,1,0,0,0,0,0,2,0,0,0,2,2,0,0,1,0,0,0,2,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,6,0,1,2,0,0,2,3,0,0,35,0,0
2024-06-30T07,84,1,0,0,0,1,1,1,0,1,0,0,0,2,0,0,0,1,12,0,0,0,4,0,0,0,0,0,0,0,2,5,0,0,1,0,0,0,1,0,0,0,0,0,4,1,0,0,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,1,1,0,0,2,0,0,0,0,5,0,0,4,0,0,0,1,0,0,27,0,0
2024-06-30T08,85,0,0,0,0,4,0,1,1,1,0,2,0,4,0,0,0,0,10,0,0,0,6,0,0,0,0,0,0,0,4,4,0,0,1,0,0,0,0,0,0,0,0,0,4,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,1,0,0,0,1,0,0,0,7,0,0,4,0,0,0,1,0,0,22,1,0
2024-06-30T09,96,0,0,0,0,6,1,1,0,2,0,1,0,0,1,0,0,0,8,0,0,0,14,0,0,0,0,0,0,0,4,6,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,6,1,0,0,0,0,1,0,0,3,0,0,0,1,8,0,0,2,0,0,0,3,0,0,17,1,0
2024-06-30T10,87,0,1,0,0,1,0,1,0,1,0,0,0,1,1,0,0,0,4,0,0,0,8,0,0,0,0,0,1,0,3,9,0,0,0,0,0,1,0,0,0,0,0,0,5,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,4,1,0,1,0,1,1,1,0,0,4,0,1,3,6,0,0,8,0,0,0,0,0,0,15,0,0
2024-06-30T11,82,1,0,0,0,1,0,1,1,1,0,0,0,1,1,0,0,0,7,0,0,0,16,0,0,0,0,0,2,0,3,5,0,0,1,0,0,0,0,0,2,0,0,0,1,0,0,0,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,1,0,0,2,0,0,0,1,0,0,0,5,0,0,4,0,0,3,0,0,0,15,0,1
2024-06-30T12,103,0,0,0,0,1,0,1,0,0,1,1,0,2,2,0,0,0,9,0,0,0,15,0,0,0,0,0,1,0,10,5,0,0,2,0,0,0,0,0,0,0,0,0,1,2,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,4,0,0,0,1,0,3,0,0,0,1,0,0,2,8,0,0,7,0,0,0,3,0,0,16,1,0
2024-06-30T13,140,1,0,0,0,0,0,1,0,0,1,2,0,2,1,0,0,0,10,0,1,0,18,0,0,0,0,0,0,0,15,5,0,0,6,0,0,0,0,0,1,0,0,0,4,4,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,1,1,0,0,6,1,0,0,1,1,1,0,0,0,3,0,0,1,9,0,0,11,0,0,0,2,0,0,26,1,0
2024-06-30T14,136,0,1,0,0,0,0,0,0,0,0,3,0,3,2,0,0,0,6,0,1,0,19,0,0,0,0,0,0,0,10,8,0,0,2,0,0,1,0,0,1,0,0,0,8,3,0,1,1,0,0,0,1,0,0,0,1,0,1,0,0,1,0,0,0,5,1,0,0,0,2,0,1,0,3,1,0,0,0,7,0,0,14,0,0,0,2,0,0,26,0,0
