bucket,total,--,AE,AR,AT,AU,BA,BE,BG,BO,BR,BY,CA,CH,CL,CM,CN,CO,CU,CZ,DE,DK,DZ,ES,FI,FR,GB,GR,HK,HU,ID,IE,IL,IN,IQ,IR,IT,JP,KR,KZ,LT,LU,LV,MD,MK,MN,MT,MX,MY,NL,NO,NZ,PA,PH,PL,PT,RO,RU,RW,SC,SE,SG,SK,TH,TM,TR,TW,TZ,UA,US,UY,VN
2024-07-21T00,83,1,0,0,0,0,0,0,0,0,2,0,1,0,0,0,7,0,0,0,6,0,0,1,0,1,3,0,0,0,0,0,0,0,0,0,2,0,1,0,1,0,0,0,0,0,0,0,0,2,1,0,0,0,0,1,1,2,0,0,2,5,0,1,0,0,0,0,1,41,0,0
2024-07-21T01,93,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,7,0,0,0,5,0,0,1,0,0,2,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,1,2,0,0,0,0,1,0,1,1,1,0,0,5,0,1,0,0,0,0,0,54,0,0
2024-07-21T02,78,1,0,0,0,0,0,0,0,0,1,0,5,0,0,0,12,2,0,0,5,0,0,0,0,1,6,0,2,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,5,0,1,0,0,0,0,0,31,0,1
2024-07-21T03,85,1,0,0,0,1,0,0,0,0,0,0,3,0,0,0,14,2,0,0,5,0,1,1,0,2,2,0,3,0,0,0,0,1,0,0,1,0,2,0,1,0,0,0,0,0,0,1,0,2,0,0,0,0,1,0,1,0,0,0,0,5,0,0,0,0,0,0,0,35,0,0
2024-07-21T04,80,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,15,0,0,0,6,0,0,0,0,2,4,0,3,0,1,0,0,0,0,0,0,1,3,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,5,0,0,0,0,0,0,0,33,0,0
2024-07-21T05,64,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,14,0,0,0,5,0,0,0,0,1,3,0,1,0,0,0,0,0,0,0,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,5,0,0,0,0,0,0,0,28,0,0
2024-07-21T06,87,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,16,0,0,0,6,0,0,0,0,1,2,0,4,0,0,13,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,6,0,2,0,0,3,0,0,27,0,0
2024-07-21T07,79,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,19,0,0,0,9,0,0,0,0,1,3,0,3,0,0,0,0,2,0,0,5,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,2,0,0,0,5,0,3,0,0,0,0,0,20,0,0
2024-07-21T08,88,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,14,0,0,0,14,0,0,1,0,6,2,0,3,0,1,0,0,0,0,0,6,1,0,0,1,0,0,0,0,1,0,0,0,2,0,0,0,1,1,0,1,1,0,0,0,8,0,2,0,0,0,0,0,19,0,0
2024-07-21T09,97,1,0,0,1,1,0,1,0,0,0,0,1,1,0,0,15,0,0,0,21,0,0,1,0,4,2,0,2,0,1,0,0,0,0,0,8,1,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,1,1,0,0,0,6,0,2,0,1,0,0,0,23,0,0
2024-07-21T10,93,0,0,0,1,2,0,0,2,0,0,0,0,1,0,0,15,0,0,0,10,0,0,1,0,4,3,0,1,0,0,1,0,0,0,0,4,2,0,0,1,0,0,0,0,1,0,0,0,4,1,0,0,0,2,0,1,2,0,0,0,5,0,2,0,2,1,0,0,24,0,0
2024-07-21T11,79,2,0,0,1,1,0,0,0,0,0,0,1,1,0,0,12,0,0,0,9,0,0,0,0,9,4,0,1,0,0,0,0,1,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,8,0,0,0,1,1,0,0,1,0,0,1,5,0,1,0,1,1,0,0,14,0,0
2024-07-21T12,103,1,0,0,0,1,0,0,0,0,0,2,1,3,0,0,18,0,0,0,12,0,0,1,0,10,5,0,2,0,0,0,0,0,0,0,3,1,0,0,1,0,0,0,0,0,0,0,1,7,0,0,0,1,0,0,0,3,0,0,0,4,0,4,0,1,2,0,0,19,0,0
2024-07-21T13,121,2,0,0,0,0,0,0,0,0,1,2,2,1,0,0,21,0,0,0,8,0,0,1,0,9,4,0,3,0,0,0,0,1,0,0,7,1,0,0,0,0,0,0,0,1,0,0,1,5,0,0,0,2,1,0,1,3,0,0,0,5,0,8,0,2,4,0,0,25,0,0
2024-07-21T14,146,1,0,1,0,0,0,1,0,0,2,0,5,1,0,0,14,0,0,0,17,0,0,3,0,6,6,0,6,0,0,0,0,1,0,0,15,0,0,0,1,0,0,0,0,0,0,0,0,8,0,0,0,1,3,0,1,2,0,0,0,5,0,12,0,4,1,0,0,29,0,0
2024-07-21T15,156,2,0,0,0,2,0,0,0,0,0,1,4,3,0,0,18,0,0,0,16,0,0,5,0,12,4,0,4,0,0,0,0,0,0,0,11,0,1,0,1,0,0,0,0,1,0,0,0,8,0,0,0,1,2,0,1,2,0,0,0,6,0,17,0,3,2,0,0,29,0,0
2024-07-21T16,179,1,0,0,0,0,0,0,0,0,0,1,5,5,0,0,29,0,0,1,21,0,0,4,0,17,9,0,0,0,0,0,0,1,0,1,13,2,1,0,0,0,0,0,0,0,0,0,0,9,0,0,0,1,2,0,1,3,0,0,0,5,0,23,0,1,0,0,0,23,0,0
2024-07-21T17,149,2,0,0,1,0,0,1,0,0,0,0,4,4,0,0,5,0,0,0,30,0,0,4,0,10,10,0,1,0,1,1,0,1,0,0,8,2,2,0,1,0,0,0,0,0,0,0,0,4,0,1,0,1,4,1,1,0,0,0,3,10,0,15,0,0,0,0,1,20,0,0
2024-07-21T18,151,1,0,1,1,0,0,1,1,1,1,0,2,2,0,0,5,0,0,1,19,0,0,3,0,9,9,0,2,0,4,0,0,0,0,0,6,0,0,0,1,0,0,0,0,0,0,2,0,8,0,1,0,1,4,1,3,0,0,0,3,12,0,8,0,5,0,0,0,33,0,0
2024-07-21T19,148,3,0,1,1,0,1,1,2,1,1,0,1,0,0,0,5,0,0,0,23,0,0,6,1,7,11,0,0,0,2,1,0,0,0,0,9,0,0,0,1,0,0,0,0,0,0,0,0,8,0,0,0,1,4,0,0,3,0,0,0,5,0,10,0,5,0,0,0,33,0,1
2024-07-21T20,157,3,0,2,0,0,0,0,0,0,2,0,2,2,0,0,7,0,0,0,24,0,0,2,0,7,11,1,0,0,1,0,1,1,0,0,19,1,0,0,0,0,0,1,0,0,0,0,0,6,0,0,0,0,1,1,0,2,0,0,2,7,0,8,0,1,0,0,0,42,0,0
2024-07-21T21,265,4,0,3,0,1,0,3,1,0,1,0,5,2,0,0,27,0,0,1,21,0,0,1,0,15,16,0,6,1,2,1,1,12,0,1,12,2,7,0,1,0,0,0,0,1,0,0,0,5,0,0,0,0,3,1,3,9,0,0,2,12,1,6,1,2,0,1,3,68,0,0
2024-07-21T22,189,6,0,1,0,0,0,1,1,0,0,0,5,0,0,0,19,0,0,0,15,0,0,0,0,11,9,0,4,0,2,0,0,9,0,0,10,0,4,0,1,0,0,0,0,0,1,1,0,6,0,1,0,0,3,1,1,3,0,0,0,11,0,4,0,1,0,1,4,52,0,1
2024-07-21T23,113,1,0,1,0,0,0,0,0,0,3,0,5,1,1,0,22,0,0,0,8,0,0,0,0,4,8,0,1,0,2,0,1,1,0,0,3,1,0,0,0,0,0,1,0,0,0,0,0,3,0,1,0,0,0,0,0,1,0,0,0,5,0,3,0,0,0,0,0,35,0,1
2024-07-22T00,83,3,0,0,0,0,0,0,1,0,1,0,3,0,0,0,16,0,0,0,7,0,0,0,0,2,4,0,0,0,1,0,0,2,0,1,0,1,0,0,1,0,0,0,0,1,0,0,0,4,0,1,0,0,0,0,0,1,0,0,0,5,0,1,0,0,0,0,0,27,0,0
2024-07-22T01,91,2,0,1,0,1,0,0,0,0,0,0,6,0,0,0,16,0,0,0,7,0,0,0,0,3,4,0,1,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0,1,0,1,1,0,0,1,0,0,0,1,0,0,0,5,0,1,0,0,0,0,0,36,0,0
2024-07-22T02,94,3,0,1,0,1,0,0,0,0,1,0,7,0,0,0,16,0,0,0,5,0,0,0,0,1,4,0,1,0,1,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,1,0,1,1,0,0,0,0,0,0,6,0,0,0,0,0,0,0,39,0,1
2024-07-22T03,85,2,0,0,0,0,0,1,0,0,0,0,6,0,0,0,17,0,0,0,4,0,0,1,0,0,3,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0,1,0,1,0,0,0,1,0,0,0,5,0,1,0,0,0,0,0,38,0,0
2024-07-22T04,61,3,0,1,0,1,0,0,0,0,0,0,4,0,0,0,3,0,0,0,6,0,0,0,0,0,4,0,2,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,6,0,0,0,0,0,0,0,27,0,0
2024-07-22T05,66,3,0,1,0,1,0,1,0,0,0,0,4,3,1,0,4,0,0,0,7,0,0,0,0,0,3,0,3,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,6,0,1,0,0,0,0,0,25,0,0
2024-07-22T06,63,3,0,0,0,1,0,0,0,0,0,0,3,1,0,1,4,0,0,0,6,0,0,1,0,2,4,0,2,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,7,0,2,0,0,0,0,0,21,0,0
2024-07-22T07,62,2,0,0,0,1,0,0,0,0,0,0,3,0,0,0,5,0,0,0,8,0,0,0,0,2,5,0,1,0,0,0,0,0,0,0,2,1,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,4,0,1,0,0,0,0,6,0,3,0,0,0,0,0,14,0,0
2024-07-22T08,70,3,0,0,0,1,0,0,0,1,0,0,2,1,0,0,6,0,0,0,12,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,3,1,1,0,1,0,0,0,0,0,0,0,0,2,0,0,0,0,1,0,1,0,0,0,0,5,0,3,0,0,0,0,0,21,0,0
2024-07-22T09,65,2,0,0,0,2,0,1,1,1,0,0,2,0,0,0,3,0,0,0,9,0,0,1,0,2,5,0,0,0,0,1,0,0,0,0,2,1,0,0,1,0,1,0,0,1,0,0,0,1,0,0,0,0,1,0,1,0,0,0,1,6,0,1,0,0,0,0,0,18,0,0
2024-07-22T10,78,2,0,0,0,1,0,1,0,0,0,0,2,0,0,0,8,0,0,0,11,0,0,1,0,0,4,0,0,1,0,1,0,2,0,0,5,2,2,1,0,0,0,0,0,1,0,0,0,2,0,0,0,0,0,0,0,2,0,0,1,7,0,3,0,1,0,0,1,13,0,3
2024-07-22T11,73,3,0,0,0,1,0,1,0,0,0,0,4,1,0,0,6,0,0,0,11,0,0,1,0,0,3,0,2,0,0,1,0,1,0,0,3,0,0,0,1,0,0,0,0,1,0,0,0,4,0,0,0,0,0,0,0,2,1,0,2,6,0,1,0,1,4,0,0,12,0,0
2024-07-22T12,78,2,0,0,0,1,0,0,2,0,2,0,1,0,0,0,6,0,0,0,8,0,0,0,0,2,7,0,2,0,0,0,0,2,0,0,3,0,0,0,1,0,0,0,0,0,0,0,0,2,1,0,0,1,2,1,0,2,0,0,0,6,0,9,0,0,0,0,0,15,0,0
2024-07-22T13,90,4,0,0,0,0,0,0,0,0,0,0,3,1,0,0,7,0,0,0,8,0,0,0,1,6,7,0,1,0,0,0,0,2,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,1,1,0,0,2,0,0,1,5,0,10,0,0,1,0,0,20,0,0
2024-07-22T14,102,2,0,0,0,0,0,0,1,0,0,0,7,0,0,0,5,0,0,0,10,0,0,0,0,5,8,0,1,0,0,0,0,0,0,0,11,0,1,0,1,0,0,0,1,1,0,0,0,5,0,1,0,1,1,0,0,1,0,0,1,5,0,10,0,1,0,0,0,21,0,1
2024-07-22T15,124,4,0,0,1,0,0,0,0,0,0,0,3,2,0,0,9,0,0,0,20,0,0,1,0,11,7,0,0,0,0,1,0,0,0,0,14,0,0,0,1,0,0,0,0,0,0,1,0,2,0,0,0,1,4,0,0,2,0,0,2,6,0,9,0,1,0,0,0,21,0,1
2024-07-22T16,143,2,0,0,1,1,0,2,0,0,0,0,4,1,0,0,3,0,0,0,20,0,0,1,0,15,8,0,3,0,0,1,1,0,0,0,17,0,0,0,1,0,0,0,0,0,0,1,0,4,0,0,0,0,1,0,0,3,0,0,2,6,0,18,0,0,2,0,0,25,0,0
2024-07-22T17,151,3,0,0,0,0,0,3,0,0,0,0,5,1,0,0,3,0,0,0,22,0,0,3,0,10,11,1,0,0,0,1,1,0,0,0,17,0,0,0,0,0,0,0,0,1,1,0,0,12,0,0,0,0,2,0,2,1,0,0,1,5,0,8,0,0,0,0,0,37,0,0
2024-07-22T18,144,2,0,0,0,1,0,5,0,0,0,0,3,2,1,0,5,0,0,0,22,0,0,2,0,8,12,0,1,0,0,1,0,1,0,0,8,0,0,0,0,0,0,0,0,0,1,0,1,15,1,0,0,0,2,1,1,0,0,0,1,8,0,7,0,1,0,0,1,30,0,0
2024-07-22T19,150,3,0,0,0,0,1,0,1,0,0,0,6,2,0,0,4,0,1,0,18,0,0,2,0,8,14,0,0,0,0,2,1,0,0,0,14,2,0,0,0,0,0,0,0,0,1,1,0,23,0,0,0,0,1,0,0,2,0,0,1,6,0,3,0,3,0,0,0,30,0,0
2024-07-22T20,135,2,1,0,0,0,0,1,2,0,0,0,7,1,0,0,5,0,0,0,14,0,0,1,0,9,13,0,0,0,0,0,1,0,0,0,21,2,0,0,0,0,1,0,0,0,0,0,0,10,0,0,0,0,6,0,0,1,0,0,1,5,0,5,0,3,0,0,0,23,0,0
2024-07-22T21,122,3,0,0,0,0,0,0,2,0,1,0,7,2,0,0,4,0,0,0,16,0,0,1,0,4,15,0,1,0,0,0,0,0,0,1,19,2,0,1,0,0,0,0,0,0,0,0,0,3,0,0,0,0,7,0,0,0,0,0,2,5,0,3,0,1,0,0,0,22,0,0
2024-07-22T22,200,6,0,3,0,0,0,2,2,0,0,0,10,1,0,0,6,0,0,0,22,0,0,0,0,8,10,0,0,1,2,0,0,6,0,0,9,1,6,1,1,0,0,0,0,1,0,0,0,5,0,0,1,0,3,1,1,6,0,1,2,8,1,2,1,0,0,0,2,67,0,1
2024-07-22T23,194,7,0,3,0,1,0,2,5,0,0,0,12,1,0,0,5,0,0,0,16,0,0,1,0,8,8,0,3,1,1,0,0,7,0,0,4,2,7,2,0,0,0,0,0,0,1,1,0,3,2,0,0,0,2,2,1,3,0,0,0,9,1,2,1,0,0,1,2,66,0,1
2024-07-23T00,81,4,0,1,0,1,0,0,3,0,0,0,6,0,0,0,4,0,0,0,6,0,0,0,0,2,4,0,4,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,1,1,0,0,0,1,1,0,1,0,0,0,5,0,0,0,0,1,0,0,32,0,0
