bucket,total,--,AE,AL,AR,AT,AU,AZ,BA,BD,BE,BG,BO,BR,BY,CA,CH,CL,CN,CO,CR,CZ,DE,DK,DO,EE,EG,ES,FI,FR,GB,GE,GR,HK,HN,HR,HU,ID,IE,IL,IN,IQ,IR,IS,IT,JO,JP,KE,KG,KH,KR,KZ,LA,LK,LT,LV,MD,ME,MK,MN,MO,MT,MU,MX,MY,NC,NG,NL,NO,NZ,PE,PH,PK,PL,PR,PS,PT,PY,RO,RS,RU,RW,SA,SE,SG,SI,SY,TH,TN,TR,TW,UA,US,UY,VE,VN,ZA
2024-07-28T00,83,1,0,0,0,0,0,0,0,0,0,2,0,0,0,3,0,0,5,0,0,0,5,0,0,0,0,0,0,1,4,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,6,0,1,1,0,0,1,0,43,0,0,0,0
2024-07-28T01,67,2,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,8,0,0,0,3,0,0,0,1,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,1,5,0,1,0,0,0,0,0,32,0,0,1,0
2024-07-28T02,75,1,0,0,0,0,0,0,0,0,0,2,0,2,0,8,0,0,7,0,0,1,4,0,0,0,0,0,0,0,5,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,5,0,0,0,0,1,0,0,34,0,0,0,0
2024-07-28T03,69,2,0,0,0,0,1,0,0,0,0,1,0,0,0,7,0,3,7,0,0,0,5,0,0,0,0,0,0,0,3,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,2,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,5,0,0,0,0,0,0,0,27,0,0,0,0
2024-07-28T04,72,1,0,0,1,0,2,0,0,0,0,1,0,1,0,6,0,0,13,0,0,0,5,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,6,0,0,3,0,0,1,0,24,0,0,0,0
2024-07-28T05,76,2,0,0,0,0,2,0,0,1,0,0,0,1,0,5,0,0,17,0,0,0,7,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,4,0,0,1,0,0,2,0,26,0,0,0,0
2024-07-28T06,85,1,1,0,0,0,1,0,0,2,0,0,0,0,0,5,0,0,13,0,0,0,4,0,0,0,0,0,0,1,3,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,7,0,0,2,0,0,3,0,36,0,0,0,0
2024-07-28T07,80,1,0,0,0,0,2,0,0,2,0,1,0,0,0,4,0,0,17,0,0,0,4,0,0,0,0,0,0,0,6,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2,5,0,0,1,0,0,0,0,28,0,0,0,0
2024-07-28T08,94,2,0,0,0,0,1,0,0,1,0,3,0,0,0,3,1,0,14,0,0,0,11,0,0,0,0,2,0,1,3,0,0,1,0,0,0,0,1,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,2,1,0,1,0,3,0,0,0,0,0,0,2,0,0,2,6,0,0,1,0,0,0,0,24,0,0,0,0
2024-07-28T09,93,1,0,0,0,0,2,0,0,1,0,0,0,0,0,2,1,1,12,0,0,0,8,0,0,0,0,0,0,9,5,0,0,2,0,0,0,0,0,0,0,0,0,0,2,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,1,0,0,0,2,0,0,0,0,2,0,1,0,0,1,6,0,0,4,0,0,1,0,24,0,0,0,0
