bucket,total,--,AE,AL,AM,AO,AR,AT,AU,BA,BD,BE,BG,BO,BR,BY,CA,CH,CL,CM,CN,CO,CR,CZ,DE,DK,DO,DZ,EE,ES,ET,FI,FR,GB,GR,GT,HK,HN,HU,ID,IE,IL,IN,IQ,IR,IS,IT,JP,KE,KH,KR,KW,KZ,LA,LI,LK,LT,LU,LV,MA,MD,MK,MM,MN,MO,MT,MU,MX,MY,NC,NG,NL,NO,NZ,PA,PE,PH,PK,PL,PT,PY,RO,RU,RW,SA,SE,SG,SI,SK,TH,TN,TR,TW,TZ,UA,UG,US,UZ,VE,VN,ZA
2024-08-11T00,99,3,0,0,0,0,0,0,0,0,0,0,0,0,1,0,8,0,0,0,21,4,0,0,3,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,1,3,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,1,6,0,0,1,0,0,2,0,0,0,35,0,0,1,0
2024-08-11T01,107,2,0,0,0,0,0,0,2,0,0,0,0,0,0,0,7,0,0,0,20,5,0,0,7,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,4,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,2,1,0,1,5,1,0,1,0,0,2,0,0,0,37,0,0,0,0
2024-08-11T02,144,0,0,0,0,0,4,0,1,0,0,0,1,0,0,0,7,0,0,0,18,0,0,0,8,0,0,0,0,0,0,0,0,3,0,0,2,0,0,0,0,0,4,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,5,0,0,1,0,0,2,0,0,0,82,0,0,0,0
2024-08-11T03,148,1,0,0,0,0,2,0,2,0,1,1,0,0,0,0,6,0,0,1,15,0,0,0,9,0,0,0,0,0,0,0,1,2,0,0,0,0,0,0,0,0,1,0,0,0,0,8,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,1,0,0,1,6,0,0,2,0,0,1,0,0,0,84,0,0,0,0
2024-08-11T04,148,0,0,0,0,0,3,0,1,0,0,0,1,0,2,0,5,1,0,0,7,0,0,0,4,0,0,0,0,1,0,0,0,2,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2,0,0,0,0,1,0,0,0,0,0,0,1,8,0,0,0,0,0,1,0,0,0,105,0,0,0,0
2024-08-11T05,72,1,0,0,0,0,1,0,1,0,0,1,0,0,0,0,5,0,0,0,2,0,0,0,7,0,0,0,0,0,0,0,0,3,0,0,1,0,0,0,0,0,0,1,0,0,0,2,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,2,0,1,0,0,1,0,1,0,0,1,0,0,0,0,6,0,0,0,0,0,6,0,0,0,27,0,0,0,0
2024-08-11T06,72,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,3,0,0,0,3,0,0,0,0,0,0,0,0,5,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,8,0,0,1,0,0,5,0,0,0,39,0,0,0,1
2024-08-11T07,86,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,6,0,0,0,13,0,0,0,0,0,0,0,3,3,0,0,4,0,0,0,0,0,0,0,0,0,2,0,0,0,3,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,1,0,0,0,3,0,0,1,7,0,0,2,0,0,3,0,1,0,27,0,0,0,0
2024-08-11T08,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,7,0,0,0,18,2,0,0,0,0,0,0,4,6,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,2,0,0,0,0,0,1,1,0,0,2,5,0,0,2,6,1,0,2,0,0,2,0,1,0,28,0,0,0,0
2024-08-11T09,77,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,2,0,0,0,3,0,0,0,15,0,0,0,0,0,0,1,2,4,0,0,2,0,0,0,1,0,0,0,0,0,6,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2,1,3,0,0,1,0,0,0,0,1,1,0,0,0,6,0,0,2,0,0,1,0,0,0,18,0,0,1,0
2024-08-11T10,87,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,2,0,0,0,5,0,0,0,13,0,0,0,0,1,0,0,4,5,0,0,1,0,0,1,1,0,0,0,0,0,9,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,2,0,0,0,0,0,1,0,0,1,7,0,0,0,0,1,0,0,0,0,25,0,0,1,1
2024-08-11T11,97,1,0,0,0,0,0,0,2,1,0,0,1,0,1,0,3,0,0,0,4,0,0,0,9,0,0,0,0,1,0,0,4,5,0,0,0,0,0,0,0,1,0,0,0,0,5,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,1,0,1,0,0,0,1,1,0,0,10,0,0,1,0,0,0,0,0,0,33,0,0,0,1
2024-08-11T12,89,0,0,0,0,0,0,2,0,0,0,0,1,0,1,0,1,0,0,0,6,0,0,0,11,0,0,0,0,1,0,0,5,6,0,0,0,0,0,0,0,0,1,0,0,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,1,0,0,1,0,0,0,0,0,0,0,0,1,6,0,0,3,0,0,1,0,0,0,29,0,0,0,2
2024-08-11T13,108,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,0,5,0,0,0,10,0,0,0,0,2,0,0,9,7,0,0,3,0,0,0,4,0,0,0,0,0,8,4,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,1,0,0,0,8,0,0,0,0,2,0,1,0,0,0,0,1,0,0,5,0,0,8,0,0,1,0,0,0,22,0,0,0,0
2024-08-11T14,129,0,1,0,0,0,0,1,0,0,1,0,1,0,1,0,3,1,0,0,7,0,0,0,17,1,0,0,0,1,0,0,8,6,0,0,6,0,0,0,11,0,0,0,0,0,7,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,9,0,0,0,0,1,0,2,0,0,0,1,1,0,0,7,0,0,7,0,0,2,0,0,0,23,0,0,0,0
2024-08-11T15,174,0,3,0,0,0,0,0,1,0,0,1,0,0,0,0,5,1,0,0,10,0,0,0,16,0,0,1,0,0,0,0,10,4,0,0,2,0,0,0,0,0,2,0,0,0,7,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,1,0,2,0,0,1,0,1,0,0,6,1,0,13,0,0,2,0,0,0,73,0,0,0,1
2024-08-11T16,201,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,1,0,0,11,0,0,0,21,0,0,0,0,0,0,1,10,8,0,0,0,0,1,0,0,0,1,0,0,0,8,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,1,0,0,0,0,1,0,0,0,0,0,0,4,5,0,0,14,0,0,4,0,0,0,90,0,0,0,0
2024-08-11T17,190,1,0,0,0,0,0,0,0,0,0,3,0,0,1,2,5,0,0,0,11,0,0,0,28,0,0,0,0,1,0,1,7,6,0,0,1,0,1,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,6,0,0,0,0,1,0,2,0,0,0,1,0,0,6,5,0,0,8,0,1,1,0,0,0,78,0,0,2,0
2024-08-11T18,152,0,0,0,0,0,0,0,0,0,0,1,2,0,0,0,3,1,0,0,14,0,0,0,31,1,0,0,0,2,0,1,6,12,0,0,0,0,0,0,0,0,1,0,0,0,8,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,2,1,0,0,11,1,0,0,0,0,0,3,1,0,3,1,0,0,5,5,1,0,8,0,0,0,0,0,0,26,0,0,0,0
2024-08-11T19,219,1,0,0,0,0,0,1,0,1,0,1,1,0,0,0,5,1,0,0,12,0,0,0,23,1,0,0,0,1,0,0,4,9,0,0,2,0,0,0,0,0,1,0,0,0,7,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,11,1,1,0,0,0,0,2,0,0,1,0,0,0,0,5,0,0,6,0,0,0,0,0,0,118,0,0,0,0
2024-08-11T20,167,1,0,0,0,0,1,0,0,1,0,1,1,0,0,0,2,1,1,0,13,0,0,0,12,0,0,0,0,1,0,0,5,7,0,0,1,0,0,0,0,0,2,0,0,0,11,0,0,0,2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,6,1,0,0,0,0,0,3,1,0,1,1,0,0,3,6,0,0,8,0,0,0,0,0,0,72,0,0,0,0
2024-08-11T21,170,1,0,0,0,0,3,0,0,0,0,0,1,0,2,0,5,2,1,0,15,0,0,0,8,0,0,0,0,1,0,0,1,9,0,0,0,0,0,0,1,0,1,0,0,0,11,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,1,0,0,0,0,0,0,0,5,1,0,4,0,1,1,0,0,0,87,0,0,0,0
2024-08-11T22,79,2,0,0,0,0,0,0,0,0,0,0,0,0,3,0,5,1,0,0,2,0,0,0,9,0,0,0,0,0,0,0,3,7,1,0,0,0,0,0,0,0,0,0,1,0,5,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,2,0,0,0,0,2,1,0,0,0,0,0,0,7,0,0,0,0,0,1,0,0,0,22,0,0,0,0
2024-08-11T23,110,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,3,0,0,0,8,0,0,0,0,0,0,0,4,5,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,76,0,0,0,0
2024-08-12T00,65,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,6,1,0,0,6,0,0,0,4,0,0,0,0,0,0,0,0,3,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,6,0,0,0,0,0,1,0,0,0,28,0,0,0,0
2024-08-12T01,69,3,0,0,0,0,0,0,0,0,0,0,1,0,0,0,7,2,0,0,4,0,0,0,4,0,0,0,0,0,0,0,2,2,0,0,2,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,1,0,0,0,5,0,0,1,0,0,0,0,0,0,29,0,0,0,0
2024-08-12T02,74,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,9,1,0,0,3,0,0,0,5,0,0,0,0,1,0,0,0,2,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,1,0,0,2,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,34,0,0,1,0
2024-08-12T03,57,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,6,1,0,0,3,0,0,0,4,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,5,0,0,0,0,0,0,0,0,0,30,0,0,0,0
2024-08-12T04,94,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,3,0,0,0,16,0,0,0,4,0,0,0,0,0,0,0,0,8,0,0,1,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,1,0,0,6,1,0,1,0,0,0,0,0,0,46,0,0,0,0
2024-08-12T05,91,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,16,0,0,0,6,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,1,0,1,0,0,0,1,0,0,0,5,0,0,0,0,0,0,0,0,0,46,0,0,0,0
2024-08-12T06,96,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,19,0,0,0,6,0,0,0,0,0,0,0,0,5,0,0,1,0,0,0,0,0,2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,6,0,0,2,0,0,0,0,0,1,0,0,0,5,0,0,1,0,0,1,0,0,0,42,0,0,0,0
2024-08-12T07,62,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,10,0,0,0,4,0,0,0,0,0,0,0,1,4,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,1,0,2,0,0,0,0,0,0,1,5,0,0,1,0,0,0,0,0,0,25,0,0,0,0
2024-08-12T08,76,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,6,0,0,0,15,0,0,0,4,0,0,0,0,0,0,0,2,2,0,0,3,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,3,0,0,0,0,1,0,0,1,0,0,0,0,5,0,0,2,0,0,0,0,0,0,25,0,0,0,1
2024-08-12T09,79,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,3,1,0,0,17,0,0,0,8,0,0,0,0,0,0,0,2,5,0,0,2,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,2,0,0,1,0,0,0,0,0,0,0,0,1,5,0,0,3,0,0,0,0,0,0,22,0,0,0,0
2024-08-12T10,81,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,2,0,0,0,6,0,0,0,6,0,0,0,0,2,0,1,2,3,0,0,1,0,0,0,1,0,0,0,1,0,4,1,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2,0,1,0,0,1,0,1,0,0,0,2,1,0,1,5,1,0,0,0,0,0,0,0,0,30,0,0,0,0
