bucket,total,--,AL,AR,AT,AU,BA,BD,BE,BG,BR,CA,CH,CM,CN,CO,DE,EC,EE,ES,ET,FI,FR,GB,GR,HK,HU,ID,IE,IL,IN,IR,IT,JP,KH,KR,LT,LV,MD,MK,MM,MN,MO,MX,MY,NG,NL,NO,NZ,PE,PH,PK,PL,PT,RO,RU,RW,SE,SG,SI,TH,TR,TW,UA,US,VN,ZA,ZM
2024-08-18T00,114,3,0,0,0,3,0,0,0,1,0,4,0,1,22,0,5,0,0,0,0,0,7,4,0,0,0,0,0,0,4,0,0,3,0,5,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,1,0,1,2,0,0,6,0,0,0,0,0,38,1,0,0
2024-08-18T01,93,1,0,0,0,0,0,0,0,2,1,6,0,0,24,0,6,0,0,1,0,0,1,3,0,0,0,0,0,0,4,0,0,3,0,2,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0,7,0,0,0,0,0,29,0,0,0
2024-08-18T02,92,1,0,0,0,0,0,0,0,1,1,10,0,0,13,0,5,0,0,0,0,0,3,4,0,2,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,3,0,1,0,2,0,0,0,1,0,1,0,6,0,0,0,0,0,37,0,0,0
2024-08-18T03,103,1,0,0,0,1,0,0,0,2,0,6,0,0,18,0,7,0,0,0,0,0,2,4,0,1,0,0,0,0,0,0,2,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,1,0,1,2,0,0,5,0,1,0,0,0,45,0,0,0
2024-08-18T04,81,2,0,0,0,2,0,0,1,2,1,5,0,0,7,0,5,0,0,0,0,0,3,4,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,1,0,1,0,0,0,2,0,0,0,1,0,0,0,5,1,0,0,1,0,33,0,1,0
2024-08-18T05,68,0,0,0,0,2,0,1,0,2,0,3,0,0,6,0,8,0,0,0,0,0,1,3,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,5,1,0,1,3,0,28,0,0,0
2024-08-18T06,77,2,0,0,0,1,1,1,1,1,0,4,2,0,10,0,5,0,0,0,1,0,5,5,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,5,0,1,1,0,0,28,0,0,0
2024-08-18T07,79,0,0,0,0,0,0,1,0,1,0,2,0,0,9,0,7,0,0,0,1,0,7,5,0,0,0,0,0,0,1,1,7,2,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,1,1,0,0,6,0,0,1,0,0,22,0,0,0
2024-08-18T08,85,0,0,0,1,0,0,1,1,2,1,1,0,0,6,0,8,0,0,1,0,0,5,5,0,0,0,0,0,0,0,0,8,0,0,2,0,0,1,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,2,1,0,0,6,0,1,1,0,0,28,1,0,0
2024-08-18T09,94,1,0,0,1,2,0,1,1,1,1,1,0,0,6,0,13,0,0,0,0,0,11,5,0,0,0,0,0,0,0,0,6,0,0,2,0,0,0,0,0,1,0,0,2,0,3,0,0,0,0,0,1,0,2,2,0,0,6,0,2,0,1,0,21,1,0,0
