bucket,total,--,AE,AO,AR,AT,AU,BA,BD,BE,BG,BO,BR,CA,CH,CL,CM,CN,DE,DK,ES,FR,GB,GR,HK,HR,HU,ID,IE,IL,IN,IR,IT,JO,JP,KH,KR,LT,LU,MD,MO,MX,MY,NL,NO,NZ,PH,PL,PT,RO,RU,RW,SE,SG,SI,TH,TR,TW,UA,US,UZ,VN,ZA
2024-09-01T00,98,1,0,0,2,0,0,0,1,0,0,2,2,5,0,0,0,8,8,0,2,2,3,0,0,0,0,0,1,0,0,0,1,0,7,0,0,0,0,0,0,0,0,3,1,0,0,1,1,0,3,0,0,7,0,2,1,1,0,33,0,0,0
2024-09-01T01,93,0,0,0,1,0,0,0,1,0,1,0,0,3,0,0,0,7,7,0,0,1,6,0,1,0,0,0,0,0,0,1,0,0,11,0,1,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,1,5,0,0,1,1,0,40,0,0,1
2024-09-01T02,90,0,0,0,0,0,0,0,1,0,0,0,2,6,0,0,0,7,5,0,0,2,5,0,0,0,0,0,1,0,0,0,0,0,10,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,1,0,6,1,1,0,1,0,36,1,1,0
2024-09-01T03,83,0,1,0,0,0,0,0,1,1,1,0,1,6,0,0,0,7,5,0,0,0,4,0,1,0,0,0,0,0,0,0,0,0,8,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,5,0,1,0,1,0,35,1,0,0
2024-09-01T04,93,0,1,0,0,0,3,0,2,0,2,0,0,4,0,0,0,10,5,0,1,1,2,0,0,0,0,0,1,0,0,0,0,0,13,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,41,0,0,1
2024-09-01T05,91,3,0,0,0,0,0,0,1,0,1,0,1,2,0,0,0,9,5,0,1,3,2,0,0,0,0,0,0,0,0,1,0,0,16,0,0,0,0,0,0,0,0,0,0,1,2,1,0,0,0,1,0,5,0,2,1,4,0,28,0,1,0
2024-09-01T06,90,1,0,0,0,0,1,0,0,1,2,0,1,1,0,0,0,3,8,0,1,3,3,0,1,0,0,0,0,0,0,0,0,0,14,0,0,0,0,0,0,0,1,3,0,0,0,2,0,1,0,0,0,5,1,0,0,5,0,30,0,2,0
2024-09-01T07,85,1,0,0,2,0,0,0,0,0,0,0,0,3,0,1,0,6,7,0,0,7,3,0,0,0,0,0,0,0,0,0,1,0,9,0,0,0,0,0,0,0,0,3,0,0,0,1,0,0,0,0,0,5,0,2,0,1,0,33,0,0,0
2024-09-01T08,91,0,0,0,1,0,1,0,1,1,1,0,0,2,0,0,0,6,15,1,0,3,3,1,3,0,0,0,0,0,0,0,2,0,10,1,0,0,0,0,0,0,0,2,0,0,0,1,0,0,1,1,2,5,0,1,1,3,0,22,0,0,0
2024-09-01T09,99,0,0,0,0,0,1,1,1,0,0,0,0,1,0,0,0,7,16,0,2,4,3,0,1,0,0,0,0,0,0,1,4,0,9,0,0,0,0,0,0,0,0,3,0,1,1,1,0,3,1,0,2,7,0,0,0,1,0,28,0,0,0
2024-09-01T10,104,0,0,0,1,0,0,0,1,0,4,0,1,1,0,0,0,6,16,0,1,6,2,0,7,0,0,0,0,0,2,0,2,0,8,0,0,0,0,0,1,0,0,5,0,2,1,0,0,0,0,1,0,5,0,4,0,1,0,25,0,1,0
2024-09-01T11,111,0,0,0,0,0,0,0,0,0,1,0,0,5,0,0,0,9,15,0,0,4,4,0,4,0,1,0,1,0,1,0,6,0,10,0,0,0,0,0,1,0,2,6,0,1,1,1,1,1,0,0,0,5,0,2,1,2,1,24,0,1,0
